NCT,PMID,ici_class,Authors,Year
NCT02302807,29268948,PD-L1,Powles T et al,2018
NCT02256436,28212060,PD-1,Bellmunt J et al,2017
NCT02256436,28212060,PD-1,Fradet Y et al,2019
NCT02256436,31050707,PD-1,Bellmunt J et al,2017
NCT02256436,31050707,PD-1,Fradet Y et al,2019
NCT02425891,30345906,PD-L1,Schmid P et al,2018
NCT02425891,30345906,PD-L1,Schmid P et al,2019
NCT02685059,31095287,PD-L1,Loibl S et al,2019
NCT02788279,31003911,PD-L1,Eng C et al,2019
NCT02788279,31003911,PD-L1,Eng C et al (1),2019
NCT02788279,31003911,PD-L1,Eng C et al,2019
NCT02788279,31003911,PD-L1,Eng C et al (1),2019
NCT01585987,28655793,CTLA-4,Bang YJ et al,2017
NCT02267343,28993052,PD-1,Kang YK et al,2017
NCT02267343,28993052,PD-1,Chen LT et al,2019
NCT02625623,30052729,PD-L1,Bang YJ et al,2018
NCT02370498,29880231,PD-1,Shitara K et al,2018
NCT02252042,30509740,PD-1,Cohen EEW et al,2018
NCT02105636,27718784,PD-1,Ferris RL et al,2016
NCT02105636,27718784,PD-1,Ferris RL et al,2018
NCT02105636,29884413,PD-1,Ferris RL et al,2016
NCT02105636,29884413,PD-1,Ferris RL et al,2018
NCT01668784,26406148,PD-1,Motzer RJ et al,2015
NCT01668784,26406148,PD-1,Motzer RJ et al,2020
NCT01984242,29867230,PD-L1,McDermott DF et al,2018
NCT01984242,29867230,PD-L1,McDermott DF et al (1),2018
NCT01984242,29867230,PD-L1,McDermott DF et al,2018
NCT01984242,29867230,PD-L1,McDermott DF et al (1),2018
NCT02231749,29562145,PD-1,Motzer RJ et al,2018
NCT02231749,29562145,PD-1,Motzer RJ et al,2019
NCT02231749,29562145,PD-1,Motzer RJ et al,2020
NCT02231749,31427204,PD-1,Motzer RJ et al,2018
NCT02231749,31427204,PD-1,Motzer RJ et al,2019
NCT02231749,31427204,PD-1,Motzer RJ et al,2020
NCT02684006,30779531,PD-L1,Motzer RJ et al,2019
NCT02684006,30779531,PD-L1,Choueiri TK et al,2020
NCT02853331,30779529,PD-1,Rini BI et al,2019
NCT02853331,30779529,PD-1,Powles T et al. ,2020
NCT02420821,31079938,PD-L1,Rini BI et al,2019
NCT00527735,22547592,CTLA-4,Lynch TJ et al,2012
NCT00527735,22547592,CTLA-4,Lynch TJ et al (1),2012
NCT00527735,22547592,CTLA-4,Reck M et al,2012
NCT00527735,22547592,CTLA-4,Reck M et al (1),2012
NCT00527735,22547592,CTLA-4,Lynch TJ et al,2012
NCT00527735,22547592,CTLA-4,Lynch TJ et al (1),2012
NCT00527735,22547592,CTLA-4,Reck M et al,2012
NCT00527735,22547592,CTLA-4,Reck M et al (1),2012
NCT00527735,22858559,CTLA-4,Lynch TJ et al,2012
NCT00527735,22858559,CTLA-4,Lynch TJ et al (1),2012
NCT00527735,22858559,CTLA-4,Reck M et al,2012
NCT00527735,22858559,CTLA-4,Reck M et al (1),2012
NCT00527735,22858559,CTLA-4,Lynch TJ et al,2012
NCT00527735,22858559,CTLA-4,Lynch TJ et al (1),2012
NCT00527735,22858559,CTLA-4,Reck M et al,2012
NCT00527735,22858559,CTLA-4,Reck M et al (1),2012
NCT01673867,26412456,PD-1,Borghaei  H et al,2015
NCT01642004,26028407,PD-1,Brahmer J et al,2015
NCT01905657,26712084,PD-1,Herbst RS et al,2016
NCT01905657,26712084,PD-1,Herbst RS et al (1),2016
NCT01905657,26712084,PD-1,Herbst RS et al,2016
NCT01905657,26712084,PD-1,Herbst RS et al (1),2016
NCT01903993,26970723,PD-L1,Fehrenbacher L et al,2016
NCT01903993,26970723,PD-L1,Mazieres J et al,2020
NCT01450761,27458307,CTLA-4,Reck M et al,2016
NCT02041533,28636851,PD-1,Carbone DP et al,2017
NCT01285609,28854067,CTLA-4,Govindan R et al,2017
