NCT,PMID,is_pediatric,Authors,Year
NCT02302807,29268948,False,Powles T et al,2018
NCT02256436,28212060,False,Bellmunt J et al,2017
NCT02256436,28212060,False,Fradet Y et al,2019
NCT02256436,31050707,False,Bellmunt J et al,2017
NCT02256436,31050707,False,Fradet Y et al,2019
NCT02425891,30345906,False,Schmid P et al,2018
NCT02425891,30345906,False,Schmid P et al,2019
NCT02685059,31095287,False,Loibl S et al,2019
NCT02788279,31003911,False,Eng C et al,2019
NCT02788279,31003911,False,Eng C et al (1),2019
NCT02788279,31003911,False,Eng C et al,2019
NCT02788279,31003911,False,Eng C et al (1),2019
NCT01585987,28655793,False,Bang YJ et al,2017
NCT02267343,28993052,False,Kang YK et al,2017
NCT02267343,28993052,False,Chen LT et al,2019
NCT02625623,30052729,False,Bang YJ et al,2018
NCT02370498,29880231,False,Shitara K et al,2018
NCT02252042,30509740,False,Cohen EEW et al,2018
NCT02105636,27718784,False,Ferris RL et al,2016
NCT02105636,27718784,False,Ferris RL et al,2018
NCT02105636,29884413,False,Ferris RL et al,2016
NCT02105636,29884413,False,Ferris RL et al,2018
NCT01668784,26406148,False,Motzer RJ et al,2015
NCT01668784,26406148,False,Motzer RJ et al,2020
NCT01984242,29867230,False,McDermott DF et al,2018
NCT01984242,29867230,False,McDermott DF et al (1),2018
NCT01984242,29867230,False,McDermott DF et al,2018
NCT01984242,29867230,False,McDermott DF et al (1),2018
NCT02231749,29562145,False,Motzer RJ et al,2018
NCT02231749,29562145,False,Motzer RJ et al,2019
NCT02231749,29562145,False,Motzer RJ et al,2020
NCT02231749,31427204,False,Motzer RJ et al,2018
NCT02231749,31427204,False,Motzer RJ et al,2019
NCT02231749,31427204,False,Motzer RJ et al,2020
NCT02684006,30779531,False,Motzer RJ et al,2019
NCT02684006,30779531,False,Choueiri TK et al,2020
NCT02853331,30779529,False,Rini BI et al,2019
NCT02853331,30779529,False,Powles T et al. ,2020
NCT02420821,31079938,False,Rini BI et al,2019
NCT00527735,22547592,False,Lynch TJ et al,2012
NCT00527735,22547592,False,Lynch TJ et al (1),2012
NCT00527735,22547592,False,Reck M et al,2012
NCT00527735,22547592,False,Reck M et al (1),2012
NCT00527735,22547592,False,Lynch TJ et al,2012
NCT00527735,22547592,False,Lynch TJ et al (1),2012
NCT00527735,22547592,False,Reck M et al,2012
NCT00527735,22547592,False,Reck M et al (1),2012
NCT00527735,22858559,False,Lynch TJ et al,2012
NCT00527735,22858559,False,Lynch TJ et al (1),2012
NCT00527735,22858559,False,Reck M et al,2012
NCT00527735,22858559,False,Reck M et al (1),2012
NCT00527735,22858559,False,Lynch TJ et al,2012
NCT00527735,22858559,False,Lynch TJ et al (1),2012
NCT00527735,22858559,False,Reck M et al,2012
NCT00527735,22858559,False,Reck M et al (1),2012
NCT01673867,26412456,False,Borghaei  H et al,2015
NCT01642004,26028407,False,Brahmer J et al,2015
NCT01905657,26712084,False,Herbst RS et al,2016
NCT01905657,26712084,False,Herbst RS et al (1),2016
