NCT,PMID,normalized_cancer_type,Authors,Year
NCT02302807,29268948,Bladder,Powles T et al,2018
NCT02256436,28212060,Bladder,Bellmunt J et al,2017
NCT02256436,28212060,Bladder,Fradet Y et al,2019
NCT02256436,31050707,Bladder,Bellmunt J et al,2017
NCT02256436,31050707,Bladder,Fradet Y et al,2019
NCT02425891,30345906,Breast,Schmid P et al,2018
NCT02425891,30345906,Breast,Schmid P et al,2019
NCT02685059,31095287,Breast,Loibl S et al,2019
NCT02788279,31003911,Colorectal,Eng C et al,2019
NCT02788279,31003911,Colorectal,Eng C et al (1),2019
NCT02788279,31003911,Colorectal,Eng C et al,2019
NCT02788279,31003911,Colorectal,Eng C et al (1),2019
NCT01585987,28655793,Gastric,Bang YJ et al,2017
NCT02267343,28993052,Gastric,Kang YK et al,2017
NCT02267343,28993052,Gastric,Chen LT et al,2019
NCT02625623,30052729,Gastric,Bang YJ et al,2018
NCT02370498,29880231,Gastric,Shitara K et al,2018
NCT02252042,30509740,Head and Neck,Cohen EEW et al,2018
NCT02105636,27718784,Head and Neck,Ferris RL et al,2016
NCT02105636,27718784,Head and Neck,Ferris RL et al,2018
NCT02105636,29884413,Head and Neck,Ferris RL et al,2016
NCT02105636,29884413,Head and Neck,Ferris RL et al,2018
NCT01668784,26406148,Renal,Motzer RJ et al,2015
NCT01668784,26406148,Renal,Motzer RJ et al,2020
NCT01984242,29867230,Renal,McDermott DF et al,2018
NCT01984242,29867230,Renal,McDermott DF et al (1),2018
NCT01984242,29867230,Renal,McDermott DF et al,2018
NCT01984242,29867230,Renal,McDermott DF et al (1),2018
NCT02231749,29562145,Renal,Motzer RJ et al,2018
NCT02231749,29562145,Renal,Motzer RJ et al,2019
NCT02231749,29562145,Renal,Motzer RJ et al,2020
NCT02231749,31427204,Renal,Motzer RJ et al,2018
NCT02231749,31427204,Renal,Motzer RJ et al,2019
NCT02231749,31427204,Renal,Motzer RJ et al,2020
NCT02684006,30779531,Renal,Motzer RJ et al,2019
NCT02684006,30779531,Renal,Choueiri TK et al,2020
NCT02853331,30779529,Renal,Rini BI et al,2019
NCT02853331,30779529,Renal,Powles T et al. ,2020
NCT02420821,31079938,Renal,Rini BI et al,2019
NCT00527735,22547592,Lung,Lynch TJ et al,2012
NCT00527735,22547592,Lung,Lynch TJ et al (1),2012
NCT00527735,22547592,Lung,Reck M et al,2012
NCT00527735,22547592,Lung,Reck M et al (1),2012
NCT00527735,22547592,Lung,Lynch TJ et al,2012
NCT00527735,22547592,Lung,Lynch TJ et al (1),2012
NCT00527735,22547592,Lung,Reck M et al,2012
NCT00527735,22547592,Lung,Reck M et al (1),2012
NCT00527735,22858559,Lung,Lynch TJ et al,2012
NCT00527735,22858559,Lung,Lynch TJ et al (1),2012
NCT00527735,22858559,Lung,Reck M et al,2012
NCT00527735,22858559,Lung,Reck M et al (1),2012
NCT00527735,22858559,Lung,Lynch TJ et al,2012
NCT00527735,22858559,Lung,Lynch TJ et al (1),2012
NCT00527735,22858559,Lung,Reck M et al,2012
NCT00527735,22858559,Lung,Reck M et al (1),2012
NCT01673867,26412456,Lung,Borghaei  H et al,2015
NCT01642004,26028407,Lung,Brahmer J et al,2015
NCT01905657,26712084,Lung,Herbst RS et al,2016
NCT01905657,26712084,Lung,Herbst RS et al (1),2016
NCT01905657,26712084,Lung,Herbst RS et al,2016
NCT01905657,26712084,Lung,Herbst RS et al (1),2016
NCT01903993,26970723,Lung,Fehrenbacher L et al,2016
NCT01903993,26970723,Lung,Mazieres J et al,2020
NCT01450761,27458307,Lung,Reck M et al,2016
NCT02041533,28636851,Lung,Carbone DP et al,2017
NCT01285609,28854067,Lung,Govindan R et al,2017
