NCT,biomarker_inclusion,Authors,Year,PMID
NCT02302807,None,Powles T et al,2018,29268948
NCT02256436,None,Bellmunt J et al,2017,28212060
NCT02256436,None,Fradet Y et al,2019,31050707
NCT02256436,None,Bellmunt J et al,2017,28212060
NCT02256436,None,Fradet Y et al,2019,31050707
NCT02425891,None,Schmid P et al,2018,30345906
NCT02425891,None,Schmid P et al,2019,31786121
NCT02685059,None,Loibl S et al,2019,31095287
NCT02788279,None,Eng C et al,2019,31003911
NCT02788279,None,Eng C et al (1),2019,31003911
NCT02788279,None,Eng C et al,2019,31003911
NCT02788279,None,Eng C et al (1),2019,31003911
NCT01585987,None,Bang YJ et al,2017,28655793
NCT02267343,None,Kang YK et al,2017,28993052
NCT02267343,None,Chen LT et al,2019,31863227
NCT02625623,None,Bang YJ et al,2018,30052729
NCT02370498,None,Shitara K et al,2018,29880231
NCT02252042,None,Cohen EEW et al,2018,30509740
NCT02105636,None,Ferris RL et al,2016,27718784
NCT02105636,None,Ferris RL et al,2018,29884413
NCT02105636,None,Ferris RL et al,2016,27718784
NCT02105636,None,Ferris RL et al,2018,29884413
NCT01668784,None,Motzer RJ et al,2015,26406148
NCT01668784,None,Motzer RJ et al,2020,32673417
NCT01984242,None,McDermott DF et al,2018,29867230
NCT01984242,None,McDermott DF et al (1),2018,29867230
NCT01984242,None,McDermott DF et al,2018,29867230
NCT01984242,None,McDermott DF et al (1),2018,29867230
NCT02231749,None,Motzer RJ et al,2018,29562145
NCT02231749,None,Motzer RJ et al,2019,31427204
NCT02231749,None,Motzer RJ et al,2020,32661118
NCT02231749,None,Motzer RJ et al,2018,29562145
NCT02231749,None,Motzer RJ et al,2019,31427204
NCT02231749,None,Motzer RJ et al,2020,32661118
NCT02684006,None,Motzer RJ et al,2019,30779531
NCT02684006,None,Choueiri TK et al,2020,32339648
NCT02853331,None,Rini BI et al,2019,30779529
NCT02853331,None,Powles T et al. ,2020,33284113
NCT02420821,None,Rini BI et al,2019,31079938
NCT00527735,None,Lynch TJ et al,2012,22547592
NCT00527735,None,Lynch TJ et al (1),2012,22547592
NCT00527735,None,Reck M et al,2012,22858559
NCT00527735,None,Reck M et al (1),2012,22858559
NCT00527735,None,Lynch TJ et al,2012,22547592
NCT00527735,None,Lynch TJ et al (1),2012,22547592
NCT00527735,None,Reck M et al,2012,22858559
NCT00527735,None,Reck M et al (1),2012,22858559
NCT00527735,None,Lynch TJ et al,2012,22547592
NCT00527735,None,Lynch TJ et al (1),2012,22547592
NCT00527735,None,Reck M et al,2012,22858559
NCT00527735,None,Reck M et al (1),2012,22858559
NCT00527735,None,Lynch TJ et al,2012,22547592
NCT00527735,None,Lynch TJ et al (1),2012,22547592
NCT00527735,None,Reck M et al,2012,22858559
NCT00527735,None,Reck M et al (1),2012,22858559
NCT01673867,None,Borghaei  H et al,2015,26412456
NCT01642004,None,Brahmer J et al,2015,26028407
NCT01905657,PD-L1,Herbst RS et al,2016,26712084
NCT01905657,PD-L1,Herbst RS et al (1),2016,26712084
NCT01905657,PD-L1,Herbst RS et al,2016,26712084
NCT01905657,PD-L1,Herbst RS et al (1),2016,26712084
NCT01903993,PD-L1,Fehrenbacher L et al,2016,26970723
NCT01903993,PD-L1,Mazieres J et al,2020,33166718
NCT01450761,None,Reck M et al,2016,27458307
NCT02041533,Both,Carbone DP et al,2017,28636851
NCT01285609,None,Govindan R et al,2017,28854067
NCT02125461,None,Antonia SJ et al,2017,28885881
NCT02125461,None,Antonia SJ et al,2018,30280658
NCT02125461,None,Antonia SJ et al,2017,28885881
NCT02125461,None,Antonia SJ et al,2018,30280658
NCT02395172,None,Barlesi F et al,2018,30262187
NCT02039674,Both,Langer JC et al,2016,27745820
NCT02039674,Both,Borghaei  H et al,2018,30138764
NCT02039674,Both,Langer JC et al,2016,27745820
NCT02039674,Both,Borghaei  H et al,2018,30138764
NCT02008227,Other,Rittmeyer A et al,2017,27979383
NCT02008227,Other,Fehrenbacher L et al,2018,29777823
NCT02008227,Other,Mazieres J et al,2020,33166718
NCT02008227,Other,Rittmeyer A et al,2017,27979383
NCT02008227,Other,Fehrenbacher L et al,2018,29777823
NCT02008227,Other,Mazieres J et al,2020,33166718
NCT02578680,None,Gandhi L et al,2018,29658856
NCT02763579,None,Horn L et al,2018,30280641
NCT02763579,None,Mansfield AS et al,2020,31959349
NCT02775435,None,Paz-Ares L et al,2018,30280635
NCT02366143,None,Socinski MA et al,2018,29863955
NCT02366143,None,Socinski MA et al (1),2018,29863955
NCT02366143,None,Socinski MA et al,2018,29863955
NCT02366143,None,Socinski MA et al (1),2018,29863955
NCT02477826,None,Hellmann MD et al,2018,29658845
NCT02477826,None,Hellmann MD et al (1),2018,29658845
NCT02477826,None,Hellmann MD et al,2019,31562796
NCT02477826,None,Hellmann MD et al (1),2019,31562796
NCT02477826,None,Hellmann MD et al (2),2019,31562796
NCT02477826,None,Hellmann MD et al,2018,29658845
NCT02477826,None,Hellmann MD et al (1),2018,29658845
NCT02477826,None,Hellmann MD et al,2019,31562796
NCT02477826,None,Hellmann MD et al (1),2019,31562796
NCT02477826,None,Hellmann MD et al (2),2019,31562796
NCT02477826,Other,Hellmann MD et al,2018,29658845
NCT02477826,Other,Hellmann MD et al (1),2018,29658845
NCT02477826,Other,Hellmann MD et al,2019,31562796
NCT02477826,Other,Hellmann MD et al (1),2019,31562796
NCT02477826,Other,Hellmann MD et al (2),2019,31562796
NCT02477826,Other,Hellmann MD et al,2018,29658845
NCT02477826,Other,Hellmann MD et al (1),2018,29658845
NCT02477826,Other,Hellmann MD et al,2019,31562796
NCT02477826,Other,Hellmann MD et al (1),2019,31562796
NCT02477826,Other,Hellmann MD et al (2),2019,31562796
NCT02477826,Other,Hellmann MD et al,2018,29658845
NCT02477826,Other,Hellmann MD et al (1),2018,29658845
NCT02477826,Other,Hellmann MD et al,2019,31562796
