NCT,PMID,therapy_list,Authors,Year
NCT02302807,29268948,['Atezolizumab'],Powles T et al,2018
NCT02256436,28212060,['Pembrolizumab'],Bellmunt J et al,2017
NCT02256436,28212060,['Pembrolizumab'],Fradet Y et al,2019
NCT02256436,31050707,['Pembrolizumab'],Bellmunt J et al,2017
NCT02256436,31050707,['Pembrolizumab'],Fradet Y et al,2019
NCT02425891,30345906,"['Atezolizumab', 'Nab-paclitaxel']",Schmid P et al,2018
NCT02425891,30345906,"['Atezolizumab', 'Nab-paclitaxel']",Schmid P et al,2019
NCT02685059,31095287,"['Durvalumab', 'Nab-paclitaxel', 'Epirubicin', 'Cyclophosphamide']",Loibl S et al,2019
NCT02788279,31003911,"['Atezolizumab', 'Cobimetinib']",Eng C et al,2019
NCT02788279,31003911,"['Atezolizumab', 'Cobimetinib']",Eng C et al (1),2019
NCT02788279,31003911,['Atezolizumab'],Eng C et al,2019
NCT02788279,31003911,['Atezolizumab'],Eng C et al (1),2019
NCT01585987,28655793,['Ipilimumab'],Bang YJ et al,2017
NCT02267343,28993052,['Nivolumab'],Kang YK et al,2017
NCT02267343,28993052,['Nivolumab'],Chen LT et al,2019
NCT02625623,30052729,['Avelumab'],Bang YJ et al,2018
NCT02370498,29880231,['Pembrolizumab'],Shitara K et al,2018
NCT02252042,30509740,['Pembrolizumab'],Cohen EEW et al,2018
NCT02105636,27718784,['Nivolumab'],Ferris RL et al,2016
NCT02105636,27718784,['Nivolumab'],Ferris RL et al,2018
NCT02105636,29884413,['Nivolumab'],Ferris RL et al,2016
NCT02105636,29884413,['Nivolumab'],Ferris RL et al,2018
NCT01668784,26406148,['Nivolumab'],Motzer RJ et al,2015
NCT01668784,26406148,['Nivolumab'],Motzer RJ et al,2020
NCT01984242,29867230,['Atezolizumab'],McDermott DF et al,2018
NCT01984242,29867230,['Atezolizumab'],McDermott DF et al (1),2018
NCT01984242,29867230,"['Atezolizumab', 'Bevacizumab']",McDermott DF et al,2018
NCT01984242,29867230,"['Atezolizumab', 'Bevacizumab']",McDermott DF et al (1),2018
NCT02231749,29562145,"['Nivolumab', 'Ipilimumab']",Motzer RJ et al,2018
NCT02231749,29562145,"['Nivolumab', 'Ipilimumab']",Motzer RJ et al,2019
NCT02231749,29562145,"['Nivolumab', 'Ipilimumab']",Motzer RJ et al,2020
NCT02231749,31427204,"['Nivolumab', 'Ipilimumab']",Motzer RJ et al,2018
NCT02231749,31427204,"['Nivolumab', 'Ipilimumab']",Motzer RJ et al,2019
NCT02231749,31427204,"['Nivolumab', 'Ipilimumab']",Motzer RJ et al,2020
NCT02684006,30779531,"['Avelumab', 'Axitinib']",Motzer RJ et al,2019
NCT02684006,30779531,"['Avelumab', 'Axitinib']",Choueiri TK et al,2020
NCT02853331,30779529,"['Pembrolizumab', 'Axitinib']",Rini BI et al,2019
NCT02853331,30779529,"['Pembrolizumab', 'Axitinib']",Powles T et al. ,2020
NCT02420821,31079938,"['Atezolizumab', 'Bevacizumab']",Rini BI et al,2019
NCT00527735,22547592,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Lynch TJ et al,2012
NCT00527735,22547592,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Lynch TJ et al (1),2012
NCT00527735,22547592,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Reck M et al,2012
NCT00527735,22547592,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Reck M et al (1),2012
NCT00527735,22547592,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Lynch TJ et al,2012
NCT00527735,22547592,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Lynch TJ et al (1),2012
NCT00527735,22547592,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Reck M et al,2012
NCT00527735,22547592,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Reck M et al (1),2012
NCT00527735,22858559,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Lynch TJ et al,2012
NCT00527735,22858559,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Lynch TJ et al (1),2012
NCT00527735,22858559,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Reck M et al,2012
NCT00527735,22858559,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Reck M et al (1),2012
NCT00527735,22858559,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Lynch TJ et al,2012
NCT00527735,22858559,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Lynch TJ et al (1),2012
NCT00527735,22858559,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Reck M et al,2012
NCT00527735,22858559,"['ipilimumab', 'Paclitaxel', 'Carboplatin']",Reck M et al (1),2012
NCT01673867,26412456,['Nivolumab'],Borghaei  H et al,2015
NCT01642004,26028407,['Nivolumab'],Brahmer J et al,2015
NCT01905657,26712084,['Pembrolizumab'],Herbst RS et al,2016
NCT01905657,26712084,['Pembrolizumab'],Herbst RS et al (1),2016
NCT01905657,26712084,['Pembrolizumab'],Herbst RS et al,2016
NCT01905657,26712084,['Pembrolizumab'],Herbst RS et al (1),2016
NCT01903993,26970723,['Atezolizumab'],Fehrenbacher L et al,2016
NCT01903993,26970723,['Atezolizumab'],Mazieres J et al,2020
NCT01450761,27458307,"['Ipilimumab', 'Etoposide', 'Platinum agent']",Reck M et al,2016
NCT02041533,28636851,['Nivolumab'],Carbone DP et al,2017
NCT01285609,28854067,"['Ipilimumab', 'Paclitaxel', 'Carboplatin']",Govindan R et al,2017
NCT02125461,28885881,['Durvalumab'],Antonia SJ et al,2017
NCT02125461,28885881,['Durvalumab'],Antonia SJ et al,2018
NCT02125461,30280658,['Durvalumab'],Antonia SJ et al,2017
NCT02125461,30280658,['Durvalumab'],Antonia SJ et al,2018
NCT02395172,30262187,['Atezolizumab'],Barlesi F et al,2018
NCT02039674,27745820,"['Pembrolizumab', 'Pemetrexed', 'Carboplatin']",Langer JC et al,2016
NCT02039674,27745820,"['Pembrolizumab', 'Pemetrexed', 'Carboplatin']",Borghaei  H et al,2018
NCT02039674,30138764,"['Pembrolizumab', 'Pemetrexed', 'Carboplatin']",Langer JC et al,2016
NCT02039674,30138764,"['Pembrolizumab', 'Pemetrexed', 'Carboplatin']",Borghaei  H et al,2018
NCT02008227,27979383,['Atezolizumab'],Rittmeyer A et al,2017
NCT02008227,27979383,['Atezolizumab'],Fehrenbacher L et al,2018
NCT02008227,27979383,['Atezolizumab'],Mazieres J et al,2020
NCT02008227,29777823,['Atezolizumab'],Rittmeyer A et al,2017
NCT02008227,29777823,['Atezolizumab'],Fehrenbacher L et al,2018
NCT02008227,29777823,['Atezolizumab'],Mazieres J et al,2020
NCT02578680,29658856,"['Pembrolizumab', 'Platinum agent']",Gandhi L et al,2018
NCT02763579,30280641,"['Atezolizumab', 'Etoposide', 'Carboplatin']",Horn L et al,2018
NCT02763579,30280641,"['Atezolizumab', 'Etoposide', 'Carboplatin']",Mansfield AS et al,2020
NCT02775435,30280635,"['Pembrolizumab', 'Carboplatin', 'Paclitaxel', 'nab-paclitaxel']",Paz-Ares L et al,2018
NCT02366143,29863955,"['Atezolizumab', 'Carboplatin', 'Paclitaxel']",Socinski MA et al,2018
NCT02366143,29863955,"['Atezolizumab', 'Carboplatin', 'Paclitaxel']",Socinski MA et al (1),2018
NCT02366143,29863955,"['Atezolizumab', 'Carboplatin', 'Paclitaxel', 'Bevacizumab']",Socinski MA et al,2018
NCT02366143,29863955,"['Atezolizumab', 'Carboplatin', 'Paclitaxel', 'Bevacizumab']",Socinski MA et al (1),2018
NCT02477826,29658845,"['Nivolumab', 'Ipilimumab']",Hellmann MD et al,2018
NCT02477826,29658845,"['Nivolumab', 'Ipilimumab']",Hellmann MD et al (1),2018
NCT02477826,29658845,"['Nivolumab', 'Ipilimumab']",Hellmann MD et al,2019
NCT02477826,29658845,"['Nivolumab', 'Ipilimumab']",Hellmann MD et al (1),2019
NCT02477826,29658845,"['Nivolumab', 'Ipilimumab']",Hellmann MD et al (2),2019
NCT02477826,29658845,['Nivolumab'],Hellmann MD et al,2018
NCT02477826,29658845,['Nivolumab'],Hellmann MD et al (1),2018
NCT02477826,29658845,['Nivolumab'],Hellmann MD et al,2019
NCT02477826,29658845,['Nivolumab'],Hellmann MD et al (1),2019
NCT02477826,29658845,['Nivolumab'],Hellmann MD et al (2),2019
NCT02477826,31562796,"['Nivolumab', 'Ipilimumab']",Hellmann MD et al,2018
NCT02477826,31562796,"['Nivolumab', 'Ipilimumab']",Hellmann MD et al (1),2018
NCT02477826,31562796,"['Nivolumab', 'Ipilimumab']",Hellmann MD et al,2019
NCT02477826,31562796,"['Nivolumab', 'Ipilimumab']",Hellmann MD et al (1),2019
NCT02477826,31562796,"['Nivolumab', 'Ipilimumab']",Hellmann MD et al (2),2019
NCT02477826,31562796,['Nivolumab'],Hellmann MD et al,2018
NCT02477826,31562796,['Nivolumab'],Hellmann MD et al (1),2018
NCT02477826,31562796,['Nivolumab'],Hellmann MD et al,2019
NCT02477826,31562796,['Nivolumab'],Hellmann MD et al (1),2019
NCT02477826,31562796,['Nivolumab'],Hellmann MD et al (2),2019
NCT02477826,31562796,"['Nivolumab', 'Chemotherapy']",Hellmann MD et al,2018
NCT02477826,31562796,"['Nivolumab', 'Chemotherapy']",Hellmann MD et al (1),2018
NCT02477826,31562796,"['Nivolumab', 'Chemotherapy']",Hellmann MD et al,2019
NCT02477826,31562796,"['Nivolumab', 'Chemotherapy']",Hellmann MD et al (1),2019
NCT02477826,31562796,"['Nivolumab', 'Chemotherapy']",Hellmann MD et al (2),2019
NCT02220894,30955977,['Pembrolizumab'],Mok TSK et al,2019
NCT03059667,30664989,['Atezolizumab'],Pujol JL et al,2019
NCT02142738,30620668,['Pembrolizumab'],Reck M et al,2019
NCT02142738,30620668,['Pembrolizumab'],Reck M et al,2016
NCT02367781,31122901,"['Atezolizumab', 'Carboplatin', 'Nab-paclitaxel']",West H et al,2019
NCT02613507,30659987,['Nivolumab'],Wu YL et al,2019
