NCT,PMID,cancer_type,treatment_regimen,Authors,Year
NCT02302807,29268948,Other,Immunotherapy,Powles T et al,2018
NCT02256436,28212060,Other,Immunotherapy,Bellmunt J et al,2017
NCT02256436,28212060,Other,Immunotherapy,Fradet Y et al,2019
NCT02256436,31050707,Other,Immunotherapy,Bellmunt J et al,2017
NCT02256436,31050707,Other,Immunotherapy,Fradet Y et al,2019
NCT02425891,30345906,Breast,Immunotherapy,Schmid P et al,2018
NCT02425891,30345906,Breast,Immunotherapy,Schmid P et al,2019
NCT02685059,31095287,Breast,Chemotherapy,Loibl S et al,2019
NCT02788279,31003911,Colorectal,Immunotherapy,Eng C et al,2019
NCT02788279,31003911,Colorectal,Immunotherapy,Eng C et al (1),2019
NCT02788279,31003911,Colorectal,Immunotherapy,Eng C et al,2019
NCT02788279,31003911,Colorectal,Immunotherapy,Eng C et al (1),2019
NCT01585987,28655793,Other,Immunotherapy,Bang YJ et al,2017
NCT02267343,28993052,Other,Immunotherapy,Kang YK et al,2017
NCT02267343,28993052,Other,Immunotherapy,Chen LT et al,2019
NCT02625623,30052729,Other,Immunotherapy,Bang YJ et al,2018
NCT02370498,29880231,Other,Immunotherapy,Shitara K et al,2018
NCT02252042,30509740,Other,Immunotherapy,Cohen EEW et al,2018
NCT02105636,27718784,Other,Immunotherapy,Ferris RL et al,2016
NCT02105636,27718784,Other,Immunotherapy,Ferris RL et al,2018
NCT02105636,29884413,Other,Immunotherapy,Ferris RL et al,2016
NCT02105636,29884413,Other,Immunotherapy,Ferris RL et al,2018
NCT01668784,26406148,Other,Immunotherapy,Motzer RJ et al,2015
NCT01668784,26406148,Other,Immunotherapy,Motzer RJ et al,2020
NCT01984242,29867230,Other,Immunotherapy,McDermott DF et al,2018
NCT01984242,29867230,Other,Immunotherapy,McDermott DF et al (1),2018
NCT01984242,29867230,Other,Immunotherapy,McDermott DF et al,2018
NCT01984242,29867230,Other,Immunotherapy,McDermott DF et al (1),2018
NCT02231749,29562145,Other,Immunotherapy,Motzer RJ et al,2018
NCT02231749,29562145,Other,Immunotherapy,Motzer RJ et al,2019
NCT02231749,29562145,Other,Immunotherapy,Motzer RJ et al,2020
NCT02231749,31427204,Other,Immunotherapy,Motzer RJ et al,2018
NCT02231749,31427204,Other,Immunotherapy,Motzer RJ et al,2019
NCT02231749,31427204,Other,Immunotherapy,Motzer RJ et al,2020
NCT02684006,30779531,Other,Immunotherapy,Motzer RJ et al,2019
NCT02684006,30779531,Other,Immunotherapy,Choueiri TK et al,2020
NCT02853331,30779529,Other,Immunotherapy,Rini BI et al,2019
NCT02853331,30779529,Other,Immunotherapy,Powles T et al. ,2020
NCT02420821,31079938,Other,Immunotherapy,Rini BI et al,2019
