NCT,PMID,sample_size_range,Authors,Year
NCT02302807,29268948,501-1000,Powles T et al,2018
NCT02256436,28212060,501-1000,Bellmunt J et al,2017
NCT02256436,28212060,501-1000,Fradet Y et al,2019
NCT02256436,31050707,501-1000,Bellmunt J et al,2017
NCT02256436,31050707,501-1000,Fradet Y et al,2019
NCT02425891,30345906,501-1000,Schmid P et al,2018
NCT02425891,30345906,501-1000,Schmid P et al,2019
NCT02685059,31095287,100-500,Loibl S et al,2019
NCT02788279,31003911,100-500,Eng C et al,2019
NCT02788279,31003911,100-500,Eng C et al (1),2019
NCT02788279,31003911,100-500,Eng C et al,2019
NCT02788279,31003911,100-500,Eng C et al (1),2019
NCT01585987,28655793,100-500,Bang YJ et al,2017
NCT02267343,28993052,100-500,Kang YK et al,2017
NCT02267343,28993052,100-500,Chen LT et al,2019
NCT02625623,30052729,100-500,Bang YJ et al,2018
NCT02370498,29880231,100-500,Shitara K et al,2018
NCT02252042,30509740,100-500,Cohen EEW et al,2018
NCT02105636,27718784,100-500,Ferris RL et al,2016
NCT02105636,27718784,100-500,Ferris RL et al,2018
NCT02105636,29884413,100-500,Ferris RL et al,2016
NCT02105636,29884413,100-500,Ferris RL et al,2018
NCT01668784,26406148,501-1000,Motzer RJ et al,2015
NCT01668784,26406148,501-1000,Motzer RJ et al,2020
NCT01984242,29867230,100-500,McDermott DF et al,2018
NCT01984242,29867230,100-500,McDermott DF et al (1),2018
NCT01984242,29867230,100-500,McDermott DF et al,2018
NCT01984242,29867230,100-500,McDermott DF et al (1),2018
NCT02231749,29562145,greater than 1000,Motzer RJ et al,2018
NCT02231749,29562145,greater than 1000,Motzer RJ et al,2019
NCT02231749,29562145,greater than 1000,Motzer RJ et al,2020
NCT02231749,31427204,greater than 1000,Motzer RJ et al,2018
NCT02231749,31427204,greater than 1000,Motzer RJ et al,2019
NCT02231749,31427204,greater than 1000,Motzer RJ et al,2020
NCT02684006,30779531,501-1000,Motzer RJ et al,2019
NCT02684006,30779531,501-1000,Choueiri TK et al,2020
NCT02853331,30779529,501-1000,Rini BI et al,2019
NCT02853331,30779529,501-1000,Powles T et al. ,2020
NCT02420821,31079938,501-1000,Rini BI et al,2019
NCT00527735,22547592,100-500,Lynch TJ et al,2012
NCT00527735,22547592,100-500,Lynch TJ et al (1),2012
NCT00527735,22547592,100-500,Reck M et al,2012
NCT00527735,22547592,100-500,Reck M et al (1),2012
NCT00527735,22547592,100-500,Lynch TJ et al,2012
NCT00527735,22547592,100-500,Lynch TJ et al (1),2012
NCT00527735,22547592,100-500,Reck M et al,2012
NCT00527735,22547592,100-500,Reck M et al (1),2012
NCT00527735,22858559,100-500,Lynch TJ et al,2012
NCT00527735,22858559,100-500,Lynch TJ et al (1),2012
NCT00527735,22858559,100-500,Reck M et al,2012
NCT00527735,22858559,100-500,Reck M et al (1),2012
NCT00527735,22858559,100-500,Lynch TJ et al,2012
NCT00527735,22858559,100-500,Lynch TJ et al (1),2012
NCT00527735,22858559,100-500,Reck M et al,2012
NCT00527735,22858559,100-500,Reck M et al (1),2012
NCT01673867,26412456,501-1000,Borghaei  H et al,2015
NCT01642004,26028407,100-500,Brahmer J et al,2015
NCT01905657,26712084,greater than 1000,Herbst RS et al,2016
NCT01905657,26712084,greater than 1000,Herbst RS et al (1),2016
