NCT,Authors,Year,PMID,Trial name,Cancer type,Treatment regimen,inferred_cancer_type
NCT02302807,Powles T et al,2018,29268948,IMvigor211,Bladder,Atezolizumab,Bladder
NCT02256436,Bellmunt J et al,2017,28212060,Keynote-045,Bladder,Pembrolizumab,Bladder
NCT02256436,Fradet Y et al,2019,31050707,Keynote-045,Bladder,Pembrolizumab,Bladder
NCT02425891,Schmid P et al,2018,30345906,IMpassion130,Breast,Atezolizumab+Nab-paclitaxel,Breast
NCT02685059,Loibl S et al,2019,31095287,GeparNuevo,Breast,Durvalumab+Nab-paclitaxel+epirubicin+cyclophosphamide,Breast
NCT02788279,Eng C et al,2019,31003911,IMblaze130,Colorectal,Atezolizumab+Cobimetinib,Colorectal
NCT02788279,Eng C et al,2019,31003911,IMblaze130,Colorectal,Atezolizumab+Cobimetinib,Colorectal
NCT02788279,Eng C et al (1),2019,31003911,IMblaze130,Colorectal,Atezolizumab,Colorectal
NCT02788279,Eng C et al (1),2019,31003911,IMblaze130,Colorectal,Atezolizumab,Colorectal
NCT01585987,Bang YJ et al,2017,28655793,,Gastric/GEJ,Ipilimumab,Gastric/GEJ
NCT02267343,Kang YK et al,2017,28993052,ATTRACTION-2,Gastric/GEJ,Nivolumab,Gastric/GEJ
NCT02625623,Bang YJ et al,2018,30052729,JAVELIN Gastric 300,Gastric/GEJ,Avelumab,Gastric/GEJ
NCT02370498,Shitara K et al,2018,29880231,Keynote-061,Gastric/GEJ,Pembrolizumab,Gastric/GEJ
NCT02252042,Cohen EEW et al,2018,30509740,KEYNOTE-040,Head and Neck ,Pembrolizumab,Head and Neck
NCT02105636,Ferris RL et al,2016,27718784,CheckMate 141,Head and Neck,Nivolumab,Head and Neck
NCT02105636,Ferris RL et al,2018,29884413,CheckMate 141,Head and Neck,Nivolumab,Head and Neck
NCT01668784,Motzer RJ et al,2015,26406148,CheckMate 025,Renal cell,Nivolumab,Renal cell
NCT01984242,McDermott DF et al,2018,29867230,IMmotion150,Renal cell,Atezolizumab,Renal cell
NCT01984242,McDermott DF et al,2018,29867230,IMmotion150,Renal cell,Atezolizumab,Renal cell
NCT01984242,McDermott DF et al (1),2018,29867230,IMmotion150,Renal cell,Atezolizumab+Bevacizumab,Renal cell
NCT01984242,McDermott DF et al (1),2018,29867230,IMmotion150,Renal cell,Atezolizumab+Bevacizumab,Renal cell
NCT02231749,Motzer RJ et al,2018,29562145,CheckMate 214,Renal cell,Nivolumab+Ipilimumab,Renal cell
NCT02231749,Motzer RJ et al,2019,31427204,CheckMate 214,Renal cell,Nivolumab+Ipilimumab,Renal cell
NCT02684006,Motzer RJ et al,2019,30779531,JAVELIN Renal 101,Renal cell,Avelumab+Axitinib,Renal cell
NCT02853331,Rini BI et al,2019,30779529,KEYNOTE-426,Renal cell,Pembrolizumab+Axitinib,Renal cell
NCT02420821,Rini BI et al,2019,31079938,IMmotion151,Renal cell,Atezolizumab+Bevacizumab,Renal cell
NCT00527735,Lynch TJ et al,2012,22547592,,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Non-Small Cell Lung
NCT00527735,Lynch TJ et al,2012,22547592,,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Non-Small Cell Lung
NCT00527735,Lynch TJ et al (1),2012,22547592,,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Non-Small Cell Lung
NCT00527735,Lynch TJ et al (1),2012,22547592,,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Non-Small Cell Lung
NCT00527735,Reck M et al,2012,22858559,,Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Small Cell Lung
NCT00527735,Reck M et al,2012,22858559,,Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Small Cell Lung
NCT00527735,Reck M et al (1),2012,22858559,,Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Small Cell Lung
NCT00527735,Reck M et al (1),2012,22858559,,Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Small Cell Lung
NCT01673867,Borghaei  H et al,2015,26412456,Checkmate 057,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT01642004,Brahmer J et al,2015,26028407,Checkmate 017,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT01905657,Herbst RS et al,2016,26712084,Keynote-010,Non-Small Cell Lung,Pembrolizumab,Non-Small Cell Lung
NCT01905657,Herbst RS et al,2016,26712084,Keynote-010,Non-Small Cell Lung,Pembrolizumab,Non-Small Cell Lung
NCT01905657,Herbst RS et al (1),2016,26712084,Keynote-010,Non-Small Cell Lung,Pembrolizumab,Non-Small Cell Lung
NCT01905657,Herbst RS et al (1),2016,26712084,Keynote-010,Non-Small Cell Lung,Pembrolizumab,Non-Small Cell Lung
NCT01903993,Fehrenbacher L et al,2016,26970723,POPLAR,Non-Small Cell Lung,Atezolizumab,Non-Small Cell Lung
NCT01450761,Reck M et al,2016,27458307,CA184-156,Small Cell Lung,Ipilimumab+Etoposide+Platinum agent,Small Cell Lung
NCT02041533,Carbone DP et al,2017,28636851,Checkmate 026,Non-Small Cell Lung,Nivolumab,Non-Small Cell Lung
NCT01285609,Govindan R et al,2017,28854067,,Non-Small Cell Lung,Ipilimumab+Paclitaxel+Carboplatin,Non-Small Cell Lung
NCT02125461,Antonia SJ et al,2017,28885881,PACIFIC,Non-Small Cell Lung,Durvalumab,Non-Small Cell Lung
NCT02125461,Antonia SJ et al,2018,30280658,PACIFIC,Non-Small Cell Lung,Durvalumab,Non-Small Cell Lung
NCT02395172,Barlesi F et al,2018,30262187,JAVELIN Lung 200,Non-Small Cell Lung,Atezolizumab,Non-Small Cell Lung
NCT02039674,Langer JC et al,2016,27745820,Keynote-021,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,Non-Small Cell Lung
NCT02039674,Borghaei  H et al,2018,30138764,Keynote-021,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,Non-Small Cell Lung
NCT02008227,Rittmeyer A et al,2017,27979383,OAK,Non-Small Cell Lung,Atezolizumab,Non-Small Cell Lung
NCT02008227,Fehrenbacher L et al,2018,29777823,OAK,Non-Small Cell Lung,Atezolizumab,Non-Small Cell Lung
NCT02578680,Gandhi L et al,2018,29658856,Keynote-189,Non-Small Cell Lung,Pembrolizumab+Platinum agent,Non-Small Cell Lung
NCT02763579,Horn L et al,2018,30280641,IMPower 133,Small Cell Lung,Atezolizumab+Etoposide+Carboplatin,Small Cell Lung
NCT02775435,Paz-Ares L et al,2018,30280635,Keynote-407,Non-Small Cell Lung,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,Non-Small Cell Lung
