NCT,PMID,sample_size_category,Authors,Year
NCT02302807,29268948,large,Powles T et al,2018
NCT02256436,28212060,large,Bellmunt J et al,2017
NCT02256436,28212060,large,Fradet Y et al,2019
NCT02256436,31050707,large,Bellmunt J et al,2017
NCT02256436,31050707,large,Fradet Y et al,2019
NCT02425891,30345906,large,Schmid P et al,2018
NCT02425891,30345906,large,Schmid P et al,2019
NCT02685059,31095287,medium,Loibl S et al,2019
NCT02788279,31003911,medium,Eng C et al,2019
NCT02788279,31003911,medium,Eng C et al (1),2019
NCT02788279,31003911,medium,Eng C et al,2019
NCT02788279,31003911,medium,Eng C et al (1),2019
NCT01585987,28655793,medium,Bang YJ et al,2017
NCT02267343,28993052,medium,Kang YK et al,2017
NCT02267343,28993052,medium,Chen LT et al,2019
NCT02625623,30052729,medium,Bang YJ et al,2018
NCT02370498,29880231,medium,Shitara K et al,2018
NCT02252042,30509740,medium,Cohen EEW et al,2018
NCT02105636,27718784,medium,Ferris RL et al,2016
NCT02105636,27718784,medium,Ferris RL et al,2018
NCT02105636,29884413,medium,Ferris RL et al,2016
NCT02105636,29884413,medium,Ferris RL et al,2018
NCT01668784,26406148,large,Motzer RJ et al,2015
NCT01668784,26406148,large,Motzer RJ et al,2020
NCT01984242,29867230,medium,McDermott DF et al,2018
NCT01984242,29867230,medium,McDermott DF et al (1),2018
NCT01984242,29867230,medium,McDermott DF et al,2018
NCT01984242,29867230,medium,McDermott DF et al (1),2018
NCT02231749,29562145,large,Motzer RJ et al,2018
NCT02231749,29562145,large,Motzer RJ et al,2019
NCT02231749,29562145,large,Motzer RJ et al,2020
NCT02231749,31427204,large,Motzer RJ et al,2018
NCT02231749,31427204,large,Motzer RJ et al,2019
NCT02231749,31427204,large,Motzer RJ et al,2020
NCT02684006,30779531,large,Motzer RJ et al,2019
NCT02684006,30779531,large,Choueiri TK et al,2020
NCT02853331,30779529,large,Rini BI et al,2019
NCT02853331,30779529,large,Powles T et al. ,2020
NCT02420821,31079938,large,Rini BI et al,2019
NCT00527735,22547592,medium,Lynch TJ et al,2012
NCT00527735,22547592,medium,Lynch TJ et al (1),2012
NCT00527735,22547592,medium,Reck M et al,2012
NCT00527735,22547592,medium,Reck M et al (1),2012
NCT00527735,22547592,medium,Lynch TJ et al,2012
NCT00527735,22547592,medium,Lynch TJ et al (1),2012
NCT00527735,22547592,medium,Reck M et al,2012
NCT00527735,22547592,medium,Reck M et al (1),2012
NCT00527735,22858559,medium,Lynch TJ et al,2012
NCT00527735,22858559,medium,Lynch TJ et al (1),2012
NCT00527735,22858559,medium,Reck M et al,2012
NCT00527735,22858559,medium,Reck M et al (1),2012
NCT00527735,22858559,medium,Lynch TJ et al,2012
NCT00527735,22858559,medium,Lynch TJ et al (1),2012
NCT00527735,22858559,medium,Reck M et al,2012
NCT00527735,22858559,medium,Reck M et al (1),2012
NCT01673867,26412456,large,Borghaei  H et al,2015
NCT01642004,26028407,medium,Brahmer J et al,2015
NCT01905657,26712084,large,Herbst RS et al,2016
NCT01905657,26712084,large,Herbst RS et al (1),2016
NCT01905657,26712084,large,Herbst RS et al,2016
NCT01905657,26712084,large,Herbst RS et al (1),2016
NCT01903993,26970723,medium,Fehrenbacher L et al,2016
NCT01903993,26970723,medium,Mazieres J et al,2020
NCT01450761,27458307,large,Reck M et al,2016
