NCT,Authors,Year,PMID,normalized_cancer_type,normalized_treatment_regimen
NCT02302807,Powles T et al,2018,29268948,Bladder Cancer,Atezolizumab
NCT02256436,Bellmunt J et al,2017,28212060,Bladder Cancer,Immunotherapy
NCT02256436,Fradet Y et al,2019,31050707,Bladder Cancer,Immunotherapy
NCT02425891,Schmid P et al,2018,30345906,Breast Cancer,Chemotherapy
NCT02685059,Loibl S et al,2019,31095287,Breast Cancer,Chemotherapy
NCT02788279,Eng C et al,2019,31003911,Colorectal Cancer,Atezolizumab+Cobimetinib
NCT02788279,Eng C et al (1),2019,31003911,Colorectal Cancer,Immunotherapy
NCT01585987,Bang YJ et al,2017,28655793,Gastric Cancer,Immunotherapy
NCT02267343,Kang YK et al,2017,28993052,Gastric Cancer,Immunotherapy
NCT02625623,Bang YJ et al,2018,30052729,Gastric Cancer,Avelumab
NCT02370498,Shitara K et al,2018,29880231,Gastric Cancer,Immunotherapy
NCT02252042,Cohen EEW et al,2018,30509740,Head and Neck Cancer,Immunotherapy
NCT02105636,Ferris RL et al,2016,27718784,Head and Neck Cancer,Nivolumab
NCT02105636,Ferris RL et al,2018,29884413,Head and Neck Cancer,Immunotherapy
NCT01668784,Motzer RJ et al,2015,26406148,Renal Cell Carcinoma,Nivolumab
NCT01984242,McDermott DF et al,2018,29867230,Renal Cell Cancer,Immunotherapy
NCT01984242,McDermott DF et al (1),2018,29867230,Renal Cell Cancer,Atezolizumab+Bevacizumab
NCT02231749,Motzer RJ et al,2018,29562145,Renal Cell Cancer,Immunotherapy
NCT02231749,Motzer RJ et al,2019,31427204,Renal Cell Carcinoma,Immunotherapy
NCT02684006,Motzer RJ et al,2019,30779531,Renal Cell Cancer,Avelumab+Axitinib
NCT02853331,Rini BI et al,2019,30779529,Renal Cell Carcinoma,Immunotherapy
NCT02420821,Rini BI et al,2019,31079938,Renal Cell Cancer,Atezolizumab+Bevacizumab
NCT00527735,Lynch TJ et al,2012,22547592,Lung Cancer,Chemotherapy
NCT00527735,Lynch TJ et al (1),2012,22547592,Lung Cancer,Chemotherapy
NCT00527735,Reck M et al,2012,22858559,Lung Cancer,Chemotherapy
NCT00527735,Reck M et al (1),2012,22858559,Small Cell Lung Cancer,Chemotherapy
NCT01673867,Borghaei  H et al,2015,26412456,Lung Cancer,Nivolumab
NCT01642004,Brahmer J et al,2015,26028407,Lung Cancer,Immunotherapy
NCT01905657,Herbst RS et al,2016,26712084,Non-Small Cell Lung Cancer,Pembrolizumab
NCT01905657,Herbst RS et al (1),2016,26712084,Lung Cancer,Immunotherapy
NCT01903993,Fehrenbacher L et al,2016,26970723,Lung Cancer,Immunotherapy
NCT01450761,Reck M et al,2016,27458307,Lung Cancer,Chemotherapy
NCT02041533,Carbone DP et al,2017,28636851,Non-Small Cell Lung Cancer,Nivolumab
NCT01285609,Govindan R et al,2017,28854067,Non-Small Cell Lung Cancer,Chemotherapy
NCT02125461,Antonia SJ et al,2017,28885881,Lung Cancer,Immunotherapy
NCT02125461,Antonia SJ et al,2018,30280658,Lung Cancer,Immunotherapy
NCT02395172,Barlesi F et al,2018,30262187,Lung Cancer,Immunotherapy
NCT02039674,Langer JC et al,2016,27745820,Lung Cancer,Chemotherapy
NCT02039674,Borghaei  H et al,2018,30138764,Lung Cancer,Chemotherapy
NCT02008227,Rittmeyer A et al,2017,27979383,Lung Cancer,Immunotherapy
NCT02008227,Fehrenbacher L et al,2018,29777823,Lung Cancer,Immunotherapy
NCT02578680,Gandhi L et al,2018,29658856,Non-Small Cell Lung Cancer,Immunotherapy+Chemotherapy
NCT02763579,Horn L et al,2018,30280641,Small Cell Lung Cancer,Chemotherapy
NCT02775435,Paz-Ares L et al,2018,30280635,Lung Cancer,Chemotherapy
NCT02366143,Socinski MA et al,2018,29863955,Lung Cancer,Chemotherapy
NCT02366143,Socinski MA et al (1),2018,29863955,Lung Cancer,Chemotherapy
NCT02477826,Hellmann MD et al,2018,29658845,Lung Cancer,Immunotherapy
NCT02477826,Hellmann MD et al (1),2018,29658845,Lung Cancer,Immunotherapy
NCT02477826,Hellmann MD et al,2019,31562796,Lung Cancer,Immunotherapy
NCT02477826,Hellmann MD et al (1),2019,31562796,Lung Cancer,Immunotherapy
NCT02477826,Hellmann MD et al (2),2019,31562796,Non-Small Cell Lung Cancer,Chemotherapy
NCT02220894,Mok TSK et al,2019,30955977,Non-Small Cell Lung Cancer,Pembrolizumab
