NCT,PMID,cancer_type_normalized,treatment_regimen_normalized,Authors,Year
NCT02302807,29268948,Bladder Cancer,Atezolizumab,Powles T et al,2018
NCT02256436,28212060,Bladder Cancer,Pembrolizumab,Bellmunt J et al,2017
NCT02256436,28212060,Bladder Cancer,Pembrolizumab,Fradet Y et al,2019
NCT02256436,31050707,Bladder Cancer,Pembrolizumab,Bellmunt J et al,2017
NCT02256436,31050707,Bladder Cancer,Pembrolizumab,Fradet Y et al,2019
NCT02425891,30345906,Breast Cancer,Atezolizumab+Nab-paclitaxel,Schmid P et al,2018
NCT02425891,30345906,Breast Cancer,Atezolizumab+Nab-paclitaxel,Schmid P et al,2019
NCT02685059,31095287,Breast Cancer,"Durvalumab plus Nab-paclitaxel, epirubicin, and cyclophosphamide",Loibl S et al,2019
NCT02788279,31003911,Colorectal Cancer,Atezolizumab+Cobimetinib,Eng C et al,2019
NCT02788279,31003911,Colorectal Cancer,Atezolizumab+Cobimetinib,Eng C et al (1),2019
NCT02788279,31003911,Colorectal Cancer,Atezolizumab,Eng C et al,2019
NCT02788279,31003911,Colorectal Cancer,Atezolizumab,Eng C et al (1),2019
NCT01585987,28655793,Gastric/GEJ,Ipilimumab,Bang YJ et al,2017
NCT02267343,28993052,Gastric/GEJ,Nivolumab,Kang YK et al,2017
NCT02267343,28993052,Gastric/GEJ,Nivolumab,Chen LT et al,2019
NCT02625623,30052729,Gastric/GEJ,Avelumab,Bang YJ et al,2018
NCT02370498,29880231,Gastric/GEJ,Pembrolizumab,Shitara K et al,2018
NCT02252042,30509740,Head and Neck Cancer,Pembrolizumab,Cohen EEW et al,2018
NCT02105636,27718784,Head and Neck Cancer,Nivolumab,Ferris RL et al,2016
NCT02105636,27718784,Head and Neck Cancer,Nivolumab,Ferris RL et al,2018
NCT02105636,29884413,Head and Neck Cancer,Nivolumab,Ferris RL et al,2016
NCT02105636,29884413,Head and Neck Cancer,Nivolumab,Ferris RL et al,2018
NCT01668784,26406148,Renal cell carcinoma,Nivolumab,Motzer RJ et al,2015
NCT01668784,26406148,Renal cell carcinoma,Nivolumab,Motzer RJ et al,2020
NCT01984242,29867230,Renal Cell Carcinoma,Atezolizumab,McDermott DF et al,2018
NCT01984242,29867230,Renal Cell Carcinoma,Atezolizumab,McDermott DF et al (1),2018
NCT01984242,29867230,Renal Cell Carcinoma,Atezolizumab+Bevacizumab,McDermott DF et al,2018
NCT01984242,29867230,Renal Cell Carcinoma,Atezolizumab+Bevacizumab,McDermott DF et al (1),2018
NCT02231749,29562145,Renal Cell Carcinoma,Nivolumab+Ipilimumab,Motzer RJ et al,2018
NCT02231749,29562145,Renal Cell Carcinoma,Nivolumab+Ipilimumab,Motzer RJ et al,2019
NCT02231749,29562145,Renal Cell Carcinoma,Nivolumab+Ipilimumab,Motzer RJ et al,2020
NCT02231749,31427204,Renal Cell Carcinoma,Nivolumab+Ipilimumab,Motzer RJ et al,2018
NCT02231749,31427204,Renal Cell Carcinoma,Nivolumab+Ipilimumab,Motzer RJ et al,2019
NCT02231749,31427204,Renal Cell Carcinoma,Nivolumab+Ipilimumab,Motzer RJ et al,2020
NCT02684006,30779531,Renal cell carcinoma,Avelumab+Axitinib,Motzer RJ et al,2019
NCT02684006,30779531,Renal cell carcinoma,Avelumab+Axitinib,Choueiri TK et al,2020
NCT02853331,30779529,Renal cell carcinoma,Pembrolizumab+Axitinib,Rini BI et al,2019
NCT02853331,30779529,Renal cell carcinoma,Pembrolizumab+Axitinib,Powles T et al. ,2020
NCT02420821,31079938,Renal cell carcinoma,Atezolizumab+Bevacizumab,Rini BI et al,2019
NCT00527735,22547592,Non-Small Cell Lung Cancer,"Concurrent ipilimumab, Paclitaxel, and Carboplatin",Lynch TJ et al,2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,"Concurrent ipilimumab, Paclitaxel, and Carboplatin",Lynch TJ et al (1),2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,"Concurrent ipilimumab, Paclitaxel, and Carboplatin",Reck M et al,2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,"Concurrent ipilimumab, Paclitaxel, and Carboplatin",Reck M et al (1),2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,Phased ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al,2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,Phased ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al (1),2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,Phased ipilimumab+Paclitaxel+Carboplatin,Reck M et al,2012
NCT00527735,22547592,Non-Small Cell Lung Cancer,Phased ipilimumab+Paclitaxel+Carboplatin,Reck M et al (1),2012
NCT00527735,22858559,Small Cell Lung Cancer,Concurrent ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al,2012
NCT00527735,22858559,Small Cell Lung Cancer,Concurrent ipilimumab+Paclitaxel+Carboplatin,Lynch TJ et al (1),2012
NCT00527735,22858559,Small Cell Lung Cancer,Concurrent ipilimumab+Paclitaxel+Carboplatin,Reck M et al,2012
NCT00527735,22858559,Small Cell Lung Cancer,Concurrent ipilimumab+Paclitaxel+Carboplatin,Reck M et al (1),2012
