NCT,PMID,extracted_aspects,Authors,Year
NCT02302807,29268948,Phase III trial,Powles T et al,2018
NCT02256436,28212060,anti-PD-1 therapy,Bellmunt J et al,2017
NCT02256436,28212060,anti-PD-1 therapy,Fradet Y et al,2019
NCT02256436,31050707,Pembrolizumab monotherapy,Bellmunt J et al,2017
NCT02256436,31050707,Pembrolizumab monotherapy,Fradet Y et al,2019
NCT02425891,30345906,Atezolizumab in combination with Nab-paclitaxel,Schmid P et al,2018
NCT02425891,30345906,Atezolizumab in combination with Nab-paclitaxel,Schmid P et al,2019
NCT02685059,31095287,"Durvalumab, Nab-paclitaxel, anthracycline-based chemotherapy, epirubicin, cyclophosphamide",Loibl S et al,2019
NCT02788279,31003911,Atezolizumab and Cobimetinib combination,Eng C et al,2019
NCT02788279,31003911,Atezolizumab and Cobimetinib combination,Eng C et al (1),2019
NCT02788279,31003911,Atezolizumab monotherapy,Eng C et al,2019
NCT02788279,31003911,Atezolizumab monotherapy,Eng C et al (1),2019
NCT01585987,28655793,Ipilimumab monotherapy,Bang YJ et al,2017
NCT02267343,28993052,Nivolumab monotherapy,Kang YK et al,2017
NCT02267343,28993052,Nivolumab monotherapy,Chen LT et al,2019
NCT02625623,30052729,Monotherapy with Avelumab,Bang YJ et al,2018
NCT02370498,29880231,Monotherapy,Shitara K et al,2018
NCT02252042,30509740,Pembrolizumab monotherapy,Cohen EEW et al,2018
NCT02105636,27718784,Phase 3 trial of nivolumab monotherapy,Ferris RL et al,2016
NCT02105636,27718784,Phase 3 trial of nivolumab monotherapy,Ferris RL et al,2018
NCT02105636,29884413,Nivolumab monotherapy,Ferris RL et al,2016
NCT02105636,29884413,Nivolumab monotherapy,Ferris RL et al,2018
NCT01668784,26406148,Nivolumab monotherapy,Motzer RJ et al,2015
NCT01668784,26406148,Nivolumab monotherapy,Motzer RJ et al,2020
NCT01984242,29867230,Atezolizumab monotherapy,McDermott DF et al,2018
NCT01984242,29867230,Atezolizumab monotherapy,McDermott DF et al (1),2018
NCT01984242,29867230,Atezolizumab and Bevacizumab combination,McDermott DF et al,2018
NCT01984242,29867230,Atezolizumab and Bevacizumab combination,McDermott DF et al (1),2018
NCT02231749,29562145,Nivolumab and Ipilimumab combination,Motzer RJ et al,2018
NCT02231749,29562145,Nivolumab and Ipilimumab combination,Motzer RJ et al,2019
NCT02231749,29562145,Nivolumab and Ipilimumab combination,Motzer RJ et al,2020
NCT02231749,31427204,Nivolumab and Ipilimumab combination,Motzer RJ et al,2018
NCT02231749,31427204,Nivolumab and Ipilimumab combination,Motzer RJ et al,2019
NCT02231749,31427204,Nivolumab and Ipilimumab combination,Motzer RJ et al,2020
NCT02684006,30779531,Avelumab and Axitinib combination; JAVELIN Renal 101 trial,Motzer RJ et al,2019
NCT02684006,30779531,Avelumab and Axitinib combination; JAVELIN Renal 101 trial,Choueiri TK et al,2020
NCT02853331,30779529,Pembrolizumab and Axitinib combination,Rini BI et al,2019
NCT02853331,30779529,Pembrolizumab and Axitinib combination,Powles T et al. ,2020
NCT02420821,31079938,Atezolizumab and Bevacizumab combination,Rini BI et al,2019
NCT00527735,22547592,Concurrent administration of ipilimumab with chemotherapy.,Lynch TJ et al,2012
NCT00527735,22547592,Concurrent administration of ipilimumab with chemotherapy.,Lynch TJ et al (1),2012
NCT00527735,22547592,Concurrent administration of ipilimumab with chemotherapy.,Reck M et al,2012
NCT00527735,22547592,Concurrent administration of ipilimumab with chemotherapy.,Reck M et al (1),2012
NCT00527735,22547592,Phased ipilimumab administration,Lynch TJ et al,2012
NCT00527735,22547592,Phased ipilimumab administration,Lynch TJ et al (1),2012
NCT00527735,22547592,Phased ipilimumab administration,Reck M et al,2012
NCT00527735,22547592,Phased ipilimumab administration,Reck M et al (1),2012
NCT00527735,22858559,concurrent ipilimumab with chemotherapy,Lynch TJ et al,2012
