NCT,Authors,Year,PMID
NCT02302807,Powles T et al,2018,29268948
NCT02256436,Bellmunt J et al,2017,28212060
NCT02256436,Fradet Y et al,2019,31050707
NCT02425891,Schmid P et al,2018,30345906
NCT02685059,Loibl S et al,2019,31095287
NCT02788279,Eng C et al,2019,31003911
NCT02788279,Eng C et al (1),2019,31003911
NCT01585987,Bang YJ et al,2017,28655793
NCT02267343,Kang YK et al,2017,28993052
NCT02625623,Bang YJ et al,2018,30052729
NCT02370498,Shitara K et al,2018,29880231
NCT02252042,Cohen EEW et al,2018,30509740
NCT02105636,Ferris RL et al,2016,27718784
NCT02105636,Ferris RL et al,2018,29884413
NCT01668784,Motzer RJ et al,2015,26406148
NCT01984242,McDermott DF et al,2018,29867230
NCT01984242,McDermott DF et al (1),2018,29867230
NCT02231749,Motzer RJ et al,2018,29562145
NCT02231749,Motzer RJ et al,2019,31427204
NCT02684006,Motzer RJ et al,2019,30779531
NCT02853331,Rini BI et al,2019,30779529
NCT02420821,Rini BI et al,2019,31079938
NCT00527735,Lynch TJ et al,2012,22547592
NCT00527735,Lynch TJ et al (1),2012,22547592
NCT00527735,Reck M et al,2012,22858559
NCT00527735,Reck M et al (1),2012,22858559
NCT01673867,Borghaei  H et al,2015,26412456
NCT01642004,Brahmer J et al,2015,26028407
NCT01905657,Herbst RS et al,2016,26712084
NCT01905657,Herbst RS et al (1),2016,26712084
NCT01903993,Fehrenbacher L et al,2016,26970723
NCT01450761,Reck M et al,2016,27458307
NCT02041533,Carbone DP et al,2017,28636851
NCT01285609,Govindan R et al,2017,28854067
NCT02125461,Antonia SJ et al,2017,28885881
NCT02125461,Antonia SJ et al,2018,30280658
NCT02395172,Barlesi F et al,2018,30262187
NCT02039674,Langer JC et al,2016,27745820
NCT02039674,Borghaei  H et al,2018,30138764
NCT02008227,Rittmeyer A et al,2017,27979383
NCT02008227,Fehrenbacher L et al,2018,29777823
NCT02578680,Gandhi L et al,2018,29658856
NCT02763579,Horn L et al,2018,30280641
NCT02775435,Paz-Ares L et al,2018,30280635
NCT02366143,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al (1),2018,29863955
NCT02477826,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al,2019,31562796
NCT02477826,Hellmann MD et al (1),2019,31562796
NCT02477826,Hellmann MD et al (2),2019,31562796
NCT02220894,Mok TSK et al,2019,30955977
NCT03059667,Pujol JL et al,2019,30664989
NCT02142738,Reck M et al,2019,30620668
NCT02367781,West H et al,2019,31122901
NCT02613507,Wu YL et al,2019,30659987
NCT02454933,Yang JCH et al,2019,30763730
NCT00324155,Robert C et al,2011,21639810
NCT00094653,Hodi FS et al,2010,20525992
