NCT,Authors,Year,PMID,Trial name,Trial phase,Number of arms,Total sample size,Original publication or Follow-up,Cancer type,Treatment regimen,Name of ICI,Class of ICI,Monotherapy/combination,Type of combination,Control regimen,Control arm,Lines of treatment,Clinical setting in relation to surgery,Primary endpoint,"Primary Multiple, composite, or co-primary endpoints?",Secondary endpoint,Is PD-L1 positivity inclusion criteria,Is any other biomarker used for inclusion,Type of follow-up given,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Rx,Follow-up duration for primary endpoint(s) in months | Control,Type of therapy,Clinical setting
NCT02302807,Powles T et al,2018,29268948,IMvigor211,Phase 3,2,931.0,Original publication,Bladder,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Vinflunine+Paclitaxel+Docetaxel,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed RECIST v1.1 ORR, PFS, DoR",False,False,Median,17.3,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02256436,Bellmunt J et al,2017,28212060,Keynote-045,Phase 3,2,542.0,Original publication,Bladder,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Vinflunine+Paclitaxel+Docetaxel,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"Safety, tolerability, ORR, DoR",False,False,Median,14.1,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02256436,Fradet Y et al,2019,31050707,Keynote-045,Phase 3,2,542.0,Follow-up,Bladder,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Vinflunine+Paclitaxel+Docetaxel,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"Safety, tolerability, ORR, DoR",False,False,Median,27.7,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02425891,Schmid P et al,2018,30345906,IMpassion130,Phase 3,2,902.0,Original publication,Breast,Atezolizumab+Nab-paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"investigator-assessed RECIST v1.1 ORR,  DoR",False,False,Median,12.9,13.0,12.5,Combination,Metastatic+recurrent (unresectable)
NCT02685059,Loibl S et al,2019,31095287,GeparNuevo,Phase 2,2,174.0,Original publication,Breast,Durvalumab+Nab-paclitaxel+epirubicin+cyclophosphamide,Durvalumab,PD-L1,Combination,ICI+Chemo,Placebo+Nab-paclitaxel+Epirubicin+Cyclophosphamide,Chemo,,Neoadjuvant,Path CR,,"response rate by other path CR definitions (ypT0/is ypN0, ypT0/is ypN0/þ, and ypN0) and by clinical and imaging assessment; rate of breast conserving surgery and axilla lymph node dissection; efficacy in predefined subgroups according to centrally assessed sTILs [low ( 10%), intermediate (11%–59%), high ( 60%)]",False,False,,,,,Combination,Neoadjuvant
NCT02788279,Eng C et al,2019,31003911,IMblaze130,Phase 3,3,363.0,Original publication,Colorectal,Atezolizumab+Cobimetinib,Atezolizumab,PD-L1,Combination,ICI+MEKi,Regorafenib,Multikinase inhibitor,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed RECIST v1.1 ORR, PFS, DoR",False,False,Median,7.3,,,Combination,Metastatic+recurrent (unresectable)
NCT02788279,Eng C et al (1),2019,31003911,IMblaze130,Phase 3,3,363.0,Original publication,Colorectal,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Regorafenib,Multikinase inhibitor,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed RECIST v1.1 ORR, PFS, DoR",False,False,Median,7.3,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT01585987,Bang YJ et al,2017,28655793,,Phase 2,2,114.0,Original publication,Gastric/GEJ,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,,Best supportive care (+/-fluoropyrimidine),Best supportive care,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"PFS by mWHO criteria, OS, immune-related best overall response rate (irBORR)",False,False,,,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02267343,Kang YK et al,2017,28993052,ATTRACTION-2,Phase 3,2,493.0,Original publication,Gastric/GEJ,Nivolumab,Nivolumab,PD1,Monotherapy,,Placebo,Placebo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, disease control rate, DoR, time to response, best overall response, the maximum percentage change from baseline in the sum of diameters of target lesions.",False,False,Median,,8.87,8.59,Monotherapy,Metastatic+recurrent (unresectable)
NCT02625623,Bang YJ et al,2018,30052729,JAVELIN Gastric 300,Phase 3,2,371.0,Original publication,Gastric/GEJ,Avelumab,Avelumab,PD-L1,Monotherapy,,"Best supportive care (+/-paclitaxel, irinotecan)",Best supportive care,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR per independent review committee assessment, safety, tolerability",False,False,Median,10.6,,,Monotherapy,Metastatic+recurrent (unresectable)
