NCT,PMID,cancer_type,treatment_type,Authors,Year
NCT02302807,29268948,Bladder,Immunotherapy,Powles T et al,2018
NCT02256436,28212060,Bladder,Immunotherapy,Bellmunt J et al,2017
NCT02256436,28212060,Bladder,Immunotherapy,Fradet Y et al,2019
NCT02256436,31050707,Bladder,Immunotherapy,Bellmunt J et al,2017
NCT02256436,31050707,Bladder,Immunotherapy,Fradet Y et al,2019
NCT02425891,30345906,Breast,Combination,Schmid P et al,2018
NCT02425891,30345906,Breast,Combination,Schmid P et al,2019
NCT02685059,31095287,Breast,Combination,Loibl S et al,2019
NCT02788279,31003911,Colorectal,Combination,Eng C et al,2019
NCT02788279,31003911,Colorectal,Combination,Eng C et al (1),2019
NCT02788279,31003911,Colorectal,Immunotherapy,Eng C et al,2019
NCT02788279,31003911,Colorectal,Immunotherapy,Eng C et al (1),2019
NCT01585987,28655793,Gastric,Immunotherapy,Bang YJ et al,2017
NCT02267343,28993052,Gastric,Immunotherapy,Kang YK et al,2017
NCT02267343,28993052,Gastric,Immunotherapy,Chen LT et al,2019
NCT02625623,30052729,Gastric,Immunotherapy,Bang YJ et al,2018
NCT02370498,29880231,Gastric,Immunotherapy,Shitara K et al,2018
NCT02252042,30509740,Head and Neck,Immunotherapy,Cohen EEW et al,2018
NCT02105636,27718784,Head and Neck,Immunotherapy,Ferris RL et al,2016
NCT02105636,27718784,Head and Neck,Immunotherapy,Ferris RL et al,2018
NCT02105636,29884413,Head and Neck,Immunotherapy,Ferris RL et al,2016
NCT02105636,29884413,Head and Neck,Immunotherapy,Ferris RL et al,2018
NCT01668784,26406148,Renal,Immunotherapy,Motzer RJ et al,2015
NCT01668784,26406148,Renal,Immunotherapy,Motzer RJ et al,2020
NCT01984242,29867230,Renal,Immunotherapy,McDermott DF et al,2018
NCT01984242,29867230,Renal,Immunotherapy,McDermott DF et al (1),2018
NCT01984242,29867230,Renal,Combination,McDermott DF et al,2018
NCT01984242,29867230,Renal,Combination,McDermott DF et al (1),2018
NCT02231749,29562145,Renal,Combination,Motzer RJ et al,2018
NCT02231749,29562145,Renal,Combination,Motzer RJ et al,2019
NCT02231749,29562145,Renal,Combination,Motzer RJ et al,2020
NCT02231749,31427204,Renal,Immunotherapy,Motzer RJ et al,2018
NCT02231749,31427204,Renal,Immunotherapy,Motzer RJ et al,2019
NCT02231749,31427204,Renal,Immunotherapy,Motzer RJ et al,2020
NCT02684006,30779531,Renal,Combination,Motzer RJ et al,2019
NCT02684006,30779531,Renal,Combination,Choueiri TK et al,2020
NCT02853331,30779529,Renal,Combination,Rini BI et al,2019
NCT02853331,30779529,Renal,Combination,Powles T et al. ,2020
NCT02420821,31079938,Renal,Combination,Rini BI et al,2019
NCT00527735,22547592,Lung,Combination,Lynch TJ et al,2012
NCT00527735,22547592,Lung,Combination,Lynch TJ et al (1),2012
NCT00527735,22547592,Lung,Combination,Reck M et al,2012
NCT00527735,22547592,Lung,Combination,Reck M et al (1),2012
NCT00527735,22547592,Lung,Combination,Lynch TJ et al,2012
NCT00527735,22547592,Lung,Combination,Lynch TJ et al (1),2012
NCT00527735,22547592,Lung,Combination,Reck M et al,2012
NCT00527735,22547592,Lung,Combination,Reck M et al (1),2012
NCT00527735,22858559,Lung,Combination,Lynch TJ et al,2012
NCT00527735,22858559,Lung,Combination,Lynch TJ et al (1),2012
NCT00527735,22858559,Lung,Combination,Reck M et al,2012
NCT00527735,22858559,Lung,Combination,Reck M et al (1),2012
NCT00527735,22858559,Lung,Combination,Lynch TJ et al,2012
NCT00527735,22858559,Lung,Combination,Lynch TJ et al (1),2012
NCT00527735,22858559,Lung,Combination,Reck M et al,2012
NCT00527735,22858559,Lung,Combination,Reck M et al (1),2012
NCT01673867,26412456,Lung,Immunotherapy,Borghaei  H et al,2015
NCT01642004,26028407,Lung,Immunotherapy,Brahmer J et al,2015
NCT01905657,26712084,Lung,Immunotherapy,Herbst RS et al,2016
NCT01905657,26712084,Lung,Immunotherapy,Herbst RS et al (1),2016
NCT01905657,26712084,Lung,Immunotherapy,Herbst RS et al,2016
NCT01905657,26712084,Lung,Immunotherapy,Herbst RS et al (1),2016
NCT01903993,26970723,Lung,Immunotherapy,Fehrenbacher L et al,2016
NCT01903993,26970723,Lung,Immunotherapy,Mazieres J et al,2020
NCT01450761,27458307,Lung,Combination,Reck M et al,2016
NCT02041533,28636851,Lung,Immunotherapy,Carbone DP et al,2017
NCT01285609,28854067,Lung,Combination,Govindan R et al,2017
NCT02125461,28885881,Lung,Immunotherapy,Antonia SJ et al,2017
NCT02125461,28885881,Lung,Immunotherapy,Antonia SJ et al,2018
NCT02125461,30280658,Lung,Immunotherapy,Antonia SJ et al,2017
NCT02125461,30280658,Lung,Immunotherapy,Antonia SJ et al,2018
NCT02395172,30262187,Lung,Immunotherapy,Barlesi F et al,2018
NCT02039674,27745820,Lung,Combination,Langer JC et al,2016
NCT02039674,27745820,Lung,Combination,Borghaei  H et al,2018
NCT02039674,30138764,Lung,Combination,Langer JC et al,2016
NCT02039674,30138764,Lung,Combination,Borghaei  H et al,2018
NCT02008227,27979383,Lung,Immunotherapy,Rittmeyer A et al,2017
NCT02008227,27979383,Lung,Immunotherapy,Fehrenbacher L et al,2018
NCT02008227,27979383,Lung,Immunotherapy,Mazieres J et al,2020
NCT02008227,29777823,Lung,Immunotherapy,Rittmeyer A et al,2017
NCT02008227,29777823,Lung,Immunotherapy,Fehrenbacher L et al,2018
NCT02008227,29777823,Lung,Immunotherapy,Mazieres J et al,2020
NCT02578680,29658856,Lung,Combination,Gandhi L et al,2018
NCT02763579,30280641,Lung,Combination,Horn L et al,2018
NCT02763579,30280641,Lung,Combination,Mansfield AS et al,2020
NCT02775435,30280635,Lung,Combination,Paz-Ares L et al,2018
NCT02366143,29863955,Lung,Combination,Socinski MA et al,2018
NCT02366143,29863955,Lung,Combination,Socinski MA et al (1),2018
NCT02366143,29863955,Lung,Combination,Socinski MA et al,2018
NCT02366143,29863955,Lung,Combination,Socinski MA et al (1),2018
NCT02477826,29658845,Lung,Combination,Hellmann MD et al,2018
NCT02477826,29658845,Lung,Combination,Hellmann MD et al (1),2018
NCT02477826,29658845,Lung,Combination,Hellmann MD et al,2019
NCT02477826,29658845,Lung,Combination,Hellmann MD et al (1),2019
NCT02477826,29658845,Lung,Combination,Hellmann MD et al (2),2019
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al,2018
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al (1),2018
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al,2019
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al (1),2019
NCT02477826,29658845,Lung,Immunotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,Lung,Combination,Hellmann MD et al,2018
NCT02477826,31562796,Lung,Combination,Hellmann MD et al (1),2018
NCT02477826,31562796,Lung,Combination,Hellmann MD et al,2019
NCT02477826,31562796,Lung,Combination,Hellmann MD et al (1),2019
NCT02477826,31562796,Lung,Combination,Hellmann MD et al (2),2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al,2018
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (1),2018
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al,2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (1),2019
NCT02477826,31562796,Lung,Immunotherapy,Hellmann MD et al (2),2019
NCT02477826,31562796,Lung,Combination,Hellmann MD et al,2018
NCT02477826,31562796,Lung,Combination,Hellmann MD et al (1),2018
NCT02477826,31562796,Lung,Combination,Hellmann MD et al,2019
NCT02477826,31562796,Lung,Combination,Hellmann MD et al (1),2019
NCT02477826,31562796,Lung,Combination,Hellmann MD et al (2),2019
NCT02220894,30955977,Lung,Immunotherapy,Mok TSK et al,2019
NCT03059667,30664989,Lung,Immunotherapy,Pujol JL et al,2019
NCT02142738,30620668,Lung,Immunotherapy,Reck M et al,2019
NCT02142738,30620668,Lung,Immunotherapy,Reck M et al,2016
NCT02367781,31122901,Lung,Combination,West H et al,2019
NCT02613507,30659987,Lung,Immunotherapy,Wu YL et al,2019
NCT02454933,30763730,Lung,Combination,Yang JCH et al,2019
NCT00324155,21639810,Melanoma,Combination,Robert C et al,2011
NCT00094653,20525992,Melanoma,Immunotherapy,Hodi FS et al,2010
NCT00094653,20525992,Melanoma,Immunotherapy,Hodi FS et al (1),2010
NCT00094653,20525992,Melanoma,Immunotherapy,McDermott D et al,2013
NCT00094653,20525992,Melanoma,Immunotherapy,McDermott D et al (1),2013
NCT00094653,20525992,Melanoma,Immunotherapy,Hodi FS et al,2010
NCT00094653,20525992,Melanoma,Immunotherapy,Hodi FS et al (1),2010
NCT00094653,20525992,Melanoma,Immunotherapy,McDermott D et al,2013
NCT00094653,20525992,Melanoma,Immunotherapy,McDermott D et al (1),2013
NCT00257205,23295794,Melanoma,Immunotherapy,Ribas A et al,2013
NCT02362594,29658430,Melanoma,Immunotherapy,Eggermont AMM et al,2018
NCT02362594,29658430,Melanoma,Immunotherapy,Eggermont AMM et al,2020
NCT01704287,26115796,Melanoma,Immunotherapy,Ribas A et al,2015
NCT01704287,26115796,Melanoma,Immunotherapy,Ribas A et al (1),2015
NCT01704287,26115796,Melanoma,Immunotherapy,Hamid O et al,2017
NCT01704287,26115796,Melanoma,Immunotherapy,Hamid O et al (1),2017
NCT01704287,26115796,Melanoma,Immunotherapy,Ribas A et al,2015
NCT01704287,26115796,Melanoma,Immunotherapy,Ribas A et al (1),2015
NCT01704287,26115796,Melanoma,Immunotherapy,Hamid O et al,2017
NCT01704287,26115796,Melanoma,Immunotherapy,Hamid O et al (1),2017
NCT01704287,28961465,Melanoma,Immunotherapy,Ribas A et al,2015
NCT01704287,28961465,Melanoma,Immunotherapy,Ribas A et al (1),2015
NCT01704287,28961465,Melanoma,Immunotherapy,Hamid O et al,2017
NCT01704287,28961465,Melanoma,Immunotherapy,Hamid O et al (1),2017
NCT01704287,28961465,Melanoma,Immunotherapy,Ribas A et al,2015
NCT01704287,28961465,Melanoma,Immunotherapy,Ribas A et al (1),2015
NCT01704287,28961465,Melanoma,Immunotherapy,Hamid O et al,2017
NCT01704287,28961465,Melanoma,Immunotherapy,Hamid O et al (1),2017
NCT00636168,27717298,Melanoma,Immunotherapy,Eggermont AMM et al,2016
NCT00636168,27717298,Melanoma,Immunotherapy,Eggermont AMM et al,2015
NCT01721746,25795410,Melanoma,Immunotherapy,Weber JS et al,2015
NCT01721746,25795410,Melanoma,Immunotherapy,Larkin J et al,2018
NCT01721746,28671856,Melanoma,Immunotherapy,Weber JS et al,2015
NCT01721746,28671856,Melanoma,Immunotherapy,Larkin J et al,2018
NCT02130466,31171878,Melanoma,Combination,Ascierto PA et al,2019
NCT02130466,31171878,Melanoma,Combination,Ferrucci PF et al,2020
NCT01721772,25399552,Melanoma,Immunotherapy,Robert C et al,2015
NCT01721772,25399552,Melanoma,Immunotherapy,Ascierto PA et al,2019
NCT01721772,25399552,Melanoma,Immunotherapy,Robert C et al,2020
NCT01721772,30422243,Melanoma,Immunotherapy,Robert C et al,2015
NCT01721772,30422243,Melanoma,Immunotherapy,Ascierto PA et al,2019
NCT01721772,30422243,Melanoma,Immunotherapy,Robert C et al,2020
