NCT,PMID,follow_up_months,Authors,Year
NCT00527735,22547592,-1,Lynch TJ et al,2012
NCT00527735,22547592,-1,Lynch TJ et al (1),2012
NCT00527735,22547592,-1,Reck M et al,2012
NCT00527735,22547592,-1,Reck M et al (1),2012
NCT00527735,22547592,-1,Lynch TJ et al,2012
NCT00527735,22547592,-1,Lynch TJ et al (1),2012
NCT00527735,22547592,-1,Reck M et al,2012
NCT00527735,22547592,-1,Reck M et al (1),2012
NCT00527735,22858559,-1,Lynch TJ et al,2012
NCT00527735,22858559,-1,Lynch TJ et al (1),2012
NCT00527735,22858559,-1,Reck M et al,2012
NCT00527735,22858559,-1,Reck M et al (1),2012
NCT00527735,22858559,-1,Lynch TJ et al,2012
NCT00527735,22858559,-1,Lynch TJ et al (1),2012
NCT00527735,22858559,-1,Reck M et al,2012
NCT00527735,22858559,-1,Reck M et al (1),2012
NCT01673867,26412456,9.4,Borghaei  H et al,2015
NCT01642004,26028407,6.0,Brahmer J et al,2015
NCT01905657,26712084,8.5,Herbst RS et al,2016
NCT01905657,26712084,8.5,Herbst RS et al (1),2016
NCT01905657,26712084,8.5,Herbst RS et al,2016
NCT01905657,26712084,8.5,Herbst RS et al (1),2016
NCT01903993,26970723,15.7,Fehrenbacher L et al,2016
NCT01903993,26970723,15.7,Mazieres J et al,2020
NCT01450761,27458307,10.2,Reck M et al,2016
NCT02041533,28636851,-1,Carbone DP et al,2017
NCT01285609,28854067,11.8,Govindan R et al,2017
NCT02125461,28885881,-1,Antonia SJ et al,2017
NCT02125461,28885881,-1,Antonia SJ et al,2018
NCT02125461,30280658,-1,Antonia SJ et al,2017
NCT02125461,30280658,-1,Antonia SJ et al,2018
NCT02395172,30262187,17.8,Barlesi F et al,2018
NCT02039674,27745820,-1,Langer JC et al,2016
NCT02039674,27745820,-1,Borghaei  H et al,2018
NCT02039674,30138764,-1,Langer JC et al,2016
NCT02039674,30138764,-1,Borghaei  H et al,2018
NCT02008227,27979383,-1,Rittmeyer A et al,2017
NCT02008227,27979383,-1,Fehrenbacher L et al,2018
NCT02008227,27979383,-1,Mazieres J et al,2020
NCT02008227,29777823,-1,Rittmeyer A et al,2017
NCT02008227,29777823,-1,Fehrenbacher L et al,2018
NCT02008227,29777823,-1,Mazieres J et al,2020
NCT02578680,29658856,-1,Gandhi L et al,2018
NCT02763579,30280641,-1,Horn L et al,2018
NCT02763579,30280641,-1,Mansfield AS et al,2020
NCT02775435,30280635,-1,Paz-Ares L et al,2018
NCT02366143,29863955,-1,Socinski MA et al,2018
NCT02366143,29863955,-1,Socinski MA et al (1),2018
NCT02366143,29863955,15.5,Socinski MA et al,2018
NCT02366143,29863955,15.5,Socinski MA et al (1),2018
NCT02477826,29658845,-1,Hellmann MD et al,2018
NCT02477826,29658845,-1,Hellmann MD et al (1),2018
NCT02477826,29658845,-1,Hellmann MD et al,2019
NCT02477826,29658845,-1,Hellmann MD et al (1),2019
NCT02477826,29658845,-1,Hellmann MD et al (2),2019
NCT02477826,29658845,-1,Hellmann MD et al,2018
NCT02477826,29658845,-1,Hellmann MD et al (1),2018
NCT02477826,29658845,-1,Hellmann MD et al,2019
NCT02477826,29658845,-1,Hellmann MD et al (1),2019
NCT02477826,29658845,-1,Hellmann MD et al (2),2019
NCT02477826,31562796,-1,Hellmann MD et al,2018
NCT02477826,31562796,-1,Hellmann MD et al (1),2018
NCT02477826,31562796,-1,Hellmann MD et al,2019
NCT02477826,31562796,-1,Hellmann MD et al (1),2019
NCT02477826,31562796,-1,Hellmann MD et al (2),2019
NCT02477826,31562796,-1,Hellmann MD et al,2018
NCT02477826,31562796,-1,Hellmann MD et al (1),2018
NCT02477826,31562796,-1,Hellmann MD et al,2019
NCT02477826,31562796,-1,Hellmann MD et al (1),2019
NCT02477826,31562796,-1,Hellmann MD et al (2),2019
NCT02477826,31562796,-1,Hellmann MD et al,2018
NCT02477826,31562796,-1,Hellmann MD et al (1),2018
NCT02477826,31562796,-1,Hellmann MD et al,2019
NCT02477826,31562796,-1,Hellmann MD et al (1),2019
NCT02477826,31562796,-1,Hellmann MD et al (2),2019
NCT02220894,30955977,-1,Mok TSK et al,2019
NCT03059667,30664989,-1,Pujol JL et al,2019
NCT02142738,30620668,-1,Reck M et al,2019
NCT02142738,30620668,-1,Reck M et al,2016
NCT02367781,31122901,19.2,West H et al,2019
NCT02613507,30659987,-1,Wu YL et al,2019
NCT02454933,30763730,-1,Yang JCH et al,2019
NCT03043872,31590988,-1,Paz-Ares L et al,2019
NCT03043872,31590988,-1,Paz-Ares L et al (1),2019
NCT03043872,31590988,-1,Goldman JW et al,2020
NCT03043872,31590988,-1,Goldman JW et al (1),2020
NCT03043872,31590988,-1,Paz-Ares L et al,2019
NCT03043872,31590988,-1,Paz-Ares L et al (1),2019
