NCT,PMID,clinical_setting,Authors,Year
NCT00527735,22547592,metastatic,Lynch TJ et al,2012
NCT00527735,22547592,metastatic,Lynch TJ et al (1),2012
NCT00527735,22547592,metastatic,Reck M et al,2012
NCT00527735,22547592,metastatic,Reck M et al (1),2012
NCT00527735,22547592,metastatic,Lynch TJ et al,2012
NCT00527735,22547592,metastatic,Lynch TJ et al (1),2012
NCT00527735,22547592,metastatic,Reck M et al,2012
NCT00527735,22547592,metastatic,Reck M et al (1),2012
NCT00527735,22858559,metastatic,Lynch TJ et al,2012
NCT00527735,22858559,metastatic,Lynch TJ et al (1),2012
NCT00527735,22858559,metastatic,Reck M et al,2012
NCT00527735,22858559,metastatic,Reck M et al (1),2012
NCT00527735,22858559,metastatic,Lynch TJ et al,2012
NCT00527735,22858559,metastatic,Lynch TJ et al (1),2012
NCT00527735,22858559,metastatic,Reck M et al,2012
NCT00527735,22858559,metastatic,Reck M et al (1),2012
NCT01673867,26412456,metastatic,Borghaei  H et al,2015
NCT01642004,26028407,metastatic,Brahmer J et al,2015
NCT01905657,26712084,metastatic,Herbst RS et al,2016
NCT01905657,26712084,metastatic,Herbst RS et al (1),2016
NCT01905657,26712084,metastatic,Herbst RS et al,2016
NCT01905657,26712084,metastatic,Herbst RS et al (1),2016
NCT01903993,26970723,metastatic,Fehrenbacher L et al,2016
NCT01903993,26970723,metastatic,Mazieres J et al,2020
NCT01450761,27458307,metastatic,Reck M et al,2016
NCT02041533,28636851,metastatic,Carbone DP et al,2017
NCT01285609,28854067,metastatic,Govindan R et al,2017
NCT02125461,28885881,metastatic,Antonia SJ et al,2017
NCT02125461,28885881,metastatic,Antonia SJ et al,2018
NCT02125461,30280658,metastatic,Antonia SJ et al,2017
NCT02125461,30280658,metastatic,Antonia SJ et al,2018
NCT02395172,30262187,metastatic,Barlesi F et al,2018
NCT02039674,27745820,metastatic,Langer JC et al,2016
NCT02039674,27745820,metastatic,Borghaei  H et al,2018
NCT02039674,30138764,metastatic,Langer JC et al,2016
NCT02039674,30138764,metastatic,Borghaei  H et al,2018
NCT02008227,27979383,metastatic,Rittmeyer A et al,2017
NCT02008227,27979383,metastatic,Fehrenbacher L et al,2018
NCT02008227,27979383,metastatic,Mazieres J et al,2020
NCT02008227,29777823,metastatic,Rittmeyer A et al,2017
NCT02008227,29777823,metastatic,Fehrenbacher L et al,2018
NCT02008227,29777823,metastatic,Mazieres J et al,2020
NCT02578680,29658856,metastatic,Gandhi L et al,2018
NCT02763579,30280641,metastatic,Horn L et al,2018
NCT02763579,30280641,metastatic,Mansfield AS et al,2020
NCT02775435,30280635,metastatic,Paz-Ares L et al,2018
NCT02366143,29863955,metastatic,Socinski MA et al,2018
NCT02366143,29863955,metastatic,Socinski MA et al (1),2018
NCT02366143,29863955,metastatic,Socinski MA et al,2018
NCT02366143,29863955,metastatic,Socinski MA et al (1),2018
NCT02477826,29658845,metastatic,Hellmann MD et al,2018
NCT02477826,29658845,metastatic,Hellmann MD et al (1),2018
NCT02477826,29658845,metastatic,Hellmann MD et al,2019
NCT02477826,29658845,metastatic,Hellmann MD et al (1),2019
NCT02477826,29658845,metastatic,Hellmann MD et al (2),2019
NCT02477826,29658845,metastatic,Hellmann MD et al,2018
NCT02477826,29658845,metastatic,Hellmann MD et al (1),2018
NCT02477826,29658845,metastatic,Hellmann MD et al,2019
NCT02477826,29658845,metastatic,Hellmann MD et al (1),2019
NCT02477826,29658845,metastatic,Hellmann MD et al (2),2019
NCT02477826,31562796,metastatic,Hellmann MD et al,2018
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2018
NCT02477826,31562796,metastatic,Hellmann MD et al,2019
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2019
NCT02477826,31562796,metastatic,Hellmann MD et al (2),2019
NCT02477826,31562796,metastatic,Hellmann MD et al,2018
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2018
NCT02477826,31562796,metastatic,Hellmann MD et al,2019
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2019
NCT02477826,31562796,metastatic,Hellmann MD et al (2),2019
NCT02477826,31562796,metastatic,Hellmann MD et al,2018
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2018
NCT02477826,31562796,metastatic,Hellmann MD et al,2019
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2019
NCT02477826,31562796,metastatic,Hellmann MD et al (2),2019
NCT02220894,30955977,metastatic,Mok TSK et al,2019
NCT03059667,30664989,metastatic,Pujol JL et al,2019
NCT02142738,30620668,metastatic,Reck M et al,2019
NCT02142738,30620668,metastatic,Reck M et al,2016
NCT02367781,31122901,metastatic,West H et al,2019
NCT02613507,30659987,metastatic,Wu YL et al,2019
NCT02454933,30763730,metastatic,Yang JCH et al,2019
NCT03043872,31590988,metastatic,Paz-Ares L et al,2019
NCT03043872,31590988,metastatic,Paz-Ares L et al (1),2019
NCT03043872,31590988,metastatic,Goldman JW et al,2020
NCT03043872,31590988,metastatic,Goldman JW et al (1),2020
NCT03043872,31590988,metastatic,Paz-Ares L et al,2019
NCT03043872,31590988,metastatic,Paz-Ares L et al (1),2019
NCT03043872,31590988,metastatic,Goldman JW et al,2020
NCT03043872,31590988,metastatic,Goldman JW et al (1),2020
NCT02763579,31959349,metastatic,Horn L et al,2018
NCT02763579,31959349,metastatic,Mansfield AS et al,2020
NCT02352948,32201234,metastatic,Planchard D et al,2020
NCT02352948,32201234,metastatic,Planchard D et al (1),2020
NCT02352948,32201234,metastatic,Planchard D et al (2),2020
NCT02352948,32201234,metastatic,Planchard D et al,2020
NCT02352948,32201234,metastatic,Planchard D et al (1),2020
NCT02352948,32201234,metastatic,Planchard D et al (2),2020
NCT02352948,32201234,metastatic,Planchard D et al,2020
NCT02352948,32201234,metastatic,Planchard D et al (1),2020
NCT02352948,32201234,metastatic,Planchard D et al (2),2020
NCT03066778,32468956,metastatic,Rudin CM et al,2020
NCT02453282,32271377,metastatic,Rizvi NA et al,2020
NCT02453282,32271377,metastatic,Rizvi NA et al (1),2020
NCT02453282,32271377,metastatic,Rizvi NA et al,2020
NCT02453282,32271377,metastatic,Rizvi NA et al (1),2020
NCT02367794,32302702,metastatic,Jotte R et al,2020
NCT02367794,32302702,metastatic,Jotte R et al (1),2020
NCT02367794,32302702,metastatic,Jotte R et al,2020
NCT02367794,32302702,metastatic,Jotte R et al (1),2020
NCT02574598,32271354,metastatic,Arrieta O et al,2020
NCT02142738,27718847,metastatic,Reck M et al,2019
NCT02142738,27718847,metastatic,Reck M et al,2016
NCT02409342,32997907,metastatic,Herbst RS et al.,2020
NCT03043872,33285097,metastatic,Paz-Ares L et al,2019
NCT03043872,33285097,metastatic,Paz-Ares L et al (1),2019
NCT03043872,33285097,metastatic,Goldman JW et al,2020
