NCT,PMID,is_follow_up,Authors,Year
NCT01585987,28655793,False,Bang YJ et al,2017
NCT02267343,28993052,False,Kang YK et al,2017
NCT02267343,28993052,False,Chen LT et al,2019
NCT02625623,30052729,False,Bang YJ et al,2018
NCT02370498,29880231,False,Shitara K et al,2018
NCT02267343,31863227,True,Kang YK et al,2017
NCT02267343,31863227,True,Chen LT et al,2019
NCT02569242,31582355,False,Kato K et al,2019
NCT02494583,32880601,False,Shitara K et al,2020
NCT02494583,32880601,False,Shitara K et al (1),2020
NCT02494583,32880601,False,Shitara K et al,2020
NCT02494583,32880601,False,Shitara K et al (1),2020
NCT02625610,33197226,False,Moehler M et al,2020
NCT02564263,33026938,False,Kojima T et al.,2020
