NCT,PMID,primary_endpoint_type,Authors,Year
NCT01704287,26115796,"['OS', 'PFS']",Ribas A et al,2015
NCT01704287,26115796,"['OS', 'PFS']",Ribas A et al (1),2015
NCT01704287,26115796,"['OS', 'PFS']",Hamid O et al,2017
NCT01704287,26115796,"['OS', 'PFS']",Hamid O et al (1),2017
NCT01704287,26115796,OS,Ribas A et al,2015
NCT01704287,26115796,OS,Ribas A et al (1),2015
NCT01704287,26115796,OS,Hamid O et al,2017
NCT01704287,26115796,OS,Hamid O et al (1),2017
NCT01704287,28961465,OS,Ribas A et al,2015
NCT01704287,28961465,OS,Ribas A et al (1),2015
NCT01704287,28961465,OS,Hamid O et al,2017
NCT01704287,28961465,OS,Hamid O et al (1),2017
NCT01704287,28961465,OS,Ribas A et al,2015
NCT01704287,28961465,OS,Ribas A et al (1),2015
NCT01704287,28961465,OS,Hamid O et al,2017
NCT01704287,28961465,OS,Hamid O et al (1),2017
NCT02130466,31171878,PFS,Ascierto PA et al,2019
NCT02130466,31171878,PFS,Ferrucci PF et al,2020
NCT02523313,32416781,Other,Zimmer L et al,2020
NCT02523313,32416781,Other,Zimmer L et al (1),2020
NCT02523313,32416781,Other,Zimmer L et al,2020
NCT02523313,32416781,Other,Zimmer L et al (1),2020
NCT02130466,33361337,PFS,Ascierto PA et al,2019
NCT02130466,33361337,PFS,Ferrucci PF et al,2020
