NCT,PMID,follow_up_maturity,Authors,Year
NCT02425891,30345906,immature,Schmid P et al,2018
NCT02425891,30345906,immature,Schmid P et al,2019
NCT02685059,31095287,unknown,Loibl S et al,2019
NCT01042379,32053137,unknown,Nanda R et al,2019
NCT02425891,31786121,unknown,Schmid P et al,2018
NCT02425891,31786121,unknown,Schmid P et al,2019
NCT03036488,32101663,immature,Schmid P et al,2020
NCT03051659,32880602,immature,Tolaney SM et al,2020
NCT02819518,33278935,unknown,Cortes J et al,2020
NCT03197935,32966830,unknown,Mittendorf EA et al,2020
NCT02924883,33002436,unknown,Emens LA et al,2020
NCT02299999,33462450,immature,Bachelot T et al,2021
NCT02555657,33676601,mature,Winer PE et al,2021
