NCT,PMID,cytotoxic_drugs,Authors,Year
NCT02041533,28636851,Platinum,Carbone DP et al,2017
NCT02477826,29658845,NONE,Hellmann MD et al,2018
NCT02477826,29658845,NONE,Hellmann MD et al (1),2018
NCT02477826,29658845,NONE,Hellmann MD et al,2019
NCT02477826,29658845,NONE,Hellmann MD et al (1),2019
NCT02477826,29658845,NONE,Hellmann MD et al (2),2019
NCT02477826,29658845,NONE,Hellmann MD et al,2018
NCT02477826,29658845,NONE,Hellmann MD et al (1),2018
NCT02477826,29658845,NONE,Hellmann MD et al,2019
NCT02477826,29658845,NONE,Hellmann MD et al (1),2019
NCT02477826,29658845,NONE,Hellmann MD et al (2),2019
NCT02477826,31562796,NONE,Hellmann MD et al,2018
NCT02477826,31562796,NONE,Hellmann MD et al (1),2018
NCT02477826,31562796,NONE,Hellmann MD et al,2019
NCT02477826,31562796,NONE,Hellmann MD et al (1),2019
NCT02477826,31562796,NONE,Hellmann MD et al (2),2019
NCT02477826,31562796,NONE,Hellmann MD et al,2018
NCT02477826,31562796,NONE,Hellmann MD et al (1),2018
NCT02477826,31562796,NONE,Hellmann MD et al,2019
NCT02477826,31562796,NONE,Hellmann MD et al (1),2019
NCT02477826,31562796,NONE,Hellmann MD et al (2),2019
NCT02477826,31562796,NONE,Hellmann MD et al,2018
NCT02477826,31562796,NONE,Hellmann MD et al (1),2018
NCT02477826,31562796,NONE,Hellmann MD et al,2019
NCT02477826,31562796,NONE,Hellmann MD et al (1),2019
NCT02477826,31562796,NONE,Hellmann MD et al (2),2019
NCT02142738,30620668,Platinum-based chemotherapy,Reck M et al,2019
NCT02142738,30620668,Platinum-based chemotherapy,Reck M et al,2016
NCT02453282,32271377,NONE,Rizvi NA et al,2020
NCT02453282,32271377,NONE,Rizvi NA et al (1),2020
NCT02453282,32271377,NONE,Rizvi NA et al,2020
NCT02453282,32271377,NONE,Rizvi NA et al (1),2020
NCT02142738,27718847,Platinum,Reck M et al,2019
NCT02142738,27718847,Platinum,Reck M et al,2016
NCT03215706,33476593,NONE,Paz-Ares L et al,2021
NCT02481830,33539946,NONE,Spigel DR et al,2021
NCT03088540,33581821,NONE,Sezer A et al,2021
