NCT,PMID,control_arm_type,Authors,Year
NCT01585987,28655793,best supportive care,Bang YJ et al,2017
NCT02267343,28993052,placebo,Kang YK et al,2017
NCT02267343,28993052,placebo,Chen LT et al,2019
NCT02625623,30052729,best supportive care,Bang YJ et al,2018
NCT02370498,29880231,active,Shitara K et al,2018
NCT02267343,31863227,placebo,Kang YK et al,2017
NCT02267343,31863227,placebo,Chen LT et al,2019
NCT02569242,31582355,active,Kato K et al,2019
NCT02494583,32880601,active,Shitara K et al,2020
NCT02494583,32880601,active,Shitara K et al (1),2020
NCT02494583,32880601,active,Shitara K et al,2020
NCT02494583,32880601,active,Shitara K et al (1),2020
NCT02625610,33197226,active,Moehler M et al,2020
NCT02564263,33026938,active,Kojima T et al.,2020
