NCT,PMID,arms_category,Authors,Year
NCT01668784,26406148,2-arm,Motzer RJ et al,2015
NCT01668784,26406148,2-arm,Motzer RJ et al,2020
NCT01984242,29867230,>=3-arm,McDermott DF et al,2018
NCT01984242,29867230,>=3-arm,McDermott DF et al (1),2018
NCT01984242,29867230,>=3-arm,McDermott DF et al,2018
NCT01984242,29867230,>=3-arm,McDermott DF et al (1),2018
NCT02231749,29562145,2-arm,Motzer RJ et al,2018
NCT02231749,29562145,2-arm,Motzer RJ et al,2019
NCT02231749,29562145,2-arm,Motzer RJ et al,2020
NCT02231749,31427204,2-arm,Motzer RJ et al,2018
NCT02231749,31427204,2-arm,Motzer RJ et al,2019
NCT02231749,31427204,2-arm,Motzer RJ et al,2020
NCT02684006,30779531,2-arm,Motzer RJ et al,2019
NCT02684006,30779531,2-arm,Choueiri TK et al,2020
NCT02853331,30779529,2-arm,Rini BI et al,2019
NCT02853331,30779529,2-arm,Powles T et al. ,2020
NCT02420821,31079938,2-arm,Rini BI et al,2019
NCT02231749,32661118,2-arm,Motzer RJ et al,2018
NCT02231749,32661118,2-arm,Motzer RJ et al,2019
NCT02231749,32661118,2-arm,Motzer RJ et al,2020
NCT01668784,32673417,2-arm,Motzer RJ et al,2015
NCT01668784,32673417,2-arm,Motzer RJ et al,2020
NCT02684006,32339648,2-arm,Motzer RJ et al,2019
NCT02684006,32339648,2-arm,Choueiri TK et al,2020
NCT02853331,33284113,2-arm,Rini BI et al,2019
NCT02853331,33284113,2-arm,Powles T et al. ,2020
NCT02811861,33616314,>=3-arm,Motzer R et al,2021
NCT03141177,33657295,2-arm,Choueiri TK et al,2021
