NCT,PMID,additional_agents,Authors,Year
NCT02853331,30779529,Axitinib,Rini BI et al,2019
NCT02853331,30779529,Axitinib,Powles T et al. ,2020
NCT02039674,27745820,"Pemetrexed, Carboplatin",Langer JC et al,2016
NCT02039674,27745820,"Pemetrexed, Carboplatin",Borghaei  H et al,2018
NCT02039674,30138764,Pemetrexed+Carboplatin,Langer JC et al,2016
NCT02039674,30138764,Pemetrexed+Carboplatin,Borghaei  H et al,2018
NCT02578680,29658856,Platinum agent,Gandhi L et al,2018
NCT02775435,30280635,"Carboplatin, Paclitaxel/nab-paclitaxel",Paz-Ares L et al,2018
NCT02130466,31171878,Dabrafenib+Trametinib,Ascierto PA et al,2019
NCT02130466,31171878,Dabrafenib+Trametinib,Ferrucci PF et al,2020
NCT02576977,31327687,Pomalidomide+Dexamethasone,Mateos MV et al,2019
NCT02579863,31327689,Lenalidomide+Dexamethasone,Usmani SZ et al,2019
NCT01042379,32053137,Paclitaxel,Nanda R et al,2019
NCT02358031,31679945,Platinum agent+5-Fluorouracil,Burtness B et al,2019
NCT02358031,31679945,Platinum agent+5-Fluorouracil,Burtness B et al (1),2019
NCT02362048,32114502,Acalabrutinib,Overman M et al,2020
NCT03036488,32101663,"Paclitaxel, Carboplatin",Schmid P et al,2020
NCT03066778,32468956,Etoposide+Platinum agent,Rudin CM et al,2020
NCT02574598,32271354,Docetaxel,Arrieta O et al,2020
NCT03051659,32880602,Eribulin,Tolaney SM et al,2020
NCT02494583,32880601,Cisplatin+5-FU+Capecitabine,Shitara K et al,2020
NCT02494583,32880601,Cisplatin+5-FU+Capecitabine,Shitara K et al (1),2020
NCT02819518,33278935,nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,Cortes J et al,2020
NCT02853331,33284113,Axitinib,Rini BI et al,2019
NCT02853331,33284113,Axitinib,Powles T et al. ,2020
NCT02130466,33361337,Dabrafenib+Trametinib,Ascierto PA et al,2019
NCT02130466,33361337,Dabrafenib+Trametinib,Ferrucci PF et al,2020
NCT02811861,33616314,Lenvatinib,Motzer R et al,2021
