NCT,PMID,follow_up_maturity,Authors,Year
NCT02500121,32271672,unknown,Galsky MD et al,2020
NCT02807636,32416780,unknown,Galsky MD et al,2020
NCT02807636,32416780,unknown,Galsky MD et al (1),2020
NCT02807636,32416780,unknown,Galsky MD et al,2020
NCT02807636,32416780,unknown,Galsky MD et al (1),2020
NCT02516241,32971005,mature,Powles T et al,2020
NCT02516241,32971005,mature,Powles T et al (1),2020
NCT02516241,32971005,mature,Powles T et al,2020
NCT02516241,32971005,mature,Powles T et al (1),2020
NCT02603432,32945632,immature,Powles T et al,2020
NCT02450331,33721560,immature,Bellmunt J et al,2021
