NCT,PMID,endpoint_type,Authors,Year
NCT00324155,21639810,primary,Robert C et al,2011
NCT00094653,20525992,primary,Hodi FS et al,2010
NCT00094653,20525992,primary,Hodi FS et al (1),2010
NCT00094653,20525992,primary,McDermott D et al,2013
NCT00094653,20525992,primary,McDermott D et al (1),2013
NCT00094653,20525992,primary,Hodi FS et al,2010
NCT00094653,20525992,primary,Hodi FS et al (1),2010
NCT00094653,20525992,primary,McDermott D et al,2013
NCT00094653,20525992,primary,McDermott D et al (1),2013
NCT00257205,23295794,primary,Ribas A et al,2013
NCT02362594,29658430,primary,Eggermont AMM et al,2018
NCT02362594,29658430,primary,Eggermont AMM et al,2020
NCT01704287,26115796,primary,Ribas A et al,2015
NCT01704287,26115796,primary,Ribas A et al (1),2015
NCT01704287,26115796,primary,Hamid O et al,2017
NCT01704287,26115796,primary,Hamid O et al (1),2017
NCT01704287,26115796,primary,Ribas A et al,2015
NCT01704287,26115796,primary,Ribas A et al (1),2015
NCT01704287,26115796,primary,Hamid O et al,2017
NCT01704287,26115796,primary,Hamid O et al (1),2017
NCT01704287,28961465,unknown,Ribas A et al,2015
NCT01704287,28961465,unknown,Ribas A et al (1),2015
NCT01704287,28961465,unknown,Hamid O et al,2017
NCT01704287,28961465,unknown,Hamid O et al (1),2017
NCT01704287,28961465,unknown,Ribas A et al,2015
NCT01704287,28961465,unknown,Ribas A et al (1),2015
NCT01704287,28961465,unknown,Hamid O et al,2017
NCT01704287,28961465,unknown,Hamid O et al (1),2017
NCT00636168,27717298,primary,Eggermont AMM et al,2016
NCT00636168,27717298,primary,Eggermont AMM et al,2015
NCT01721746,25795410,both,Weber JS et al,2015
NCT01721746,25795410,both,Larkin J et al,2018
NCT01721746,28671856,primary,Weber JS et al,2015
NCT01721746,28671856,primary,Larkin J et al,2018
NCT02130466,31171878,primary,Ascierto PA et al,2019
NCT02130466,31171878,primary,Ferrucci PF et al,2020
NCT01721772,25399552,primary,Robert C et al,2015
NCT01721772,25399552,primary,Ascierto PA et al,2019
NCT01721772,25399552,primary,Robert C et al,2020
NCT01721772,30422243,primary,Robert C et al,2015
NCT01721772,30422243,primary,Ascierto PA et al,2019
NCT01721772,30422243,primary,Robert C et al,2020
NCT01274338,31880964,primary,Tarhini AA et al,2020
NCT01274338,31880964,primary,Tarhini AA et al (1),2020
NCT01274338,31880964,primary,Tarhini AA et al,2020
NCT01274338,31880964,primary,Tarhini AA et al (1),2020
NCT02523313,32416781,both,Zimmer L et al,2020
NCT02523313,32416781,both,Zimmer L et al (1),2020
NCT02523313,32416781,both,Zimmer L et al,2020
NCT02523313,32416781,both,Zimmer L et al (1),2020
NCT02908672,32534646,both,Gutzmer R et al,2020
NCT00094653,23942774,primary,Hodi FS et al,2010
NCT00094653,23942774,primary,Hodi FS et al (1),2010
NCT00094653,23942774,primary,McDermott D et al,2013
NCT00094653,23942774,primary,McDermott D et al (1),2013
NCT00094653,23942774,primary,Hodi FS et al,2010
NCT00094653,23942774,primary,Hodi FS et al (1),2010
NCT00094653,23942774,primary,McDermott D et al,2013
NCT00094653,23942774,primary,McDermott D et al (1),2013
NCT01721772,32997575,primary,Robert C et al,2015
NCT01721772,32997575,primary,Ascierto PA et al,2019
NCT01721772,32997575,primary,Robert C et al,2020
NCT02130466,33361337,primary,Ascierto PA et al,2019
NCT02130466,33361337,primary,Ferrucci PF et al,2020
NCT02362594,32946353,primary,Eggermont AMM et al,2018
NCT02362594,32946353,primary,Eggermont AMM et al,2020
NCT00636168,25840693,primary,Eggermont AMM et al,2016
NCT00636168,25840693,primary,Eggermont AMM et al,2015
