NCT,PMID,control_arm_type,Authors,Year
NCT02807636,32416780,active,Galsky MD et al,2020
NCT02807636,32416780,active,Galsky MD et al (1),2020
NCT02807636,32416780,active,Galsky MD et al,2020
NCT02807636,32416780,active,Galsky MD et al (1),2020
NCT02516241,32971005,active,Powles T et al,2020
NCT02516241,32971005,active,Powles T et al (1),2020
NCT02516241,32971005,active,Powles T et al,2020
NCT02516241,32971005,active,Powles T et al (1),2020
NCT02603432,32945632,best supportive care,Powles T et al,2020
NCT02450331,33721560,unknown,Bellmunt J et al,2021
