NCT,PMID,follow_up_maturity,Authors,Year
NCT02252042,30509740,unknown,Cohen EEW et al,2018
NCT02105636,27718784,immature,Ferris RL et al,2016
NCT02105636,27718784,immature,Ferris RL et al,2018
NCT02105636,29884413,mature,Ferris RL et al,2016
NCT02105636,29884413,mature,Ferris RL et al,2018
NCT02358031,31679945,unknown,Burtness B et al,2019
NCT02358031,31679945,unknown,Burtness B et al (1),2019
NCT02358031,31679945,unknown,Burtness B et al,2019
NCT02358031,31679945,unknown,Burtness B et al (1),2019
NCT02017717,32437507,immature,Reardon DA et al,2020
NCT02369874,32294530,unknown,Ferris RL et al,2020
NCT02369874,32294530,unknown,Ferris RL et al (1),2020
NCT02369874,32294530,unknown,Ferris RL et al,2020
NCT02369874,32294530,unknown,Ferris RL et al (1),2020
NCT02952586,33794205,unknown,Lee NY et al,2021
NCT02999087,33125944,unknown,Tao Y et al.,2021
