NCT,PMID,follow_up_maturity,Authors,Year
NCT01585987,28655793,unknown,Bang YJ et al,2017
NCT02267343,28993052,unknown,Kang YK et al,2017
NCT02267343,28993052,unknown,Chen LT et al,2019
NCT02625623,30052729,immature,Bang YJ et al,2018
NCT02370498,29880231,immature,Shitara K et al,2018
NCT02267343,31863227,mature,Kang YK et al,2017
NCT02267343,31863227,mature,Chen LT et al,2019
NCT02569242,31582355,unknown,Kato K et al,2019
NCT02494583,32880601,mature,Shitara K et al,2020
NCT02494583,32880601,mature,Shitara K et al (1),2020
NCT02494583,32880601,mature,Shitara K et al,2020
NCT02494583,32880601,mature,Shitara K et al (1),2020
NCT02625610,33197226,unknown,Moehler M et al,2020
NCT02564263,33026938,unknown,Kojima T et al.,2020
