NCT,PMID,brand_name,Authors,Year
NCT01903993,26970723,atezolizumab,Fehrenbacher L et al,2016
NCT01903993,26970723,atezolizumab,Mazieres J et al,2020
NCT02125461,28885881,durvalumab,Antonia SJ et al,2017
NCT02125461,28885881,durvalumab,Antonia SJ et al,2018
NCT02125461,30280658,durvalumab,Antonia SJ et al,2017
NCT02125461,30280658,durvalumab,Antonia SJ et al,2018
NCT02395172,30262187,atezolizumab,Barlesi F et al,2018
NCT02008227,27979383,atezolizumab,Rittmeyer A et al,2017
NCT02008227,27979383,atezolizumab,Fehrenbacher L et al,2018
NCT02008227,27979383,atezolizumab,Mazieres J et al,2020
NCT02008227,29777823,atezolizumab,Rittmeyer A et al,2017
NCT02008227,29777823,atezolizumab,Fehrenbacher L et al,2018
NCT02008227,29777823,atezolizumab,Mazieres J et al,2020
NCT02763579,30280641,atezolizumab,Horn L et al,2018
NCT02763579,30280641,atezolizumab,Mansfield AS et al,2020
NCT02366143,29863955,atezolizumab,Socinski MA et al,2018
NCT02366143,29863955,atezolizumab,Socinski MA et al (1),2018
NCT02366143,29863955,atezolizumab,Socinski MA et al,2018
NCT02366143,29863955,atezolizumab,Socinski MA et al (1),2018
NCT03059667,30664989,atezolizumab,Pujol JL et al,2019
NCT02367781,31122901,atezolizumab,West H et al,2019
NCT02454933,30763730,durvalumab,Yang JCH et al,2019
NCT03043872,31590988,durvalumab,Paz-Ares L et al,2019
NCT03043872,31590988,durvalumab,Paz-Ares L et al (1),2019
NCT03043872,31590988,durvalumab,Goldman JW et al,2020
NCT03043872,31590988,durvalumab,Goldman JW et al (1),2020
NCT03043872,31590988,durvalumab,Paz-Ares L et al,2019
NCT03043872,31590988,durvalumab,Paz-Ares L et al (1),2019
NCT03043872,31590988,durvalumab,Goldman JW et al,2020
NCT03043872,31590988,durvalumab,Goldman JW et al (1),2020
NCT02763579,31959349,atezolizumab,Horn L et al,2018
NCT02763579,31959349,atezolizumab,Mansfield AS et al,2020
NCT02352948,32201234,durvalumab,Planchard D et al,2020
NCT02352948,32201234,durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,durvalumab,Planchard D et al (2),2020
NCT02352948,32201234,durvalumab,Planchard D et al,2020
NCT02352948,32201234,durvalumab,Planchard D et al (1),2020
NCT02352948,32201234,durvalumab,Planchard D et al (2),2020
NCT02453282,32271377,durvalumab,Rizvi NA et al,2020
NCT02453282,32271377,durvalumab,Rizvi NA et al (1),2020
NCT02453282,32271377,durvalumab,Rizvi NA et al,2020
NCT02453282,32271377,durvalumab,Rizvi NA et al (1),2020
NCT02367794,32302702,atezolizumab,Jotte R et al,2020
NCT02367794,32302702,atezolizumab,Jotte R et al (1),2020
NCT02367794,32302702,atezolizumab,Jotte R et al,2020
NCT02367794,32302702,atezolizumab,Jotte R et al (1),2020
NCT02409342,32997907,atezolizumab,Herbst RS et al.,2020
NCT03043872,33285097,durvalumab,Paz-Ares L et al,2019
NCT03043872,33285097,durvalumab,Paz-Ares L et al (1),2019
NCT03043872,33285097,durvalumab,Goldman JW et al,2020
NCT03043872,33285097,durvalumab,Goldman JW et al (1),2020
NCT03043872,33285097,durvalumab,Paz-Ares L et al,2019
NCT03043872,33285097,durvalumab,Paz-Ares L et al (1),2019
NCT03043872,33285097,durvalumab,Goldman JW et al,2020
NCT03043872,33285097,durvalumab,Goldman JW et al (1),2020
NCT01903993,33166718,atezolizumab,Fehrenbacher L et al,2016
NCT01903993,33166718,atezolizumab,Mazieres J et al,2020
NCT02008227,33166718,atezolizumab,Rittmeyer A et al,2017
NCT02008227,33166718,atezolizumab,Fehrenbacher L et al,2018
NCT02008227,33166718,atezolizumab,Mazieres J et al,2020
