NCT,PMID,irAE_assessment,Authors,Year
NCT01668784,26406148,False,Motzer RJ et al,2015
NCT01668784,26406148,False,Motzer RJ et al,2020
NCT01984242,29867230,False,McDermott DF et al,2018
NCT01984242,29867230,False,McDermott DF et al (1),2018
NCT01984242,29867230,False,McDermott DF et al,2018
NCT01984242,29867230,False,McDermott DF et al (1),2018
NCT02231749,29562145,False,Motzer RJ et al,2018
NCT02231749,29562145,False,Motzer RJ et al,2019
NCT02231749,29562145,False,Motzer RJ et al,2020
NCT02231749,31427204,False,Motzer RJ et al,2018
NCT02231749,31427204,False,Motzer RJ et al,2019
NCT02231749,31427204,False,Motzer RJ et al,2020
NCT02684006,30779531,True,Motzer RJ et al,2019
NCT02684006,30779531,True,Choueiri TK et al,2020
NCT02853331,30779529,True,Rini BI et al,2019
NCT02853331,30779529,True,Powles T et al. ,2020
NCT02420821,31079938,True,Rini BI et al,2019
NCT02231749,32661118,False,Motzer RJ et al,2018
NCT02231749,32661118,False,Motzer RJ et al,2019
NCT02231749,32661118,False,Motzer RJ et al,2020
NCT01668784,32673417,False,Motzer RJ et al,2015
NCT01668784,32673417,False,Motzer RJ et al,2020
NCT02684006,32339648,False,Motzer RJ et al,2019
NCT02684006,32339648,False,Choueiri TK et al,2020
NCT02853331,33284113,False,Rini BI et al,2019
NCT02853331,33284113,False,Powles T et al. ,2020
NCT02811861,33616314,False,Motzer R et al,2021
NCT03141177,33657295,False,Choueiri TK et al,2021
