NCT,PMID,primary_endpoint_type,secondary_endpoint_type,Authors,Year
NCT00527735,22547592,primary,secondary,Lynch TJ et al,2012
NCT00527735,22547592,primary,secondary,Lynch TJ et al (1),2012
NCT00527735,22547592,primary,secondary,Reck M et al,2012
NCT00527735,22547592,primary,secondary,Reck M et al (1),2012
NCT00527735,22547592,primary,secondary,Lynch TJ et al,2012
NCT00527735,22547592,primary,secondary,Lynch TJ et al (1),2012
NCT00527735,22547592,primary,secondary,Reck M et al,2012
NCT00527735,22547592,primary,secondary,Reck M et al (1),2012
NCT00527735,22858559,unclear,secondary,Lynch TJ et al,2012
NCT00527735,22858559,unclear,secondary,Lynch TJ et al (1),2012
NCT00527735,22858559,unclear,secondary,Reck M et al,2012
NCT00527735,22858559,unclear,secondary,Reck M et al (1),2012
NCT00527735,22858559,unclear,secondary,Lynch TJ et al,2012
NCT00527735,22858559,unclear,secondary,Lynch TJ et al (1),2012
NCT00527735,22858559,unclear,secondary,Reck M et al,2012
NCT00527735,22858559,unclear,secondary,Reck M et al (1),2012
NCT01673867,26412456,primary,secondary,Borghaei  H et al,2015
NCT01642004,26028407,primary,secondary,Brahmer J et al,2015
NCT01905657,26712084,primary,secondary,Herbst RS et al,2016
NCT01905657,26712084,primary,secondary,Herbst RS et al (1),2016
NCT01905657,26712084,primary,secondary,Herbst RS et al,2016
NCT01905657,26712084,primary,secondary,Herbst RS et al (1),2016
NCT01903993,26970723,primary,secondary,Fehrenbacher L et al,2016
NCT01903993,26970723,primary,secondary,Mazieres J et al,2020
NCT01450761,27458307,primary,secondary,Reck M et al,2016
NCT02041533,28636851,primary,secondary,Carbone DP et al,2017
NCT01285609,28854067,primary,secondary,Govindan R et al,2017
NCT02125461,28885881,primary,secondary,Antonia SJ et al,2017
NCT02125461,28885881,primary,secondary,Antonia SJ et al,2018
NCT02125461,30280658,primary,secondary,Antonia SJ et al,2017
NCT02125461,30280658,primary,secondary,Antonia SJ et al,2018
NCT02395172,30262187,primary,secondary,Barlesi F et al,2018
NCT02039674,27745820,primary,secondary,Langer JC et al,2016
NCT02039674,27745820,primary,secondary,Borghaei  H et al,2018
NCT02039674,30138764,primary,secondary,Langer JC et al,2016
NCT02039674,30138764,primary,secondary,Borghaei  H et al,2018
NCT02008227,27979383,primary,secondary,Rittmeyer A et al,2017
NCT02008227,27979383,primary,secondary,Fehrenbacher L et al,2018
NCT02008227,27979383,primary,secondary,Mazieres J et al,2020
NCT02008227,29777823,primary,secondary,Rittmeyer A et al,2017
NCT02008227,29777823,primary,secondary,Fehrenbacher L et al,2018
NCT02008227,29777823,primary,secondary,Mazieres J et al,2020
NCT02578680,29658856,primary,secondary,Gandhi L et al,2018
NCT02763579,30280641,primary,secondary,Horn L et al,2018
NCT02763579,30280641,primary,secondary,Mansfield AS et al,2020
NCT02775435,30280635,primary,secondary,Paz-Ares L et al,2018
NCT02366143,29863955,primary,secondary,Socinski MA et al,2018
NCT02366143,29863955,primary,secondary,Socinski MA et al (1),2018
NCT02366143,29863955,primary,secondary,Socinski MA et al,2018
NCT02366143,29863955,primary,secondary,Socinski MA et al (1),2018
NCT02477826,29658845,primary,secondary,Hellmann MD et al,2018
NCT02477826,29658845,primary,secondary,Hellmann MD et al (1),2018
NCT02477826,29658845,primary,secondary,Hellmann MD et al,2019
NCT02477826,29658845,primary,secondary,Hellmann MD et al (1),2019
NCT02477826,29658845,primary,secondary,Hellmann MD et al (2),2019
NCT02477826,29658845,primary,secondary,Hellmann MD et al,2018
NCT02477826,29658845,primary,secondary,Hellmann MD et al (1),2018
NCT02477826,29658845,primary,secondary,Hellmann MD et al,2019
NCT02477826,29658845,primary,secondary,Hellmann MD et al (1),2019
NCT02477826,29658845,primary,secondary,Hellmann MD et al (2),2019
NCT02477826,31562796,primary,secondary,Hellmann MD et al,2018
NCT02477826,31562796,primary,secondary,Hellmann MD et al (1),2018
NCT02477826,31562796,primary,secondary,Hellmann MD et al,2019
NCT02477826,31562796,primary,secondary,Hellmann MD et al (1),2019
NCT02477826,31562796,primary,secondary,Hellmann MD et al (2),2019
NCT02477826,31562796,primary,secondary,Hellmann MD et al,2018
NCT02477826,31562796,primary,secondary,Hellmann MD et al (1),2018
NCT02477826,31562796,primary,secondary,Hellmann MD et al,2019
NCT02477826,31562796,primary,secondary,Hellmann MD et al (1),2019
NCT02477826,31562796,primary,secondary,Hellmann MD et al (2),2019
NCT02477826,31562796,primary,secondary,Hellmann MD et al,2018
NCT02477826,31562796,primary,secondary,Hellmann MD et al (1),2018
NCT02477826,31562796,primary,secondary,Hellmann MD et al,2019
NCT02477826,31562796,primary,secondary,Hellmann MD et al (1),2019
NCT02477826,31562796,primary,secondary,Hellmann MD et al (2),2019
NCT02220894,30955977,primary,secondary,Mok TSK et al,2019
NCT03059667,30664989,primary,secondary,Pujol JL et al,2019
NCT02142738,30620668,primary,secondary,Reck M et al,2019
NCT02142738,30620668,primary,secondary,Reck M et al,2016
NCT02367781,31122901,primary,unclear,West H et al,2019
NCT02613507,30659987,primary,unclear,Wu YL et al,2019
NCT02454933,30763730,unclear,unclear,Yang JCH et al,2019
NCT03043872,31590988,primary,secondary,Paz-Ares L et al,2019
NCT03043872,31590988,primary,secondary,Paz-Ares L et al (1),2019
NCT03043872,31590988,primary,secondary,Goldman JW et al,2020
NCT03043872,31590988,primary,secondary,Goldman JW et al (1),2020
NCT03043872,31590988,primary,secondary,Paz-Ares L et al,2019
NCT03043872,31590988,primary,secondary,Paz-Ares L et al (1),2019
NCT03043872,31590988,primary,secondary,Goldman JW et al,2020
NCT03043872,31590988,primary,secondary,Goldman JW et al (1),2020
NCT02763579,31959349,primary,secondary,Horn L et al,2018
NCT02763579,31959349,primary,secondary,Mansfield AS et al,2020
NCT02352948,32201234,primary,secondary,Planchard D et al,2020
NCT02352948,32201234,primary,secondary,Planchard D et al (1),2020
NCT02352948,32201234,primary,secondary,Planchard D et al (2),2020
NCT02352948,32201234,primary,secondary,Planchard D et al,2020
NCT02352948,32201234,primary,secondary,Planchard D et al (1),2020
NCT02352948,32201234,primary,secondary,Planchard D et al (2),2020
NCT02352948,32201234,primary,secondary,Planchard D et al,2020
NCT02352948,32201234,primary,secondary,Planchard D et al (1),2020
NCT02352948,32201234,primary,secondary,Planchard D et al (2),2020
NCT03066778,32468956,primary,secondary,Rudin CM et al,2020
NCT02453282,32271377,primary,secondary,Rizvi NA et al,2020
NCT02453282,32271377,primary,secondary,Rizvi NA et al (1),2020
NCT02453282,32271377,primary,secondary,Rizvi NA et al,2020
NCT02453282,32271377,primary,secondary,Rizvi NA et al (1),2020
NCT02367794,32302702,primary,secondary,Jotte R et al,2020
NCT02367794,32302702,primary,secondary,Jotte R et al (1),2020
NCT02367794,32302702,primary,secondary,Jotte R et al,2020
NCT02367794,32302702,primary,secondary,Jotte R et al (1),2020
NCT02574598,32271354,primary,secondary,Arrieta O et al,2020
NCT02142738,27718847,primary,secondary,Reck M et al,2019
NCT02142738,27718847,primary,secondary,Reck M et al,2016
NCT02409342,32997907,primary,secondary,Herbst RS et al.,2020
NCT03043872,33285097,primary,secondary,Paz-Ares L et al,2019
NCT03043872,33285097,primary,secondary,Paz-Ares L et al (1),2019
NCT03043872,33285097,primary,secondary,Goldman JW et al,2020
NCT03043872,33285097,primary,secondary,Goldman JW et al (1),2020
NCT03043872,33285097,primary,secondary,Paz-Ares L et al,2019
NCT03043872,33285097,primary,secondary,Paz-Ares L et al (1),2019
NCT03043872,33285097,primary,secondary,Goldman JW et al,2020
NCT03043872,33285097,primary,secondary,Goldman JW et al (1),2020
NCT01903993,33166718,primary,unclear,Fehrenbacher L et al,2016
NCT01903993,33166718,primary,unclear,Mazieres J et al,2020
NCT02008227,33166718,primary,unclear,Rittmeyer A et al,2017
NCT02008227,33166718,primary,unclear,Fehrenbacher L et al,2018
NCT02008227,33166718,primary,unclear,Mazieres J et al,2020
NCT03215706,33476593,primary,secondary,Paz-Ares L et al,2021
NCT02481830,33539946,primary,secondary,Spigel DR et al,2021
NCT02538666,33683919,primary,secondary,Owonikoko TK et al,2021
NCT02538666,33683919,primary,secondary,Owonikoko TK et al,2021
NCT02538666,33683919,unclear,secondary,Owonikoko TK et al,2021
NCT02538666,33683919,unclear,secondary,Owonikoko TK et al,2021
NCT03088540,33581821,primary,secondary,Sezer A et al,2021
NCT02852083,33796020,primary,secondary,Heudobler D et al,2021
