NCT,PMID,biomarker_name,Authors,Year
NCT00094653,20525992,unspecified,Hodi FS et al,2010
NCT00094653,20525992,unspecified,Hodi FS et al (1),2010
NCT00094653,20525992,unspecified,McDermott D et al,2013
NCT00094653,20525992,unspecified,McDermott D et al (1),2013
NCT00094653,20525992,unspecified,Hodi FS et al,2010
NCT00094653,20525992,unspecified,Hodi FS et al (1),2010
NCT00094653,20525992,unspecified,McDermott D et al,2013
NCT00094653,20525992,unspecified,McDermott D et al (1),2013
NCT02130466,31171878,unspecified,Ascierto PA et al,2019
NCT02130466,31171878,unspecified,Ferrucci PF et al,2020
NCT01721772,25399552,unspecified,Robert C et al,2015
NCT01721772,25399552,unspecified,Ascierto PA et al,2019
NCT01721772,25399552,unspecified,Robert C et al,2020
NCT01721772,30422243,unspecified,Robert C et al,2015
NCT01721772,30422243,unspecified,Ascierto PA et al,2019
NCT01721772,30422243,unspecified,Robert C et al,2020
NCT02908672,32534646,unspecified,Gutzmer R et al,2020
NCT00094653,23942774,unspecified,Hodi FS et al,2010
NCT00094653,23942774,unspecified,Hodi FS et al (1),2010
NCT00094653,23942774,unspecified,McDermott D et al,2013
NCT00094653,23942774,unspecified,McDermott D et al (1),2013
NCT00094653,23942774,unspecified,Hodi FS et al,2010
NCT00094653,23942774,unspecified,Hodi FS et al (1),2010
NCT00094653,23942774,unspecified,McDermott D et al,2013
NCT00094653,23942774,unspecified,McDermott D et al (1),2013
NCT01721772,32997575,unspecified,Robert C et al,2015
NCT01721772,32997575,unspecified,Ascierto PA et al,2019
NCT01721772,32997575,unspecified,Robert C et al,2020
NCT02130466,33361337,unspecified,Ascierto PA et al,2019
NCT02130466,33361337,unspecified,Ferrucci PF et al,2020
