NCT,PMID,control_arm_type,Authors,Year
NCT00324155,21639810,active,Robert C et al,2011
NCT00094653,20525992,active,Hodi FS et al,2010
NCT00094653,20525992,active,Hodi FS et al (1),2010
NCT00094653,20525992,active,McDermott D et al,2013
NCT00094653,20525992,active,McDermott D et al (1),2013
NCT00094653,20525992,active,Hodi FS et al,2010
NCT00094653,20525992,active,Hodi FS et al (1),2010
NCT00094653,20525992,active,McDermott D et al,2013
NCT00094653,20525992,active,McDermott D et al (1),2013
NCT00257205,23295794,active,Ribas A et al,2013
NCT02362594,29658430,placebo,Eggermont AMM et al,2018
NCT02362594,29658430,placebo,Eggermont AMM et al,2020
NCT00636168,27717298,placebo,Eggermont AMM et al,2016
NCT00636168,27717298,placebo,Eggermont AMM et al,2015
NCT01721746,25795410,active,Weber JS et al,2015
NCT01721746,25795410,active,Larkin J et al,2018
NCT01721746,28671856,active,Weber JS et al,2015
NCT01721746,28671856,active,Larkin J et al,2018
NCT01721772,25399552,active,Robert C et al,2015
NCT01721772,25399552,active,Ascierto PA et al,2019
NCT01721772,25399552,active,Robert C et al,2020
NCT01721772,30422243,active,Robert C et al,2015
NCT01721772,30422243,active,Ascierto PA et al,2019
NCT01721772,30422243,active,Robert C et al,2020
NCT01274338,31880964,active,Tarhini AA et al,2020
NCT01274338,31880964,active,Tarhini AA et al (1),2020
NCT01274338,31880964,active,Tarhini AA et al,2020
NCT01274338,31880964,active,Tarhini AA et al (1),2020
NCT02908672,32534646,active,Gutzmer R et al,2020
NCT00094653,23942774,active,Hodi FS et al,2010
NCT00094653,23942774,active,Hodi FS et al (1),2010
NCT00094653,23942774,active,McDermott D et al,2013
NCT00094653,23942774,active,McDermott D et al (1),2013
NCT00094653,23942774,active,Hodi FS et al,2010
NCT00094653,23942774,active,Hodi FS et al (1),2010
NCT00094653,23942774,active,McDermott D et al,2013
NCT00094653,23942774,active,McDermott D et al (1),2013
NCT01721772,32997575,active,Robert C et al,2015
NCT01721772,32997575,active,Ascierto PA et al,2019
NCT01721772,32997575,active,Robert C et al,2020
NCT02362594,32946353,placebo,Eggermont AMM et al,2018
NCT02362594,32946353,placebo,Eggermont AMM et al,2020
NCT00636168,25840693,placebo,Eggermont AMM et al,2016
NCT00636168,25840693,placebo,Eggermont AMM et al,2015
