NCT,PMID,is_follow_up,Authors,Year
NCT00324155,21639810,False,Robert C et al,2011
NCT00094653,20525992,False,Hodi FS et al,2010
NCT00094653,20525992,False,Hodi FS et al (1),2010
NCT00094653,20525992,False,McDermott D et al,2013
NCT00094653,20525992,False,McDermott D et al (1),2013
NCT00094653,20525992,False,Hodi FS et al,2010
NCT00094653,20525992,False,Hodi FS et al (1),2010
NCT00094653,20525992,False,McDermott D et al,2013
NCT00094653,20525992,False,McDermott D et al (1),2013
NCT00257205,23295794,False,Ribas A et al,2013
NCT02362594,29658430,False,Eggermont AMM et al,2018
NCT02362594,29658430,False,Eggermont AMM et al,2020
NCT01704287,26115796,False,Ribas A et al,2015
NCT01704287,26115796,False,Ribas A et al (1),2015
NCT01704287,26115796,False,Hamid O et al,2017
NCT01704287,26115796,False,Hamid O et al (1),2017
NCT01704287,26115796,False,Ribas A et al,2015
NCT01704287,26115796,False,Ribas A et al (1),2015
NCT01704287,26115796,False,Hamid O et al,2017
NCT01704287,26115796,False,Hamid O et al (1),2017
NCT01704287,28961465,True,Ribas A et al,2015
NCT01704287,28961465,True,Ribas A et al (1),2015
NCT01704287,28961465,True,Hamid O et al,2017
NCT01704287,28961465,True,Hamid O et al (1),2017
NCT01704287,28961465,True,Ribas A et al,2015
NCT01704287,28961465,True,Ribas A et al (1),2015
NCT01704287,28961465,True,Hamid O et al,2017
NCT01704287,28961465,True,Hamid O et al (1),2017
NCT00636168,27717298,False,Eggermont AMM et al,2016
NCT00636168,27717298,False,Eggermont AMM et al,2015
NCT01721746,25795410,False,Weber JS et al,2015
NCT01721746,25795410,False,Larkin J et al,2018
NCT01721746,28671856,True,Weber JS et al,2015
NCT01721746,28671856,True,Larkin J et al,2018
NCT02130466,31171878,False,Ascierto PA et al,2019
NCT02130466,31171878,False,Ferrucci PF et al,2020
NCT01721772,25399552,False,Robert C et al,2015
NCT01721772,25399552,False,Ascierto PA et al,2019
NCT01721772,25399552,False,Robert C et al,2020
NCT01721772,30422243,True,Robert C et al,2015
NCT01721772,30422243,True,Ascierto PA et al,2019
NCT01721772,30422243,True,Robert C et al,2020
NCT01274338,31880964,False,Tarhini AA et al,2020
NCT01274338,31880964,False,Tarhini AA et al (1),2020
NCT01274338,31880964,False,Tarhini AA et al,2020
NCT01274338,31880964,False,Tarhini AA et al (1),2020
NCT02523313,32416781,False,Zimmer L et al,2020
NCT02523313,32416781,False,Zimmer L et al (1),2020
NCT02523313,32416781,False,Zimmer L et al,2020
NCT02523313,32416781,False,Zimmer L et al (1),2020
NCT02908672,32534646,False,Gutzmer R et al,2020
NCT00094653,23942774,True,Hodi FS et al,2010
NCT00094653,23942774,True,Hodi FS et al (1),2010
NCT00094653,23942774,True,McDermott D et al,2013
NCT00094653,23942774,True,McDermott D et al (1),2013
NCT00094653,23942774,True,Hodi FS et al,2010
NCT00094653,23942774,True,Hodi FS et al (1),2010
NCT00094653,23942774,True,McDermott D et al,2013
NCT00094653,23942774,True,McDermott D et al (1),2013
NCT01721772,32997575,True,Robert C et al,2015
NCT01721772,32997575,True,Ascierto PA et al,2019
NCT01721772,32997575,True,Robert C et al,2020
NCT02130466,33361337,False,Ascierto PA et al,2019
NCT02130466,33361337,False,Ferrucci PF et al,2020
NCT02362594,32946353,True,Eggermont AMM et al,2018
NCT02362594,32946353,True,Eggermont AMM et al,2020
NCT00636168,25840693,False,Eggermont AMM et al,2016
NCT00636168,25840693,False,Eggermont AMM et al,2015
