NCT,PMID,control_arm_type,Authors,Year
NCT02252042,30509740,active,Cohen EEW et al,2018
NCT02105636,27718784,active,Ferris RL et al,2016
NCT02105636,27718784,active,Ferris RL et al,2018
NCT02105636,29884413,active,Ferris RL et al,2016
NCT02105636,29884413,active,Ferris RL et al,2018
NCT02358031,31679945,active,Burtness B et al,2019
NCT02358031,31679945,active,Burtness B et al (1),2019
NCT02358031,31679945,active,Burtness B et al,2019
NCT02358031,31679945,active,Burtness B et al (1),2019
NCT02017717,32437507,active,Reardon DA et al,2020
NCT02369874,32294530,active,Ferris RL et al,2020
NCT02369874,32294530,active,Ferris RL et al (1),2020
NCT02369874,32294530,active,Ferris RL et al,2020
NCT02369874,32294530,active,Ferris RL et al (1),2020
NCT02952586,33794205,active,Lee NY et al,2021
NCT02999087,33125944,active,Tao Y et al.,2021
