NCT,PMID,phase_group,Authors,Year
NCT02685059,31095287,early,Loibl S et al,2019
NCT02125461,28885881,late,Antonia SJ et al,2017
NCT02125461,28885881,late,Antonia SJ et al,2018
NCT02125461,30280658,late,Antonia SJ et al,2017
NCT02125461,30280658,late,Antonia SJ et al,2018
NCT02454933,30763730,late,Yang JCH et al,2019
NCT03043872,31590988,late,Paz-Ares L et al,2019
NCT03043872,31590988,late,Paz-Ares L et al (1),2019
NCT03043872,31590988,late,Goldman JW et al,2020
NCT03043872,31590988,late,Goldman JW et al (1),2020
NCT03043872,31590988,late,Paz-Ares L et al,2019
NCT03043872,31590988,late,Paz-Ares L et al (1),2019
NCT03043872,31590988,late,Goldman JW et al,2020
NCT03043872,31590988,late,Goldman JW et al (1),2020
NCT02352948,32201234,late,Planchard D et al,2020
NCT02352948,32201234,late,Planchard D et al (1),2020
NCT02352948,32201234,late,Planchard D et al (2),2020
NCT02352948,32201234,late,Planchard D et al,2020
NCT02352948,32201234,late,Planchard D et al (1),2020
NCT02352948,32201234,late,Planchard D et al (2),2020
NCT02453282,32271377,late,Rizvi NA et al,2020
NCT02453282,32271377,late,Rizvi NA et al (1),2020
NCT02453282,32271377,late,Rizvi NA et al,2020
NCT02453282,32271377,late,Rizvi NA et al (1),2020
NCT02369874,32294530,late,Ferris RL et al,2020
NCT02369874,32294530,late,Ferris RL et al (1),2020
NCT02369874,32294530,late,Ferris RL et al,2020
NCT02369874,32294530,late,Ferris RL et al (1),2020
NCT02870920,32379280,early,Chen EX et al,2020
NCT02516241,32971005,late,Powles T et al,2020
NCT02516241,32971005,late,Powles T et al (1),2020
NCT02516241,32971005,late,Powles T et al,2020
NCT02516241,32971005,late,Powles T et al (1),2020
NCT03043872,33285097,late,Paz-Ares L et al,2019
NCT03043872,33285097,late,Paz-Ares L et al (1),2019
NCT03043872,33285097,late,Goldman JW et al,2020
NCT03043872,33285097,late,Goldman JW et al (1),2020
NCT03043872,33285097,late,Paz-Ares L et al,2019
NCT03043872,33285097,late,Paz-Ares L et al (1),2019
NCT03043872,33285097,late,Goldman JW et al,2020
NCT03043872,33285097,late,Goldman JW et al (1),2020
NCT02299999,33462450,early,Bachelot T et al,2021
