NCT,PMID,follow_up_category,Authors,Year
NCT00324155,21639810,missing,Robert C et al,2011
NCT00094653,20525992,missing,Hodi FS et al,2010
NCT00094653,20525992,missing,Hodi FS et al (1),2010
NCT00094653,20525992,missing,McDermott D et al,2013
NCT00094653,20525992,missing,McDermott D et al (1),2013
NCT00094653,20525992,missing,Hodi FS et al,2010
NCT00094653,20525992,missing,Hodi FS et al (1),2010
NCT00094653,20525992,missing,McDermott D et al,2013
NCT00094653,20525992,missing,McDermott D et al (1),2013
NCT00257205,23295794,missing,Ribas A et al,2013
NCT02362594,29658430,12-23,Eggermont AMM et al,2018
NCT02362594,29658430,12-23,Eggermont AMM et al,2020
NCT01704287,26115796,<12,Ribas A et al,2015
NCT01704287,26115796,<12,Ribas A et al (1),2015
NCT01704287,26115796,<12,Hamid O et al,2017
NCT01704287,26115796,<12,Hamid O et al (1),2017
NCT01704287,26115796,<12,Ribas A et al,2015
NCT01704287,26115796,<12,Ribas A et al (1),2015
NCT01704287,26115796,<12,Hamid O et al,2017
NCT01704287,26115796,<12,Hamid O et al (1),2017
NCT01704287,28961465,>=24,Ribas A et al,2015
NCT01704287,28961465,>=24,Ribas A et al (1),2015
NCT01704287,28961465,>=24,Hamid O et al,2017
NCT01704287,28961465,>=24,Hamid O et al (1),2017
NCT01704287,28961465,>=24,Ribas A et al,2015
NCT01704287,28961465,>=24,Ribas A et al (1),2015
NCT01704287,28961465,>=24,Hamid O et al,2017
NCT01704287,28961465,>=24,Hamid O et al (1),2017
NCT00636168,27717298,<12,Eggermont AMM et al,2016
NCT00636168,27717298,<12,Eggermont AMM et al,2015
NCT01721746,25795410,<12,Weber JS et al,2015
NCT01721746,25795410,<12,Larkin J et al,2018
NCT01721746,28671856,>=24,Weber JS et al,2015
NCT01721746,28671856,>=24,Larkin J et al,2018
NCT02130466,31171878,<12,Ascierto PA et al,2019
NCT02130466,31171878,<12,Ferrucci PF et al,2020
NCT01721772,25399552,12-23,Robert C et al,2015
NCT01721772,25399552,12-23,Ascierto PA et al,2019
NCT01721772,25399552,12-23,Robert C et al,2020
NCT01721772,30422243,>=24,Robert C et al,2015
NCT01721772,30422243,>=24,Ascierto PA et al,2019
NCT01721772,30422243,>=24,Robert C et al,2020
NCT01274338,31880964,>=24,Tarhini AA et al,2020
NCT01274338,31880964,>=24,Tarhini AA et al (1),2020
NCT01274338,31880964,>=24,Tarhini AA et al,2020
NCT01274338,31880964,>=24,Tarhini AA et al (1),2020
NCT02523313,32416781,>=24,Zimmer L et al,2020
NCT02523313,32416781,>=24,Zimmer L et al (1),2020
NCT02523313,32416781,>=24,Zimmer L et al,2020
NCT02523313,32416781,>=24,Zimmer L et al (1),2020
NCT02908672,32534646,12-23,Gutzmer R et al,2020
NCT00094653,23942774,missing,Hodi FS et al,2010
NCT00094653,23942774,missing,Hodi FS et al (1),2010
NCT00094653,23942774,missing,McDermott D et al,2013
NCT00094653,23942774,missing,McDermott D et al (1),2013
NCT00094653,23942774,missing,Hodi FS et al,2010
NCT00094653,23942774,missing,Hodi FS et al (1),2010
NCT00094653,23942774,missing,McDermott D et al,2013
NCT00094653,23942774,missing,McDermott D et al (1),2013
NCT01721772,32997575,missing,Robert C et al,2015
NCT01721772,32997575,missing,Ascierto PA et al,2019
NCT01721772,32997575,missing,Robert C et al,2020
NCT02130466,33361337,>=24,Ascierto PA et al,2019
NCT02130466,33361337,>=24,Ferrucci PF et al,2020
NCT02362594,32946353,>=24,Eggermont AMM et al,2018
NCT02362594,32946353,>=24,Eggermont AMM et al,2020
NCT00636168,25840693,missing,Eggermont AMM et al,2016
NCT00636168,25840693,missing,Eggermont AMM et al,2015
