NCT,PMID,endpoint_type_primary,endpoint_type_secondary,Authors,Year
NCT02425891,30345906,primary,secondary,Schmid P et al,2018
NCT02425891,30345906,primary,secondary,Schmid P et al,2019
NCT02685059,31095287,primary,secondary,Loibl S et al,2019
NCT01042379,32053137,primary,secondary,Nanda R et al,2019
NCT02425891,31786121,primary,secondary,Schmid P et al,2018
NCT02425891,31786121,primary,secondary,Schmid P et al,2019
NCT03036488,32101663,primary,secondary,Schmid P et al,2020
NCT03051659,32880602,primary,secondary,Tolaney SM et al,2020
NCT02819518,33278935,primary,secondary,Cortes J et al,2020
NCT03197935,32966830,primary,secondary,Mittendorf EA et al,2020
NCT02924883,33002436,primary,secondary,Emens LA et al,2020
NCT02299999,33462450,primary,secondary,Bachelot T et al,2021
NCT02555657,33676601,primary,secondary,Winer PE et al,2021
