NCT,PMID,year_bucket,Authors,Year
NCT02685059,31095287,>=2019,Loibl S et al,2019
NCT02125461,28885881,2015-2018,Antonia SJ et al,2017
NCT02125461,28885881,2015-2018,Antonia SJ et al,2018
NCT02125461,30280658,2015-2018,Antonia SJ et al,2017
NCT02125461,30280658,2015-2018,Antonia SJ et al,2018
NCT02454933,30763730,>=2019,Yang JCH et al,2019
NCT00257205,23295794,<=2014,Ribas A et al,2013
NCT01843374,28729154,2015-2018,Maio M et al,2017
NCT03043872,31590988,>=2019,Paz-Ares L et al,2019
NCT03043872,31590988,>=2019,Paz-Ares L et al (1),2019
NCT03043872,31590988,>=2019,Goldman JW et al,2020
NCT03043872,31590988,>=2019,Goldman JW et al (1),2020
NCT03043872,31590988,>=2019,Paz-Ares L et al,2019
NCT03043872,31590988,>=2019,Paz-Ares L et al (1),2019
NCT03043872,31590988,>=2019,Goldman JW et al,2020
NCT03043872,31590988,>=2019,Goldman JW et al (1),2020
NCT02352948,32201234,>=2019,Planchard D et al,2020
NCT02352948,32201234,>=2019,Planchard D et al (1),2020
NCT02352948,32201234,>=2019,Planchard D et al (2),2020
NCT02352948,32201234,>=2019,Planchard D et al,2020
NCT02352948,32201234,>=2019,Planchard D et al (1),2020
NCT02352948,32201234,>=2019,Planchard D et al (2),2020
NCT02352948,32201234,>=2019,Planchard D et al,2020
NCT02352948,32201234,>=2019,Planchard D et al (1),2020
NCT02352948,32201234,>=2019,Planchard D et al (2),2020
NCT02453282,32271377,>=2019,Rizvi NA et al,2020
NCT02453282,32271377,>=2019,Rizvi NA et al (1),2020
NCT02453282,32271377,>=2019,Rizvi NA et al,2020
NCT02453282,32271377,>=2019,Rizvi NA et al (1),2020
NCT02369874,32294530,>=2019,Ferris RL et al,2020
NCT02369874,32294530,>=2019,Ferris RL et al (1),2020
NCT02369874,32294530,>=2019,Ferris RL et al,2020
NCT02369874,32294530,>=2019,Ferris RL et al (1),2020
NCT02870920,32379280,>=2019,Chen EX et al,2020
NCT02516241,32971005,>=2019,Powles T et al,2020
NCT02516241,32971005,>=2019,Powles T et al (1),2020
NCT02516241,32971005,>=2019,Powles T et al,2020
NCT02516241,32971005,>=2019,Powles T et al (1),2020
NCT03043872,33285097,>=2019,Paz-Ares L et al,2019
NCT03043872,33285097,>=2019,Paz-Ares L et al (1),2019
NCT03043872,33285097,>=2019,Goldman JW et al,2020
NCT03043872,33285097,>=2019,Goldman JW et al (1),2020
NCT03043872,33285097,>=2019,Paz-Ares L et al,2019
NCT03043872,33285097,>=2019,Paz-Ares L et al (1),2019
NCT03043872,33285097,>=2019,Goldman JW et al,2020
NCT03043872,33285097,>=2019,Goldman JW et al (1),2020
NCT02299999,33462450,>=2019,Bachelot T et al,2021
