NCT,PMID,combination_type,Authors,Year
NCT00324155,21639810,ICI+Chemo,Robert C et al,2011
NCT00094653,20525992,ICI+Other,Hodi FS et al,2010
NCT00094653,20525992,ICI+Other,Hodi FS et al (1),2010
NCT00094653,20525992,ICI+Other,McDermott D et al,2013
NCT00094653,20525992,ICI+Other,McDermott D et al (1),2013
NCT02130466,31171878,ICI+Other,Ascierto PA et al,2019
NCT02130466,31171878,ICI+Other,Ferrucci PF et al,2020
NCT02523313,32416781,ICI+ICI,Zimmer L et al,2020
NCT02523313,32416781,ICI+ICI,Zimmer L et al (1),2020
NCT02908672,32534646,ICI+Other,Gutzmer R et al,2020
NCT00094653,23942774,ICI+Other,Hodi FS et al,2010
NCT00094653,23942774,ICI+Other,Hodi FS et al (1),2010
NCT00094653,23942774,ICI+Other,McDermott D et al,2013
NCT00094653,23942774,ICI+Other,McDermott D et al (1),2013
NCT02130466,33361337,ICI+Other,Ascierto PA et al,2019
NCT02130466,33361337,ICI+Other,Ferrucci PF et al,2020
