NCT,PMID,Author,Year,Cancer type,follow_up_months,follow_up_maturity,Authors
NCT02425891,30345906,Schmid P et al,2018,Breast,12.9,immature,Schmid P et al
NCT02425891,30345906,Schmid P et al,2018,Breast,12.9,immature,Schmid P et al
NCT02685059,31095287,Loibl S et al,2019,Breast,,unknown,Loibl S et al
NCT01042379,32053137,Nanda R et al,2019,Breast,,unknown,Nanda R et al
NCT02425891,31786121,Schmid P et al,2019,Breast,,unknown,Schmid P et al
NCT02425891,31786121,Schmid P et al,2019,Breast,,unknown,Schmid P et al
NCT03036488,32101663,Schmid P et al,2020,Breast,15.5,immature,Schmid P et al
NCT03051659,32880602,Tolaney SM et al,2020,Breast,10.5,immature,Tolaney SM et al
NCT02819518,33278935,Cortes J et al,2020,Breast,,unknown,Cortes J et al
NCT03197935,32966830,Mittendorf EA et al,2020,Breast,,unknown,Mittendorf EA et al
NCT02924883,33002436,Emens LA et al,2020,Breast,,unknown,Emens LA et al
NCT02299999,33462450,Bachelot T et al,2021,Breast,19.7,immature,Bachelot T et al
NCT02555657,33676601,Winer PE et al,2021,Breast,31.4,mature,Winer PE et al
