NCT,PMID,ici_class,Authors,Year
NCT02500121,32271672,PD-1,Galsky MD et al,2020
NCT02807636,32416780,PD-L1,Galsky MD et al,2020
NCT02807636,32416780,PD-L1,Galsky MD et al (1),2020
NCT02807636,32416780,PD-L1,Galsky MD et al,2020
NCT02807636,32416780,PD-L1,Galsky MD et al (1),2020
NCT02516241,32971005,PD-L1,Powles T et al,2020
NCT02516241,32971005,PD-L1,Powles T et al (1),2020
NCT02516241,32971005,PD-L1,Powles T et al,2020
NCT02516241,32971005,PD-L1,Powles T et al (1),2020
NCT02603432,32945632,PD-L1,Powles T et al,2020
NCT02450331,33721560,PD-L1,Bellmunt J et al,2021
