NCT,PMID,endpoint_type,Authors,Year
NCT01585987,28655793,primary,Bang YJ et al,2017
NCT02267343,28993052,primary,Kang YK et al,2017
NCT02267343,28993052,primary,Chen LT et al,2019
NCT02625623,30052729,primary,Bang YJ et al,2018
NCT02370498,29880231,primary,Shitara K et al,2018
NCT02267343,31863227,primary,Kang YK et al,2017
NCT02267343,31863227,primary,Chen LT et al,2019
NCT02569242,31582355,primary,Kato K et al,2019
NCT02494583,32880601,primary,Shitara K et al,2020
NCT02494583,32880601,primary,Shitara K et al (1),2020
NCT02494583,32880601,primary,Shitara K et al,2020
NCT02494583,32880601,primary,Shitara K et al (1),2020
NCT02625610,33197226,primary,Moehler M et al,2020
NCT02564263,33026938,primary,Kojima T et al.,2020
