NCT,PMID,clinical_setting_normalized,Authors,Year
NCT00527735,22547592,relapsed/refractory,Lynch TJ et al,2012
NCT00527735,22547592,relapsed/refractory,Lynch TJ et al (1),2012
NCT00527735,22547592,relapsed/refractory,Reck M et al,2012
NCT00527735,22547592,relapsed/refractory,Reck M et al (1),2012
NCT00527735,22547592,relapsed/refractory,Lynch TJ et al,2012
NCT00527735,22547592,relapsed/refractory,Lynch TJ et al (1),2012
NCT00527735,22547592,relapsed/refractory,Reck M et al,2012
NCT00527735,22547592,relapsed/refractory,Reck M et al (1),2012
NCT00527735,22858559,relapsed/refractory,Lynch TJ et al,2012
NCT00527735,22858559,relapsed/refractory,Lynch TJ et al (1),2012
NCT00527735,22858559,relapsed/refractory,Reck M et al,2012
NCT00527735,22858559,relapsed/refractory,Reck M et al (1),2012
NCT00527735,22858559,relapsed/refractory,Lynch TJ et al,2012
NCT00527735,22858559,relapsed/refractory,Lynch TJ et al (1),2012
NCT00527735,22858559,relapsed/refractory,Reck M et al,2012
NCT00527735,22858559,relapsed/refractory,Reck M et al (1),2012
NCT01673867,26412456,metastatic,Borghaei  H et al,2015
NCT01642004,26028407,relapsed/refractory,Brahmer J et al,2015
NCT01905657,26712084,relapsed/refractory,Herbst RS et al,2016
NCT01905657,26712084,relapsed/refractory,Herbst RS et al (1),2016
NCT01905657,26712084,relapsed/refractory,Herbst RS et al,2016
NCT01905657,26712084,relapsed/refractory,Herbst RS et al (1),2016
NCT01903993,26970723,relapsed/refractory,Fehrenbacher L et al,2016
NCT01903993,26970723,relapsed/refractory,Mazieres J et al,2020
NCT01450761,27458307,relapsed/refractory,Reck M et al,2016
NCT02041533,28636851,relapsed/refractory,Carbone DP et al,2017
NCT01285609,28854067,relapsed/refractory,Govindan R et al,2017
NCT02125461,28885881,relapsed/refractory,Antonia SJ et al,2017
NCT02125461,28885881,relapsed/refractory,Antonia SJ et al,2018
NCT02125461,30280658,relapsed/refractory,Antonia SJ et al,2017
NCT02125461,30280658,relapsed/refractory,Antonia SJ et al,2018
NCT02395172,30262187,relapsed/refractory,Barlesi F et al,2018
