NCT,PMID,year_bucket,Authors,Year
NCT02302807,29268948,2015-2018,Powles T et al,2018
NCT02425891,30345906,2015-2018,Schmid P et al,2018
NCT02425891,30345906,2015-2018,Schmid P et al,2019
NCT02788279,31003911,>=2019,Eng C et al,2019
NCT02788279,31003911,>=2019,Eng C et al (1),2019
NCT02788279,31003911,>=2019,Eng C et al,2019
NCT02788279,31003911,>=2019,Eng C et al (1),2019
NCT01984242,29867230,2015-2018,McDermott DF et al,2018
NCT01984242,29867230,2015-2018,McDermott DF et al (1),2018
NCT01984242,29867230,2015-2018,McDermott DF et al,2018
NCT01984242,29867230,2015-2018,McDermott DF et al (1),2018
NCT02420821,31079938,>=2019,Rini BI et al,2019
NCT01903993,26970723,2015-2018,Fehrenbacher L et al,2016
NCT01903993,26970723,2015-2018,Mazieres J et al,2020
NCT02395172,30262187,2015-2018,Barlesi F et al,2018
NCT02008227,27979383,2015-2018,Rittmeyer A et al,2017
NCT02008227,27979383,2015-2018,Fehrenbacher L et al,2018
NCT02008227,27979383,2015-2018,Mazieres J et al,2020
NCT02008227,29777823,2015-2018,Rittmeyer A et al,2017
NCT02008227,29777823,2015-2018,Fehrenbacher L et al,2018
NCT02008227,29777823,2015-2018,Mazieres J et al,2020
NCT02763579,30280641,2015-2018,Horn L et al,2018
NCT02763579,30280641,2015-2018,Mansfield AS et al,2020
NCT02366143,29863955,2015-2018,Socinski MA et al,2018
NCT02366143,29863955,2015-2018,Socinski MA et al (1),2018
NCT02366143,29863955,2015-2018,Socinski MA et al,2018
NCT02366143,29863955,2015-2018,Socinski MA et al (1),2018
NCT03059667,30664989,>=2019,Pujol JL et al,2019
NCT02367781,31122901,>=2019,West H et al,2019
NCT02425891,31786121,>=2019,Schmid P et al,2018
NCT02425891,31786121,>=2019,Schmid P et al,2019
NCT02763579,31959349,>=2019,Horn L et al,2018
NCT02763579,31959349,>=2019,Mansfield AS et al,2020
NCT02367794,32302702,>=2019,Jotte R et al,2020
NCT02367794,32302702,>=2019,Jotte R et al (1),2020
NCT02367794,32302702,>=2019,Jotte R et al,2020
NCT02367794,32302702,>=2019,Jotte R et al (1),2020
NCT02908672,32534646,>=2019,Gutzmer R et al,2020
NCT02807636,32416780,>=2019,Galsky MD et al,2020
NCT02807636,32416780,>=2019,Galsky MD et al (1),2020
NCT02807636,32416780,>=2019,Galsky MD et al,2020
NCT02807636,32416780,>=2019,Galsky MD et al (1),2020
NCT03434379,32402160,>=2019,Finn RS et al,2020
NCT03197935,32966830,>=2019,Mittendorf EA et al,2020
NCT02409342,32997907,>=2019,Herbst RS et al.,2020
NCT02924883,33002436,>=2019,Emens LA et al,2020
NCT02657434,33333328,>=2019,Nishio M et al,2020
NCT01903993,33166718,>=2019,Fehrenbacher L et al,2016
NCT01903993,33166718,>=2019,Mazieres J et al,2020
NCT02008227,33166718,>=2019,Rittmeyer A et al,2017
NCT02008227,33166718,>=2019,Fehrenbacher L et al,2018
NCT02008227,33166718,>=2019,Mazieres J et al,2020
NCT02450331,33721560,>=2019,Bellmunt J et al,2021
