NCT,PMID,ici_class,Authors,Year
NCT01585987,28655793,CTLA-4,Bang YJ et al,2017
NCT02267343,28993052,PD-1,Kang YK et al,2017
NCT02267343,28993052,PD-1,Chen LT et al,2019
NCT02625623,30052729,PD-L1,Bang YJ et al,2018
NCT02370498,29880231,PD-1,Shitara K et al,2018
NCT02267343,31863227,PD-1,Kang YK et al,2017
NCT02267343,31863227,PD-1,Chen LT et al,2019
NCT02569242,31582355,PD-1,Kato K et al,2019
NCT02494583,32880601,PD-1,Shitara K et al,2020
NCT02494583,32880601,PD-1,Shitara K et al (1),2020
NCT02494583,32880601,PD-1,Shitara K et al,2020
NCT02494583,32880601,PD-1,Shitara K et al (1),2020
NCT02625610,33197226,PD-L1,Moehler M et al,2020
NCT02564263,33026938,PD-1,Kojima T et al.,2020
