NCT,PMID,brand_name,Authors,Year
NCT01903993,26970723,Tecentriq,Fehrenbacher L et al,2016
NCT01903993,26970723,Tecentriq,Mazieres J et al,2020
NCT02125461,28885881,Imfinzi,Antonia SJ et al,2017
NCT02125461,28885881,Imfinzi,Antonia SJ et al,2018
NCT02125461,30280658,Imfinzi,Antonia SJ et al,2017
NCT02125461,30280658,Imfinzi,Antonia SJ et al,2018
NCT02395172,30262187,Tecentriq,Barlesi F et al,2018
NCT02008227,27979383,Tecentriq,Rittmeyer A et al,2017
NCT02008227,27979383,Tecentriq,Fehrenbacher L et al,2018
NCT02008227,27979383,Tecentriq,Mazieres J et al,2020
NCT02008227,29777823,Tecentriq,Rittmeyer A et al,2017
NCT02008227,29777823,Tecentriq,Fehrenbacher L et al,2018
NCT02008227,29777823,Tecentriq,Mazieres J et al,2020
NCT02763579,30280641,Tecentriq,Horn L et al,2018
NCT02763579,30280641,Tecentriq,Mansfield AS et al,2020
NCT02366143,29863955,Tecentriq,Socinski MA et al,2018
NCT02366143,29863955,Tecentriq,Socinski MA et al (1),2018
NCT02366143,29863955,Tecentriq,Socinski MA et al,2018
NCT02366143,29863955,Tecentriq,Socinski MA et al (1),2018
NCT03059667,30664989,Tecentriq,Pujol JL et al,2019
NCT02367781,31122901,Tecentriq,West H et al,2019
NCT02454933,30763730,Imfinzi,Yang JCH et al,2019
NCT03043872,31590988,Imfinzi,Paz-Ares L et al,2019
NCT03043872,31590988,Imfinzi,Paz-Ares L et al (1),2019
NCT03043872,31590988,Imfinzi,Goldman JW et al,2020
NCT03043872,31590988,Imfinzi,Goldman JW et al (1),2020
NCT03043872,31590988,Imfinzi,Paz-Ares L et al,2019
NCT03043872,31590988,Imfinzi,Paz-Ares L et al (1),2019
NCT03043872,31590988,Imfinzi,Goldman JW et al,2020
NCT03043872,31590988,Imfinzi,Goldman JW et al (1),2020
NCT02763579,31959349,Tecentriq,Horn L et al,2018
NCT02763579,31959349,Tecentriq,Mansfield AS et al,2020
NCT02352948,32201234,Imfinzi,Planchard D et al,2020
NCT02352948,32201234,Imfinzi,Planchard D et al (1),2020
NCT02352948,32201234,Imfinzi,Planchard D et al (2),2020
NCT02352948,32201234,Imfinzi,Planchard D et al,2020
NCT02352948,32201234,Imfinzi,Planchard D et al (1),2020
NCT02352948,32201234,Imfinzi,Planchard D et al (2),2020
NCT02453282,32271377,Imfinzi,Rizvi NA et al,2020
NCT02453282,32271377,Imfinzi,Rizvi NA et al (1),2020
NCT02453282,32271377,Imfinzi,Rizvi NA et al,2020
NCT02453282,32271377,Imfinzi,Rizvi NA et al (1),2020
NCT02367794,32302702,Tecentriq,Jotte R et al,2020
NCT02367794,32302702,Tecentriq,Jotte R et al (1),2020
NCT02367794,32302702,Tecentriq,Jotte R et al,2020
NCT02367794,32302702,Tecentriq,Jotte R et al (1),2020
NCT02409342,32997907,Tecentriq,Herbst RS et al.,2020
NCT03043872,33285097,Imfinzi,Paz-Ares L et al,2019
NCT03043872,33285097,Imfinzi,Paz-Ares L et al (1),2019
NCT03043872,33285097,Imfinzi,Goldman JW et al,2020
NCT03043872,33285097,Imfinzi,Goldman JW et al (1),2020
NCT03043872,33285097,Imfinzi,Paz-Ares L et al,2019
NCT03043872,33285097,Imfinzi,Paz-Ares L et al (1),2019
NCT03043872,33285097,Imfinzi,Goldman JW et al,2020
NCT03043872,33285097,Imfinzi,Goldman JW et al (1),2020
NCT01903993,33166718,Tecentriq,Fehrenbacher L et al,2016
NCT01903993,33166718,Tecentriq,Mazieres J et al,2020
NCT02008227,33166718,Tecentriq,Rittmeyer A et al,2017
NCT02008227,33166718,Tecentriq,Fehrenbacher L et al,2018
NCT02008227,33166718,Tecentriq,Mazieres J et al,2020
