NCT,PMID,phase_category,Authors,Year
NCT02302807,29268948,late,Powles T et al,2018
NCT02425891,30345906,late,Schmid P et al,2018
NCT02425891,30345906,late,Schmid P et al,2019
NCT02788279,31003911,late,Eng C et al,2019
NCT02788279,31003911,late,Eng C et al (1),2019
NCT02788279,31003911,late,Eng C et al,2019
NCT02788279,31003911,late,Eng C et al (1),2019
NCT01984242,29867230,early,McDermott DF et al,2018
NCT01984242,29867230,early,McDermott DF et al (1),2018
NCT01984242,29867230,early,McDermott DF et al,2018
NCT01984242,29867230,early,McDermott DF et al (1),2018
NCT02420821,31079938,late,Rini BI et al,2019
NCT01903993,26970723,early,Fehrenbacher L et al,2016
NCT01903993,26970723,early,Mazieres J et al,2020
NCT02395172,30262187,late,Barlesi F et al,2018
NCT02008227,27979383,late,Rittmeyer A et al,2017
NCT02008227,27979383,late,Fehrenbacher L et al,2018
NCT02008227,27979383,late,Mazieres J et al,2020
NCT02008227,29777823,late,Rittmeyer A et al,2017
NCT02008227,29777823,late,Fehrenbacher L et al,2018
NCT02008227,29777823,late,Mazieres J et al,2020
NCT02763579,30280641,late,Horn L et al,2018
NCT02763579,30280641,late,Mansfield AS et al,2020
NCT02366143,29863955,late,Socinski MA et al,2018
NCT02366143,29863955,late,Socinski MA et al (1),2018
NCT02366143,29863955,late,Socinski MA et al,2018
NCT02366143,29863955,late,Socinski MA et al (1),2018
NCT03059667,30664989,early,Pujol JL et al,2019
NCT02367781,31122901,late,West H et al,2019
NCT02425891,31786121,late,Schmid P et al,2018
NCT02425891,31786121,late,Schmid P et al,2019
NCT02763579,31959349,late,Horn L et al,2018
NCT02763579,31959349,late,Mansfield AS et al,2020
NCT02367794,32302702,late,Jotte R et al,2020
NCT02367794,32302702,late,Jotte R et al (1),2020
NCT02367794,32302702,late,Jotte R et al,2020
NCT02367794,32302702,late,Jotte R et al (1),2020
NCT02908672,32534646,late,Gutzmer R et al,2020
NCT02807636,32416780,late,Galsky MD et al,2020
NCT02807636,32416780,late,Galsky MD et al (1),2020
NCT02807636,32416780,late,Galsky MD et al,2020
NCT02807636,32416780,late,Galsky MD et al (1),2020
NCT03434379,32402160,late,Finn RS et al,2020
NCT03197935,32966830,late,Mittendorf EA et al,2020
NCT02409342,32997907,late,Herbst RS et al.,2020
NCT02924883,33002436,early,Emens LA et al,2020
NCT02657434,33333328,late,Nishio M et al,2020
NCT01903993,33166718,early,Fehrenbacher L et al,2016
NCT01903993,33166718,early,Mazieres J et al,2020
NCT02008227,33166718,late,Rittmeyer A et al,2017
NCT02008227,33166718,late,Fehrenbacher L et al,2018
NCT02008227,33166718,late,Mazieres J et al,2020
NCT02450331,33721560,late,Bellmunt J et al,2021
