NCT,PMID,is_follow_up,Authors,Year
NCT02500121,32271672,False,Galsky MD et al,2020
NCT02807636,32416780,False,Galsky MD et al,2020
NCT02807636,32416780,False,Galsky MD et al (1),2020
NCT02807636,32416780,False,Galsky MD et al,2020
NCT02807636,32416780,False,Galsky MD et al (1),2020
NCT02516241,32971005,False,Powles T et al,2020
NCT02516241,32971005,False,Powles T et al (1),2020
NCT02516241,32971005,False,Powles T et al,2020
NCT02516241,32971005,False,Powles T et al (1),2020
NCT02603432,32945632,False,Powles T et al,2020
NCT02450331,33721560,False,Bellmunt J et al,2021
