NCT,PMID,biomarker_name,Authors,Year
NCT00094653,20525992,unknown,Hodi FS et al,2010
NCT00094653,20525992,unknown,Hodi FS et al (1),2010
NCT00094653,20525992,unknown,McDermott D et al,2013
NCT00094653,20525992,unknown,McDermott D et al (1),2013
NCT00094653,20525992,unknown,Hodi FS et al,2010
NCT00094653,20525992,unknown,Hodi FS et al (1),2010
NCT00094653,20525992,unknown,McDermott D et al,2013
NCT00094653,20525992,unknown,McDermott D et al (1),2013
NCT02130466,31171878,unknown,Ascierto PA et al,2019
NCT02130466,31171878,unknown,Ferrucci PF et al,2020
NCT01721772,25399552,unknown,Robert C et al,2015
NCT01721772,25399552,unknown,Ascierto PA et al,2019
NCT01721772,25399552,unknown,Robert C et al,2020
NCT01721772,30422243,unknown,Robert C et al,2015
NCT01721772,30422243,unknown,Ascierto PA et al,2019
NCT01721772,30422243,unknown,Robert C et al,2020
NCT02908672,32534646,unknown,Gutzmer R et al,2020
NCT00094653,23942774,unknown,Hodi FS et al,2010
NCT00094653,23942774,unknown,Hodi FS et al (1),2010
NCT00094653,23942774,unknown,McDermott D et al,2013
NCT00094653,23942774,unknown,McDermott D et al (1),2013
NCT00094653,23942774,unknown,Hodi FS et al,2010
NCT00094653,23942774,unknown,Hodi FS et al (1),2010
NCT00094653,23942774,unknown,McDermott D et al,2013
NCT00094653,23942774,unknown,McDermott D et al (1),2013
NCT01721772,32997575,unknown,Robert C et al,2015
NCT01721772,32997575,unknown,Ascierto PA et al,2019
NCT01721772,32997575,unknown,Robert C et al,2020
NCT02130466,33361337,unknown,Ascierto PA et al,2019
NCT02130466,33361337,unknown,Ferrucci PF et al,2020
