NCT,PMID,primary_endpoint_type,Authors,Year
NCT00527735,22547592,PFS,Lynch TJ et al,2012
NCT00527735,22547592,PFS,Lynch TJ et al (1),2012
NCT00527735,22547592,PFS,Reck M et al,2012
NCT00527735,22547592,PFS,Reck M et al (1),2012
NCT00527735,22547592,PFS,Lynch TJ et al,2012
NCT00527735,22547592,PFS,Lynch TJ et al (1),2012
NCT00527735,22547592,PFS,Reck M et al,2012
NCT00527735,22547592,PFS,Reck M et al (1),2012
NCT00527735,22858559,Other,Lynch TJ et al,2012
NCT00527735,22858559,Other,Lynch TJ et al (1),2012
NCT00527735,22858559,Other,Reck M et al,2012
NCT00527735,22858559,Other,Reck M et al (1),2012
NCT00527735,22858559,Other,Lynch TJ et al,2012
NCT00527735,22858559,Other,Lynch TJ et al (1),2012
NCT00527735,22858559,Other,Reck M et al,2012
NCT00527735,22858559,Other,Reck M et al (1),2012
NCT01905657,26712084,"['OS', 'PFS']",Herbst RS et al,2016
NCT01905657,26712084,"['OS', 'PFS']",Herbst RS et al (1),2016
NCT01905657,26712084,OS,Herbst RS et al,2016
NCT01905657,26712084,OS,Herbst RS et al (1),2016
NCT01903993,26970723,PFS,Fehrenbacher L et al,2016
NCT01903993,26970723,PFS,Mazieres J et al,2020
NCT02039674,27745820,ORR,Langer JC et al,2016
NCT02039674,27745820,ORR,Borghaei  H et al,2018
NCT02039674,30138764,ORR,Langer JC et al,2016
NCT02039674,30138764,ORR,Borghaei  H et al,2018
NCT03059667,30664989,ORR,Pujol JL et al,2019
NCT02574598,32271354,ORR,Arrieta O et al,2020
NCT01903993,33166718,OS,Fehrenbacher L et al,2016
NCT01903993,33166718,OS,Mazieres J et al,2020
NCT02852083,33796020,PFS,Heudobler D et al,2021
