NCT,PMID,primary_endpoint_type,Authors,Year
NCT02252042,30509740,OS,Cohen EEW et al,2018
NCT02105636,27718784,OS,Ferris RL et al,2016
NCT02105636,27718784,OS,Ferris RL et al,2018
NCT02105636,29884413,OS,Ferris RL et al,2016
NCT02105636,29884413,OS,Ferris RL et al,2018
NCT02358031,31679945,OS,Burtness B et al,2019
NCT02358031,31679945,OS,Burtness B et al (1),2019
NCT02358031,31679945,OS,Burtness B et al,2019
NCT02358031,31679945,OS,Burtness B et al (1),2019
NCT02017717,32437507,OS,Reardon DA et al,2020
NCT02369874,32294530,OS,Ferris RL et al,2020
NCT02369874,32294530,OS,Ferris RL et al (1),2020
NCT02369874,32294530,OS,Ferris RL et al,2020
NCT02369874,32294530,OS,Ferris RL et al (1),2020
NCT02952586,33794205,PFS,Lee NY et al,2021
NCT02999087,33125944,PFS,Tao Y et al.,2021
