NCT,PMID,follow_up_maturity,Authors,Year
NCT00324155,21639810,unknown,Robert C et al,2011
NCT00094653,20525992,unknown,Hodi FS et al,2010
NCT00094653,20525992,unknown,Hodi FS et al (1),2010
NCT00094653,20525992,unknown,McDermott D et al,2013
NCT00094653,20525992,unknown,McDermott D et al (1),2013
NCT00094653,20525992,unknown,Hodi FS et al,2010
NCT00094653,20525992,unknown,Hodi FS et al (1),2010
NCT00094653,20525992,unknown,McDermott D et al,2013
NCT00094653,20525992,unknown,McDermott D et al (1),2013
NCT00257205,23295794,unknown,Ribas A et al,2013
NCT02362594,29658430,immature,Eggermont AMM et al,2018
NCT02362594,29658430,immature,Eggermont AMM et al,2020
NCT01704287,26115796,immature,Ribas A et al,2015
NCT01704287,26115796,immature,Ribas A et al (1),2015
NCT01704287,26115796,immature,Hamid O et al,2017
NCT01704287,26115796,immature,Hamid O et al (1),2017
NCT01704287,26115796,immature,Ribas A et al,2015
NCT01704287,26115796,immature,Ribas A et al (1),2015
NCT01704287,26115796,immature,Hamid O et al,2017
NCT01704287,26115796,immature,Hamid O et al (1),2017
NCT01704287,28961465,mature,Ribas A et al,2015
NCT01704287,28961465,mature,Ribas A et al (1),2015
NCT01704287,28961465,mature,Hamid O et al,2017
NCT01704287,28961465,mature,Hamid O et al (1),2017
NCT01704287,28961465,mature,Ribas A et al,2015
NCT01704287,28961465,mature,Ribas A et al (1),2015
NCT01704287,28961465,mature,Hamid O et al,2017
NCT01704287,28961465,mature,Hamid O et al (1),2017
NCT00636168,27717298,immature,Eggermont AMM et al,2016
NCT00636168,27717298,immature,Eggermont AMM et al,2015
NCT01721746,25795410,immature,Weber JS et al,2015
NCT01721746,25795410,immature,Larkin J et al,2018
NCT01721746,28671856,mature,Weber JS et al,2015
NCT01721746,28671856,mature,Larkin J et al,2018
NCT02130466,31171878,immature,Ascierto PA et al,2019
NCT02130466,31171878,immature,Ferrucci PF et al,2020
NCT01721772,25399552,immature,Robert C et al,2015
NCT01721772,25399552,immature,Ascierto PA et al,2019
NCT01721772,25399552,immature,Robert C et al,2020
NCT01721772,30422243,mature,Robert C et al,2015
NCT01721772,30422243,mature,Ascierto PA et al,2019
NCT01721772,30422243,mature,Robert C et al,2020
NCT01274338,31880964,mature,Tarhini AA et al,2020
NCT01274338,31880964,mature,Tarhini AA et al (1),2020
NCT01274338,31880964,mature,Tarhini AA et al,2020
NCT01274338,31880964,mature,Tarhini AA et al (1),2020
NCT02523313,32416781,mature,Zimmer L et al,2020
NCT02523313,32416781,mature,Zimmer L et al (1),2020
NCT02523313,32416781,mature,Zimmer L et al,2020
NCT02523313,32416781,mature,Zimmer L et al (1),2020
NCT02908672,32534646,immature,Gutzmer R et al,2020
NCT00094653,23942774,unknown,Hodi FS et al,2010
NCT00094653,23942774,unknown,Hodi FS et al (1),2010
NCT00094653,23942774,unknown,McDermott D et al,2013
NCT00094653,23942774,unknown,McDermott D et al (1),2013
NCT00094653,23942774,unknown,Hodi FS et al,2010
NCT00094653,23942774,unknown,Hodi FS et al (1),2010
NCT00094653,23942774,unknown,McDermott D et al,2013
NCT00094653,23942774,unknown,McDermott D et al (1),2013
NCT01721772,32997575,unknown,Robert C et al,2015
NCT01721772,32997575,unknown,Ascierto PA et al,2019
NCT01721772,32997575,unknown,Robert C et al,2020
NCT02130466,33361337,mature,Ascierto PA et al,2019
NCT02130466,33361337,mature,Ferrucci PF et al,2020
NCT02362594,32946353,mature,Eggermont AMM et al,2018
NCT02362594,32946353,mature,Eggermont AMM et al,2020
NCT00636168,25840693,unknown,Eggermont AMM et al,2016
NCT00636168,25840693,unknown,Eggermont AMM et al,2015
