NCT,PMID,Author,Year,Cancer type,follow_up_months,follow_up_months_clean,Authors
NCT02500121,32271672,Galsky MD et al,2020,Urothelial,,,Galsky MD et al
NCT02807636,32416780,Galsky MD et al,2020,Urothelial,,,Galsky MD et al
NCT02807636,32416780,Galsky MD et al,2020,Urothelial,,,Galsky MD et al (1)
NCT02807636,32416780,Galsky MD et al,2020,Urothelial,,,Galsky MD et al
NCT02807636,32416780,Galsky MD et al,2020,Urothelial,,,Galsky MD et al (1)
NCT02807636,32416780,Galsky MD et al (1),2020,Urothelial,,,Galsky MD et al
NCT02807636,32416780,Galsky MD et al (1),2020,Urothelial,,,Galsky MD et al (1)
NCT02807636,32416780,Galsky MD et al (1),2020,Urothelial,,,Galsky MD et al
NCT02807636,32416780,Galsky MD et al (1),2020,Urothelial,,,Galsky MD et al (1)
NCT02516241,32971005,Powles T et al,2020,Urothelial,41.2,41.2,Powles T et al
NCT02516241,32971005,Powles T et al,2020,Urothelial,41.2,41.2,Powles T et al (1)
NCT02516241,32971005,Powles T et al,2020,Urothelial,41.2,41.2,Powles T et al
NCT02516241,32971005,Powles T et al,2020,Urothelial,41.2,41.2,Powles T et al (1)
NCT02516241,32971005,Powles T et al (1),2020,Urothelial,41.2,41.2,Powles T et al
NCT02516241,32971005,Powles T et al (1),2020,Urothelial,41.2,41.2,Powles T et al (1)
NCT02516241,32971005,Powles T et al (1),2020,Urothelial,41.2,41.2,Powles T et al
NCT02516241,32971005,Powles T et al (1),2020,Urothelial,41.2,41.2,Powles T et al (1)
NCT02603432,32945632,Powles T et al,2020,Urothelial,19.0,19.0,Powles T et al
NCT02450331,33721560,Bellmunt J et al,2021,Urothelial,21.9,21.9,Bellmunt J et al
