NCT,PMID,cytotoxic_drugs,Authors,Year
NCT01585987,28655793,fluoropyrimidine,Bang YJ et al,2017
NCT02267343,28993052,NONE,Kang YK et al,2017
NCT02267343,28993052,NONE,Chen LT et al,2019
NCT02625623,30052729,"paclitaxel, irinotecan",Bang YJ et al,2018
NCT02370498,29880231,Paclitaxel,Shitara K et al,2018
NCT02267343,31863227,NONE,Kang YK et al,2017
NCT02267343,31863227,NONE,Chen LT et al,2019
NCT02569242,31582355,"Paclitaxel,Docetaxel",Kato K et al,2019
NCT02494583,32880601,"Cisplatin,5-FU,Capecitabine",Shitara K et al,2020
NCT02494583,32880601,"Cisplatin,5-FU,Capecitabine",Shitara K et al (1),2020
NCT02494583,32880601,"Cisplatin,5-FU,Capecitabine",Shitara K et al,2020
NCT02494583,32880601,"Cisplatin,5-FU,Capecitabine",Shitara K et al (1),2020
NCT02625610,33197226,"Oxaliplstin,5-FU,Capecitabine",Moehler M et al,2020
NCT02564263,33026938,"Paclitaxel,Docetaxel,Irinotecan",Kojima T et al.,2020
