NCT,PMID,other_agents,Authors,Year
NCT03043872,31590988,Etoposide+Platinum agent,Paz-Ares L et al,2019
NCT03043872,31590988,Etoposide+Platinum agent,Paz-Ares L et al (1),2019
NCT03043872,31590988,Etoposide+Platinum agent,Goldman JW et al,2020
NCT03043872,31590988,Etoposide+Platinum agent,Goldman JW et al (1),2020
NCT02352948,32201234,,Planchard D et al,2020
NCT02352948,32201234,,Planchard D et al (1),2020
NCT02352948,32201234,,Planchard D et al (2),2020
NCT02453282,32271377,,Rizvi NA et al,2020
NCT02453282,32271377,,Rizvi NA et al (1),2020
NCT02369874,32294530,,Ferris RL et al,2020
NCT02369874,32294530,,Ferris RL et al (1),2020
NCT02870920,32379280,Best supportive care,Chen EX et al,2020
NCT02516241,32971005,,Powles T et al,2020
NCT02516241,32971005,,Powles T et al (1),2020
NCT03043872,33285097,Etoposide+Platinum agent,Paz-Ares L et al,2019
NCT03043872,33285097,Etoposide+Platinum agent,Paz-Ares L et al (1),2019
NCT03043872,33285097,Etoposide+Platinum agent,Goldman JW et al,2020
NCT03043872,33285097,Etoposide+Platinum agent,Goldman JW et al (1),2020
