NCT,PMID,is_combination,Authors,Year
NCT02425891,30345906,True,Schmid P et al,2018
NCT02425891,30345906,True,Schmid P et al,2019
NCT02685059,31095287,True,Loibl S et al,2019
NCT01042379,32053137,True,Nanda R et al,2019
NCT02425891,31786121,True,Schmid P et al,2018
NCT02425891,31786121,True,Schmid P et al,2019
NCT03036488,32101663,True,Schmid P et al,2020
NCT03051659,32880602,True,Tolaney SM et al,2020
NCT02819518,33278935,True,Cortes J et al,2020
NCT03197935,32966830,True,Mittendorf EA et al,2020
NCT02924883,33002436,True,Emens LA et al,2020
NCT02299999,33462450,False,Bachelot T et al,2021
NCT02555657,33676601,False,Winer PE et al,2021
