NCT,PMID,clinical_setting,Authors,Year
NCT00324155,21639810,metastatic/advanced,Robert C et al,2011
NCT00094653,20525992,metastatic/advanced,Hodi FS et al,2010
NCT00094653,20525992,metastatic/advanced,Hodi FS et al (1),2010
NCT00094653,20525992,metastatic/advanced,McDermott D et al,2013
NCT00094653,20525992,metastatic/advanced,McDermott D et al (1),2013
NCT00094653,20525992,metastatic/advanced,Hodi FS et al,2010
NCT00094653,20525992,metastatic/advanced,Hodi FS et al (1),2010
NCT00094653,20525992,metastatic/advanced,McDermott D et al,2013
NCT00094653,20525992,metastatic/advanced,McDermott D et al (1),2013
NCT00257205,23295794,metastatic/advanced,Ribas A et al,2013
NCT02362594,29658430,adjuvant,Eggermont AMM et al,2018
NCT02362594,29658430,adjuvant,Eggermont AMM et al,2020
NCT01704287,26115796,metastatic/advanced,Ribas A et al,2015
NCT01704287,26115796,metastatic/advanced,Ribas A et al (1),2015
NCT01704287,26115796,metastatic/advanced,Hamid O et al,2017
NCT01704287,26115796,metastatic/advanced,Hamid O et al (1),2017
NCT01704287,26115796,metastatic/advanced,Ribas A et al,2015
NCT01704287,26115796,metastatic/advanced,Ribas A et al (1),2015
NCT01704287,26115796,metastatic/advanced,Hamid O et al,2017
NCT01704287,26115796,metastatic/advanced,Hamid O et al (1),2017
NCT01704287,28961465,metastatic/advanced,Ribas A et al,2015
NCT01704287,28961465,metastatic/advanced,Ribas A et al (1),2015
NCT01704287,28961465,metastatic/advanced,Hamid O et al,2017
NCT01704287,28961465,metastatic/advanced,Hamid O et al (1),2017
NCT01704287,28961465,metastatic/advanced,Ribas A et al,2015
NCT01704287,28961465,metastatic/advanced,Ribas A et al (1),2015
NCT01704287,28961465,metastatic/advanced,Hamid O et al,2017
NCT01704287,28961465,metastatic/advanced,Hamid O et al (1),2017
NCT00636168,27717298,metastatic/advanced,Eggermont AMM et al,2016
NCT00636168,27717298,metastatic/advanced,Eggermont AMM et al,2015
NCT01721746,25795410,metastatic/advanced,Weber JS et al,2015
NCT01721746,25795410,metastatic/advanced,Larkin J et al,2018
NCT01721746,28671856,metastatic/advanced,Weber JS et al,2015
NCT01721746,28671856,metastatic/advanced,Larkin J et al,2018
NCT02130466,31171878,metastatic/advanced,Ascierto PA et al,2019
NCT02130466,31171878,metastatic/advanced,Ferrucci PF et al,2020
NCT01721772,25399552,metastatic/advanced,Robert C et al,2015
NCT01721772,25399552,metastatic/advanced,Ascierto PA et al,2019
NCT01721772,25399552,metastatic/advanced,Robert C et al,2020
NCT01721772,30422243,metastatic/advanced,Robert C et al,2015
NCT01721772,30422243,metastatic/advanced,Ascierto PA et al,2019
NCT01721772,30422243,metastatic/advanced,Robert C et al,2020
NCT01274338,31880964,adjuvant,Tarhini AA et al,2020
NCT01274338,31880964,adjuvant,Tarhini AA et al (1),2020
NCT01274338,31880964,adjuvant,Tarhini AA et al,2020
NCT01274338,31880964,adjuvant,Tarhini AA et al (1),2020
NCT02523313,32416781,metastatic/advanced,Zimmer L et al,2020
NCT02523313,32416781,metastatic/advanced,Zimmer L et al (1),2020
NCT02523313,32416781,metastatic/advanced,Zimmer L et al,2020
NCT02523313,32416781,metastatic/advanced,Zimmer L et al (1),2020
NCT02908672,32534646,metastatic/advanced,Gutzmer R et al,2020
NCT00094653,23942774,metastatic/advanced,Hodi FS et al,2010
NCT00094653,23942774,metastatic/advanced,Hodi FS et al (1),2010
NCT00094653,23942774,metastatic/advanced,McDermott D et al,2013
NCT00094653,23942774,metastatic/advanced,McDermott D et al (1),2013
NCT00094653,23942774,metastatic/advanced,Hodi FS et al,2010
NCT00094653,23942774,metastatic/advanced,Hodi FS et al (1),2010
NCT00094653,23942774,metastatic/advanced,McDermott D et al,2013
NCT00094653,23942774,metastatic/advanced,McDermott D et al (1),2013
NCT01721772,32997575,metastatic/advanced,Robert C et al,2015
NCT01721772,32997575,metastatic/advanced,Ascierto PA et al,2019
NCT01721772,32997575,metastatic/advanced,Robert C et al,2020
NCT02130466,33361337,metastatic/advanced,Ascierto PA et al,2019
NCT02130466,33361337,metastatic/advanced,Ferrucci PF et al,2020
NCT02362594,32946353,adjuvant,Eggermont AMM et al,2018
NCT02362594,32946353,adjuvant,Eggermont AMM et al,2020
NCT00636168,25840693,metastatic/advanced,Eggermont AMM et al,2016
NCT00636168,25840693,metastatic/advanced,Eggermont AMM et al,2015
