NCT,PMID,other_agents,Authors,Year
NCT02425891,30345906,Nab-paclitaxel,Schmid P et al,2018
NCT02425891,30345906,Nab-paclitaxel,Schmid P et al,2019
NCT02788279,31003911,Cobimetinib,Eng C et al,2019
NCT02788279,31003911,Cobimetinib,Eng C et al (1),2019
NCT01984242,29867230,Bevacizumab,McDermott DF et al,2018
NCT01984242,29867230,Bevacizumab,McDermott DF et al (1),2018
NCT02420821,31079938,Bevacizumab,Rini BI et al,2019
NCT02763579,30280641,Etoposide+Carboplatin,Horn L et al,2018
NCT02763579,30280641,Etoposide+Carboplatin,Mansfield AS et al,2020
NCT02366143,29863955,Carboplatin+Paclitaxel,Socinski MA et al,2018
NCT02366143,29863955,Carboplatin+Paclitaxel,Socinski MA et al (1),2018
NCT02366143,29863955,Carboplatin+Paclitaxel+Bevacizumab,Socinski MA et al,2018
NCT02366143,29863955,Carboplatin+Paclitaxel+Bevacizumab,Socinski MA et al (1),2018
NCT02367781,31122901,"Carboplatin, Nab-paclitaxel",West H et al,2019
NCT02425891,31786121,Nab-paclitaxel,Schmid P et al,2018
NCT02425891,31786121,Nab-paclitaxel,Schmid P et al,2019
NCT02763579,31959349,Carboplatin+Etoposide,Horn L et al,2018
NCT02763579,31959349,Carboplatin+Etoposide,Mansfield AS et al,2020
NCT02367794,32302702,"Carboplatin, Paclitaxel",Jotte R et al,2020
NCT02367794,32302702,"Carboplatin, Paclitaxel",Jotte R et al (1),2020
NCT02367794,32302702,Carboplatin+Nab-paclitaxel,Jotte R et al,2020
NCT02367794,32302702,Carboplatin+Nab-paclitaxel,Jotte R et al (1),2020
NCT02908672,32534646,Vemurafenib+Cobimetinib,Gutzmer R et al,2020
NCT02807636,32416780,Gemcitabine+Carboplatin or Cisplatin,Galsky MD et al,2020
NCT02807636,32416780,Gemcitabine+Carboplatin or Cisplatin,Galsky MD et al (1),2020
NCT03434379,32402160,Bevacizumab,Finn RS et al,2020
NCT03197935,32966830,Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Mittendorf EA et al,2020
NCT02924883,33002436,Trastuzumab emtansine+Placebo,Emens LA et al,2020
NCT02657434,33333328,Carboplatin/Cisplatin+Pemetrexed,Nishio M et al,2020
