NCT,PMID,arm_category,Authors,Year
NCT02252042,30509740,2-arm,Cohen EEW et al,2018
NCT02105636,27718784,2-arm,Ferris RL et al,2016
NCT02105636,27718784,2-arm,Ferris RL et al,2018
NCT02105636,29884413,2-arm,Ferris RL et al,2016
NCT02105636,29884413,2-arm,Ferris RL et al,2018
NCT02358031,31679945,>=3-arm,Burtness B et al,2019
NCT02358031,31679945,>=3-arm,Burtness B et al (1),2019
NCT02358031,31679945,>=3-arm,Burtness B et al,2019
NCT02358031,31679945,>=3-arm,Burtness B et al (1),2019
NCT02017717,32437507,2-arm,Reardon DA et al,2020
NCT02369874,32294530,>=3-arm,Ferris RL et al,2020
NCT02369874,32294530,>=3-arm,Ferris RL et al (1),2020
NCT02369874,32294530,>=3-arm,Ferris RL et al,2020
NCT02369874,32294530,>=3-arm,Ferris RL et al (1),2020
NCT02952586,33794205,2-arm,Lee NY et al,2021
NCT02999087,33125944,2-arm,Tao Y et al.,2021
