NCT,PMID,clinical_setting_type,Authors,Year
NCT00527735,22547592,metastatic/advanced,Lynch TJ et al,2012
NCT00527735,22547592,metastatic/advanced,Lynch TJ et al (1),2012
NCT00527735,22547592,metastatic/advanced,Reck M et al,2012
NCT00527735,22547592,metastatic/advanced,Reck M et al (1),2012
NCT00527735,22547592,metastatic/advanced,Lynch TJ et al,2012
NCT00527735,22547592,metastatic/advanced,Lynch TJ et al (1),2012
NCT00527735,22547592,metastatic/advanced,Reck M et al,2012
NCT00527735,22547592,metastatic/advanced,Reck M et al (1),2012
NCT00527735,22858559,metastatic/advanced,Lynch TJ et al,2012
NCT00527735,22858559,metastatic/advanced,Lynch TJ et al (1),2012
NCT00527735,22858559,metastatic/advanced,Reck M et al,2012
NCT00527735,22858559,metastatic/advanced,Reck M et al (1),2012
NCT00527735,22858559,metastatic/advanced,Lynch TJ et al,2012
NCT00527735,22858559,metastatic/advanced,Lynch TJ et al (1),2012
NCT00527735,22858559,metastatic/advanced,Reck M et al,2012
NCT00527735,22858559,metastatic/advanced,Reck M et al (1),2012
NCT01673867,26412456,metastatic/advanced,Borghaei  H et al,2015
NCT01642004,26028407,metastatic/advanced,Brahmer J et al,2015
NCT01905657,26712084,metastatic/advanced,Herbst RS et al,2016
NCT01905657,26712084,metastatic/advanced,Herbst RS et al (1),2016
NCT01905657,26712084,metastatic/advanced,Herbst RS et al,2016
NCT01905657,26712084,metastatic/advanced,Herbst RS et al (1),2016
NCT01903993,26970723,metastatic/advanced,Fehrenbacher L et al,2016
NCT01903993,26970723,metastatic/advanced,Mazieres J et al,2020
NCT01450761,27458307,metastatic/advanced,Reck M et al,2016
NCT02041533,28636851,metastatic/advanced,Carbone DP et al,2017
NCT01285609,28854067,metastatic/advanced,Govindan R et al,2017
NCT02125461,28885881,metastatic/advanced,Antonia SJ et al,2017
NCT02125461,28885881,metastatic/advanced,Antonia SJ et al,2018
NCT02125461,30280658,metastatic/advanced,Antonia SJ et al,2017
NCT02125461,30280658,metastatic/advanced,Antonia SJ et al,2018
NCT02395172,30262187,metastatic/advanced,Barlesi F et al,2018
NCT02039674,27745820,metastatic/advanced,Langer JC et al,2016
NCT02039674,27745820,metastatic/advanced,Borghaei  H et al,2018
NCT02039674,30138764,metastatic/advanced,Langer JC et al,2016
NCT02039674,30138764,metastatic/advanced,Borghaei  H et al,2018
NCT02008227,27979383,metastatic/advanced,Rittmeyer A et al,2017
NCT02008227,27979383,metastatic/advanced,Fehrenbacher L et al,2018
NCT02008227,27979383,metastatic/advanced,Mazieres J et al,2020
NCT02008227,29777823,metastatic/advanced,Rittmeyer A et al,2017
NCT02008227,29777823,metastatic/advanced,Fehrenbacher L et al,2018
NCT02008227,29777823,metastatic/advanced,Mazieres J et al,2020
NCT02578680,29658856,metastatic/advanced,Gandhi L et al,2018
NCT02763579,30280641,metastatic/advanced,Horn L et al,2018
NCT02763579,30280641,metastatic/advanced,Mansfield AS et al,2020
NCT02775435,30280635,metastatic/advanced,Paz-Ares L et al,2018
NCT02366143,29863955,metastatic/advanced,Socinski MA et al,2018
NCT02366143,29863955,metastatic/advanced,Socinski MA et al (1),2018
NCT02366143,29863955,metastatic/advanced,Socinski MA et al,2018
NCT02366143,29863955,metastatic/advanced,Socinski MA et al (1),2018
NCT02477826,29658845,metastatic/advanced,Hellmann MD et al,2018
NCT02477826,29658845,metastatic/advanced,Hellmann MD et al (1),2018
NCT02477826,29658845,metastatic/advanced,Hellmann MD et al,2019
NCT02477826,29658845,metastatic/advanced,Hellmann MD et al (1),2019
NCT02477826,29658845,metastatic/advanced,Hellmann MD et al (2),2019
NCT02477826,29658845,metastatic/advanced,Hellmann MD et al,2018
NCT02477826,29658845,metastatic/advanced,Hellmann MD et al (1),2018
NCT02477826,29658845,metastatic/advanced,Hellmann MD et al,2019
NCT02477826,29658845,metastatic/advanced,Hellmann MD et al (1),2019
NCT02477826,29658845,metastatic/advanced,Hellmann MD et al (2),2019
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al,2018
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al (1),2018
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al,2019
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al (1),2019
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al (2),2019
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al,2018
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al (1),2018
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al,2019
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al (1),2019
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al (2),2019
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al,2018
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al (1),2018
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al,2019
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al (1),2019
NCT02477826,31562796,metastatic/advanced,Hellmann MD et al (2),2019
NCT02220894,30955977,metastatic/advanced,Mok TSK et al,2019
NCT03059667,30664989,metastatic/advanced,Pujol JL et al,2019
NCT02142738,30620668,metastatic/advanced,Reck M et al,2019
NCT02142738,30620668,metastatic/advanced,Reck M et al,2016
NCT02367781,31122901,metastatic/advanced,West H et al,2019
NCT02613507,30659987,metastatic/advanced,Wu YL et al,2019
NCT02454933,30763730,metastatic/advanced,Yang JCH et al,2019
NCT03043872,31590988,metastatic/advanced,Paz-Ares L et al,2019
NCT03043872,31590988,metastatic/advanced,Paz-Ares L et al (1),2019
NCT03043872,31590988,metastatic/advanced,Goldman JW et al,2020
NCT03043872,31590988,metastatic/advanced,Goldman JW et al (1),2020
NCT03043872,31590988,metastatic/advanced,Paz-Ares L et al,2019
NCT03043872,31590988,metastatic/advanced,Paz-Ares L et al (1),2019
NCT03043872,31590988,metastatic/advanced,Goldman JW et al,2020
NCT03043872,31590988,metastatic/advanced,Goldman JW et al (1),2020
NCT02763579,31959349,metastatic/advanced,Horn L et al,2018
NCT02763579,31959349,metastatic/advanced,Mansfield AS et al,2020
NCT02352948,32201234,metastatic/advanced,Planchard D et al,2020
NCT02352948,32201234,metastatic/advanced,Planchard D et al (1),2020
NCT02352948,32201234,metastatic/advanced,Planchard D et al (2),2020
NCT02352948,32201234,metastatic/advanced,Planchard D et al,2020
NCT02352948,32201234,metastatic/advanced,Planchard D et al (1),2020
NCT02352948,32201234,metastatic/advanced,Planchard D et al (2),2020
NCT02352948,32201234,metastatic/advanced,Planchard D et al,2020
NCT02352948,32201234,metastatic/advanced,Planchard D et al (1),2020
NCT02352948,32201234,metastatic/advanced,Planchard D et al (2),2020
NCT03066778,32468956,metastatic/advanced,Rudin CM et al,2020
NCT02453282,32271377,metastatic/advanced,Rizvi NA et al,2020
NCT02453282,32271377,metastatic/advanced,Rizvi NA et al (1),2020
NCT02453282,32271377,metastatic/advanced,Rizvi NA et al,2020
NCT02453282,32271377,metastatic/advanced,Rizvi NA et al (1),2020
NCT02367794,32302702,metastatic/advanced,Jotte R et al,2020
NCT02367794,32302702,metastatic/advanced,Jotte R et al (1),2020
NCT02367794,32302702,metastatic/advanced,Jotte R et al,2020
NCT02367794,32302702,metastatic/advanced,Jotte R et al (1),2020
NCT02574598,32271354,metastatic/advanced,Arrieta O et al,2020
NCT02142738,27718847,metastatic/advanced,Reck M et al,2019
NCT02142738,27718847,metastatic/advanced,Reck M et al,2016
NCT02409342,32997907,metastatic/advanced,Herbst RS et al.,2020
NCT03043872,33285097,metastatic/advanced,Paz-Ares L et al,2019
NCT03043872,33285097,metastatic/advanced,Paz-Ares L et al (1),2019
NCT03043872,33285097,metastatic/advanced,Goldman JW et al,2020
NCT03043872,33285097,metastatic/advanced,Goldman JW et al (1),2020
NCT03043872,33285097,metastatic/advanced,Paz-Ares L et al,2019
NCT03043872,33285097,metastatic/advanced,Paz-Ares L et al (1),2019
NCT03043872,33285097,metastatic/advanced,Goldman JW et al,2020
NCT03043872,33285097,metastatic/advanced,Goldman JW et al (1),2020
NCT01903993,33166718,metastatic/advanced,Fehrenbacher L et al,2016
NCT01903993,33166718,metastatic/advanced,Mazieres J et al,2020
NCT02008227,33166718,metastatic/advanced,Rittmeyer A et al,2017
NCT02008227,33166718,metastatic/advanced,Fehrenbacher L et al,2018
NCT02008227,33166718,metastatic/advanced,Mazieres J et al,2020
NCT03215706,33476593,metastatic/advanced,Paz-Ares L et al,2021
NCT02481830,33539946,metastatic/advanced,Spigel DR et al,2021
NCT02538666,33683919,metastatic/advanced,Owonikoko TK et al,2021
NCT02538666,33683919,metastatic/advanced,Owonikoko TK et al,2021
NCT02538666,33683919,metastatic/advanced,Owonikoko TK et al,2021
NCT02538666,33683919,metastatic/advanced,Owonikoko TK et al,2021
NCT03088540,33581821,metastatic/advanced,Sezer A et al,2021
NCT02852083,33796020,metastatic/advanced,Heudobler D et al,2021
