NCT,PMID,primary_endpoint_type,secondary_endpoint_type,Authors,Year
NCT01585987,28655793,primary,secondary,Bang YJ et al,2017
NCT02267343,28993052,primary,secondary,Kang YK et al,2017
NCT02267343,28993052,primary,secondary,Chen LT et al,2019
NCT02625623,30052729,primary,secondary,Bang YJ et al,2018
NCT02370498,29880231,primary,secondary,Shitara K et al,2018
NCT02267343,31863227,primary,secondary,Kang YK et al,2017
NCT02267343,31863227,primary,secondary,Chen LT et al,2019
NCT02569242,31582355,primary,secondary,Kato K et al,2019
NCT02494583,32880601,primary,secondary,Shitara K et al,2020
NCT02494583,32880601,primary,secondary,Shitara K et al (1),2020
NCT02494583,32880601,primary,secondary,Shitara K et al,2020
NCT02494583,32880601,primary,secondary,Shitara K et al (1),2020
NCT02625610,33197226,primary,secondary,Moehler M et al,2020
NCT02564263,33026938,primary,secondary,Kojima T et al.,2020
