NCT,PMID,follow_up_bucket,Authors,Year
NCT02500121,32271672,UNKNOWN,Galsky MD et al,2020
NCT02807636,32416780,UNKNOWN,Galsky MD et al,2020
NCT02807636,32416780,UNKNOWN,Galsky MD et al (1),2020
NCT02807636,32416780,UNKNOWN,Galsky MD et al,2020
NCT02807636,32416780,UNKNOWN,Galsky MD et al (1),2020
NCT02516241,32971005,>=24,Powles T et al,2020
NCT02516241,32971005,>=24,Powles T et al (1),2020
NCT02516241,32971005,>=24,Powles T et al,2020
NCT02516241,32971005,>=24,Powles T et al (1),2020
NCT02603432,32945632,12-23,Powles T et al,2020
NCT02450331,33721560,12-23,Bellmunt J et al,2021
